artifact_id,cdli_comments,designation,artifact_type,period,provenience,written_in,archive,composite_no,seal_no,composites,seals,museum_no,accession_no,condition_description,artifact_preservation,period_comments,provenience_comments,artifact_type_comments,is_provenience_uncertain,is_period_uncertain,is_artifact_type_uncertain,is_school_text,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,artifact_comments,seal_information,collections,dates,alternative_years,genres,languages,materials,publications_key,publications_type,publications_exact_ref,publications_comment,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
14,,"ATU 3, pl. 036, W 12139",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16773,,,,,,,0,0,0,0,76,15,51,,,W 12139,"Oe XVI,4","+19.80 m, über der Tempelmauer von IVa, südwestlich vom Labyrinth",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,Englund1993ATU3; Englund1998OBO160/1; sec23; sec24,primary; history; history; history,"pl. 36, W 12139; p. 173 fig. 63; ; ","76x51x15 - Swine 1-58 mit Kolophon - Oe XVI,4, +19.80 m, über der Tempelmauer von IVa, südwestlich vom Labyrinth - veröffentlicht in: UVB 6 - Tafel gedreht um die vertikale Achse.; ; ; ",DCCLT; ARMEP,P000014; P000014,"""Archaic Pigs (witness) Text category: 06.01; Text commentary: 01-58 KOL; Foreign ID: L$U A""",0,0,,,0,0,0,0,,
456,,"ATU 3, pl. 036, W 20497",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,IM 134420,,,,,,,0,0,0,0,38,20,36,,,W 20497,"Nd XVI,5",Zerstörungsschutt von Uruk IV,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Lexical,undetermined,clay,Englund1993ATU3,primary,"pl. 36, W 20497","38x36x20 - Swine ?-?.2,A1,25,?.18,A2,32 - Nd XVI,5, Zerstörungsschutt von Uruk IV.",DCCLT; ARMEP,P000456; P000456,"""witness Archaic Pigs Text category: 06.02; Text commentary: ?-?.2,A1,25,?.18,A2,32; Foreign ID: L$U B""",0,0,,,0,0,0,0,,
21,,"ATU 3, pl. 080, W 13948",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16972,,,,,,,0,0,0,0,42,20,43,,,W 13948,"Pc XVII,4","+ca.17.20 m, beim Fundort der Löwenjagdstele",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Vocabularies,undetermined,clay,Englund1993ATU3,primary,"pl. 80, W 13948","42x43x20 - Vocabulary 1 - Pc XVII,4, +ca. 17.20 m, beim Fundort der Löwenjagdstele.",DCCLT; ARMEP,P000021; P000021,"""Archaic Vocabulary (witness) Text category: 15-01; Foreign ID: LVO 1""",0,0,,,0,0,0,0,,
23,,"ATU 3, pl. 080, W 14264",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16759,,,,,,,0,0,0,0,62,17,57,,,W 14264,"Pb XVII,3","+18.00 m, Schutt über Riemchen unter neubabylonischen Häusern",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Vocabularies,undetermined,clay,Englund1993ATU3,primary,"pl. 80, W 14264","62x57x17 - Vocabulary 2 - Pb XVII,3, +18.00 m, Schutt über Riemchen unter neubabylonischen Häusern.",DCCLT; ARMEP,P000023; P000023,"""Archaic Vocabulary (witness) Text category: 15-02; Foreign ID: LVO 2""",0,0,,,0,0,0,0,,
25,,"ATU 3, pl. 080, W 14337,a+",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16912,,,,,,,0,0,0,0,99,33,92,,,"W 14337,a + W 14337,b + W 14337,c + W 14337,d + W 14337,e","Od XVI,5","ca 20.20 m, in Raum von III",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Vocabularies,undetermined,clay,Englund1993ATU3; Green1987ATU2,primary; history,"pl. 80, W 14337,a+; pl. 49","99x92x33 - Vocabulary 3 - Fundstelle wie W 14335,c - veröffentlicht in: ATU 2, Taf. 49.; ",DCCLT; ARMEP,P000025; P000025,"""Archaic Vocabulary (witness) Text category: 15-03; Foreign ID: LVO 3""",0,0,,,0,0,0,0,,
167,,"ATU 3, pl. 080, W 19548,a+",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,IM 064837,,,,,,,0,0,0,0,57,20,47,,,"W 19548,a + W 19548,b","Nb XVI,3","SW-Hälfte, in der Schnittwand, oberste /1./ Scherbenschicht",,,,,"National Museum of Iraq, Baghdad, Iraq",,,Vocabularies,undetermined,clay,Englund1993ATU3,primary,"pl. 80, W 19548,a+","57x47x20 - Vocabulary 4 - Nb XVI,3, Südwesthälfte, in der Schnittwand, oberste (1.) Scherbenschicht.",DCCLT; ARMEP,P000167; P000167,"""Archaic Vocabulary (witness) Text category: 15-04; Foreign ID: LVO 4""",0,0,,,0,0,0,0,,
453,,"ATU 3, pl. 080, W 20493,26",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,"HD: W 20493,26",,,,,,,0,0,0,0,29,14,35,,,"W 20493,26","Nc XVII,1",im Schutt an der frühdynastischen Mauer,,,,,"German Archaeological Institute, Berlin, Germany",,,Vocabularies,undetermined,clay,Englund1993ATU3,primary,"pl. 80, W 20493,26","29x35x14 - Vocabulary 6 - Fundstelle wie W 20493,21+.",DCCLT; ARMEP,P000453; P000453,"""witness Archaic Vocabulary Text category: 15-06; Foreign ID: LVO 6""",0,0,,,0,0,0,0,,
434,,"ATU 3, pl. 081, W 20335,3",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,IM 134337,,,,,,,0,0,0,0,66,25,75,,,"W 20335,3","Nc XVI,5 / XVII,1","unterhalb der obersten kleinen Häuser aus Riemchen, oberhalb der Hofmauer// (t.a.q. IIIa)",,,,,"National Museum of Iraq, Baghdad, Iraq",,,Vocabularies,undetermined,clay,Englund1993ATU3; Green1987ATU2; sec463,primary; history; history,"pl. 81, W 20335,3; pl. 35; ","66x75x25 - Vocabulary 5 - Fundstelle wie W 20335,1 - veröffentlicht in: BagM 2, Katalog - ATU 2, Taf. 35.; ; ",DCCLT; ARMEP,P000434; P000434,"""Archaic Vocabulary (witness) Text category: 15-05; Foreign ID: LVO 5""",0,0,,,0,0,0,0,,
481,,"ATU 3, pl. 081, W 20708",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,IM 134515,,,,,,,0,0,0,0,64,20,55,,,W 20708,"Oc XVI,3",zwischen Riemchenmauern und der IIIer Schicht,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Vocabularies,undetermined,clay,Englund1993ATU3,primary,"pl. 81, W 20708","64x55x20 - Vocabulary 7 - Oc XVI,3, zwischen Riemchenmauern und der IIIer Schicht.",DCCLT; ARMEP,P000481; P000481,"""Archaic Vocabulary (witness) Text category: 15-07; Foreign ID: LVO 7""",0,0,,,0,0,0,0,,
488,,"ATU 3, pl. 081, W 21002,6",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,IM 134640,,,,,,,0,0,0,0,31,19,29,,,"W 21002,6","Nc XVI,5","Zufüllung des großen Hofes, unterste Schicht",,,,,"National Museum of Iraq, Baghdad, Iraq",,,Vocabularies,undetermined,clay,Englund1993ATU3,primary,"pl. 81, W 21002,6","31x29x19 - Vocabulary X - Nc XVI,5, Zufüllung des großen Hofes, unterste Schicht - der Text scheint eine graphisch zusammengestellte Zeichenliste wie W 9123,d zu enthalten.",DCCLT; ARMEP,P000488; P000488,"""witness Archaic Vocabulary Text category: 15-X; Foreign ID: LVO XX?""",0,0,,,0,0,0,0,,
628,,"ATU 3, pl. 081, W 22119,5",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,IM 135005,,,,,,,0,0,0,0,,,,,,"W 22119,5","Ne XVII,1",Schuttloch III,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Vocabularies,undetermined,clay,Englund1993ATU3,primary,"pl. 81, W 22119,5","? - Vocabulary 8-1 - Fundstelle wie W 22090,2+ - ein möglicher Join W 22119,5+22136 konnte im Iraq Museum, Baghdad, nicht geprüft werden, Maße der Fragmente: 22x21x12 bzw. 69x36x21 - nach der Dicke der jeweiligen Tafeln wäre ein Join eher unwahrscheinlich.",DCCLT; ARMEP,P000628; P000628,"""Archaic Vocabulary (witness) Text category: 15-08-1; Foreign ID: LVO 8/1""",0,0,,,0,0,0,0,,
631,,"ATU 3, pl. 081, W 22136",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,IM 073411,,,,,,,0,0,0,0,69,21,36,,,W 22136,"Ne XVII,1",Schuttloch III,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Vocabularies,undetermined,clay,Englund1993ATU3,primary,"pl. 81, W 22136","69x36x21 - Vocabulary 8-2 - Fundstelle wie W 22090,2+ - s. die Angaben zu W 22119,5.",DCCLT; ARMEP,P000631; P000631,"""Archaic Vocabulary (witness) Text category: 15-08-2; Foreign ID: LVO 8/2""",0,0,,,0,0,0,0,,
1918,,"ATU 3, pl. 082, W 13917",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 17631,,,,,,,0,0,0,0,42,22,47,,,W 13917,"Od XVII,1",In Schuttschicht zw. III und IV,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1993ATU3,primary,"pl. 82, W 13917","42x47x22 - Practice 3 - Text befindet sich auf einem Krugverschluß, daher nicht im Glossar aufgenommen.",,,""" Text category: -1603; Foreign ID: LSL 3""",0,0,,,0,0,0,0,,
22,,"ATU 3, pl. 082, W 13982",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16741,,,,,,,0,0,0,0,45,21,52,,,W 13982,"Od XVI,5",dicht über den Lehmziegeln des Hofes von IVa,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,Englund1993ATU3; Englund1998OBO160/1; sec30; sec32,primary; history; history; history,"pl. 82, W 13982; p. 85 fig. 23; ; ","45x52x21 - Practice 2 - Od XVI,5, dicht über den Lehmziegeln des Hofes von IVa.; (incorrectly as BM 128990); ; ",DCCLT; ARMEP,P000022; P000022,"""Archaic Practice (witness) Text category: 16-02; Foreign ID: LSL 2""",0,0,,,0,0,0,0,,
195,,"ATU 3, pl. 083, W 19948,8",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,IM 064924,,,,,,,0,0,0,0,31,0,38,,,"W 19948,08","Nc/d XVI,5",vor der Wasserrinne,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Lexical,undetermined,clay,Englund1993ATU3,primary,"pl. 83, W 19948,8","31x38x? - Practice 12 - Nc/d XVI,5, vor der Wasserrinne - Tafel zur Zeit im Iraq Museum, Baghdad, nicht auffindbar.",DCCLT; ARMEP,P000195; P000195,"""witness Archaic Practice Text category: 16-12; Foreign ID: LSL 12""",0,0,,,0,0,0,0,,
