artifact_id,cdli_comments,designation,artifact_type,period,provenience,written_in,archive,composite_no,seal_no,composites,seals,museum_no,accession_no,condition_description,artifact_preservation,period_comments,provenience_comments,artifact_type_comments,is_provenience_uncertain,is_period_uncertain,is_artifact_type_uncertain,is_school_text,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,artifact_comments,seal_information,collections,dates,alternative_years,genres,languages,materials,publications_key,publications_type,publications_exact_ref,publications_comment,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
3,,"ATU 3, pl. 081, W 9123,d",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15253",,,,,,,0,0,0,0,42.0,19.0,53.0,,,"W 09123,d","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Vocabularies,undetermined,clay,"Englund1993ATU3; Falkenstein1936ATU1","primary; history","pl. 81, W 9123,d; 539","42x53x19 - Vocabulary 9 - Qa XVI,2, unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels (t.a.q. IIIc) - veröffentlicht in: ATU 1, 539 - bereits kommentiert von A. Falkenstein, UVB 3, 12 und ATU 1, S. 43-45.; ","DCCLT; ARMEP","P000003; P000003","""Archaic Vocabulary (witness) Text category: 15-09; Foreign ID: LVO 9""",0,0,,,0,0,0,0,,
1770,,"ATU 3, pl. 082, W 10824",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 17886, a",,,,,,,0,0,0,0,41.0,17.0,37.0,,,"W 10824","Pa XVI,5","+19.80 m, unmittelbar vor der Süd-Ecke des Gebäudes von III",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1993ATU3,primary,"pl. 82, W 10824","41x37x17 - Practice 1 - Pa XVI,5, +19.80 m, unmittelbar vor der Südecke des Gebäudes von III - da der Text für ATU 2 irrtümlich als lexikalisch eingestuft wurde, wurde er nur in Kopie, nicht aber im Glossar aufgenommen.",,,""" Text category: -1601; Foreign ID: LSL 1""",0,0,,,0,0,0,0,,
2198,,"ATU 3, pl. 082, W 14820",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 17747",,,,,,,0,0,0,0,39.0,14.0,51.0,,,"W 14820","Oe XVI,2","+19.50 m, aus den archaischen Bauten der Schicht III",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1993ATU3,primary,"pl. 82, W 14820","39x51x14 - Practice 4 - Oe XVI,2, +19.50 m, aus den archaischen Bauten der Schicht III - da der Text für ATU 2 irrtümlich als lexikalisch eingestuft wurde, wurde er nur in Kopie, nicht aber im Glossar aufgenommen.",,,""" Text category: -1604; Foreign ID: LSL 4""",0,0,,,0,0,0,0,,
3487,,"ATU 3, pl. 083, W 20242",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"IM —",,,,,,,0,0,0,0,37.0,24.0,47.0,,,"W 20242","Ne XVII,2","ca.50 cm unter Oberfläche",,,,,"National Museum of Iraq, Baghdad, Iraq",,,Administrative,undetermined,clay,Englund1993ATU3,primary,"pl. 83, W 20242","37x47x24 - Practice 17 - Ne XVII,2, ca. 50 cm unter Oberfläche - da der Text für ATU 2 irrtümlich als lexikalisch eingestuft wurde, wurde er nur in Kopie, nicht aber im Glossar aufgenommen.",,,""" Text category: -1617; Foreign ID: LSL 17""",0,0,,,0,0,0,0,,
730,,"ATU 5, pl. 001, W 1872,1",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15316",,,,,,,0,0,0,0,57.0,29.0,27.0,,,"W 01872,1","Od XV,5","unter der Schicht, in der das Fundament gestampft ist",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 1, W 1872,1; 511","57x27x29 - Od XV,5, below the level with pisé foundations - ATU 1, 511 - 4.12.1928 - on the tablet only the excavation number ""1972,d[  ]"" discernable - according to the register of the DAI-Baghdad (and see ATU 1, p. 72), however, this and the following tablet; ",,," ",0,0,,,0,0,0,0,,
731,,"ATU 5, pl. 001, W 1872,2",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15315",,,,,,,0,0,0,0,48.0,18.0,65.0,,,"W 01872,2","Od XV,5","unter der Schicht, in der das Fundament gestampft ist",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 1, W 1872,2; 525","48x65x18 - same locus as W 1872,1 - ATU 1, 525 - 4.12.1928 - on the tablet no excavation number is discernable - complex rotation of text (see MSVO 1, p. 12).; ",,," ",0,0,,,0,0,0,0,,
732,,"ATU 5, pl. 001, W 2134",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15345",,,,,,,0,0,0,0,26.0,28.0,35.0,,,"W 02134",?,Stadtgebiet,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 1, W 2134; 497","26x35x28 - city area - ATU 1, 497 - 10.12.1928.; ",,," ",0,0,,,0,0,0,0,,
738,,"ATU 5, pl. 002, W 5233,f",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 15303",,,,,,,0,0,0,0,21.0,10.0,18.0,,,"W 05233,f","Pd XVI,4","an verschiedenen Stellen im Schutt des Raumes 91, etwas unter Niveau der Abflußrinne// t.a.q. II",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 2, W 5233,f","21x18x10 - same locus as W 5233,a - 21.11.1929 - Uruk III - see the remarks to W 5233,a.",,," ",0,0,,,0,0,0,0,,
739,,"ATU 5, pl. 002, W 5233,g",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 21404",,,,,,,0,0,0,0,18.0,12.0,17.0,,,"W 05233,g","Pd XVI,4","an verschiedenen Stellen im Schutt des Raumes 91, etwas unter Niveau der Abflußrinne// t.a.q. II",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 2, W 5233,g","18x17x12 - same locus as W 5233,a - 21.11.1929 - Uruk III - see the remarks to W 5233,a.",,," ",0,0,,,0,0,0,0,,
740,,"ATU 5, pl. 002, W 5353",tablet,"Uruk IV (ca. 3350-3200 BC)","Uruk (mod. Warka)",,,,,,,"VAT 14867",,,,,,,0,0,0,0,68.0,27.0,49.0,,,"W 05353","Pd XVI,5","1.15 m unter der Tonstiftschicht /Mosaik B2/ 1 m nordöstlich davon// t.a.q. III   warum nicht unter ""Roter Tempel""?",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,"Englund1994ATU5; Falkenstein1936ATU1","primary; history","pl. 2, W 5353; 259","68x49x27 - Pd XVI,5, 1.15 m below the layer of clay-cones (mosaic B2) 1 m to the northeast - ATU 1, 259 - 28.11.1929 - this was the first tablet recognized in the excavation finds as ""archaic"".; ",,," ",0,0,,,0,0,0,0,,
