"tablet.id","signs.orig.vec","signs.expand.vec","num.char"
"P000004","1(N01) _ |SZE~a.NAM2|# _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ |SZE~a.NAM2| _ N01 _ N01 _ N01",9
"P000003","1(N01) _ NI~b# _ 1(N01) _ |NI~bxX| _ 1(N01) _ IR~a# _ 1(N01) _ BIR~a _ 1(N01) _ BIR~c _ 1(N01) _ 1(N01) _ SZU2# _ 1(N01) _ 1(N57) _ 1(N01) _ ME~a _ 1(N01) _ ME~b _ 1(N01) _ NU@g# _ 1(N01) _ 1(N01) _ DUR2 _ 1(N01) _ DIB _ 1(N01) _ |LAGAB~axME~a| _ 1(N01) _ |LAGAB~axZATU753| _ 1(N01) _ 1(N01) _ |GA2~a1xX|# _ 1(N01) _ 1(N01) _ 1(N01) _ |GA2~a1xGISZ@t| _ SUKKAL _ 1(N01) _ 1(N01) _ UNUG~a@s _ 1(N01) _ NAM2 _ 1(N01)","N01 _ NI~b _ N01 _ |NI~bxX| _ N01 _ IR~a _ N01 _ BIR~a _ N01 _ BIR~c _ N01 _ N01 _ SZU2 _ N01 _ N57 _ N01 _ ME~a _ N01 _ ME~b _ N01 _ NU@g _ N01 _ N01 _ DUR2 _ N01 _ DIB _ N01 _ |LAGAB~axME~a| _ N01 _ |LAGAB~axZATU753| _ N01 _ N01 _ |GA2~a1xX| _ N01 _ N01 _ N01 _ |GA2~a1xGISZ@t| _ SUKKAL _ N01 _ N01 _ UNUG~a@s _ N01 _ NAM2 _ N01",87
"P000005","1(N01) _ ESZDA# _ 1(N01) _ KAB _ 1(N01) _ 1(N01) _ EN~b _ 1(N01) _ NUN~a _ 1(N01) _ DU6~c _ 1(N01) _ SZITA~a1 _ 1(N01) _ 1(N01) _ 1(N01)","N01 _ ESZDA _ N01 _ KAB _ N01 _ N01 _ EN~b _ N01 _ NUN~a _ N01 _ DU6~c _ N01 _ SZITA~a1 _ N01 _ N01 _ N01",31
"P000007","1(N01) _ 1(N01) _ |SZE~a.NAM2| _ 1(N01) _ PAP~b _ 1(N01) _ |1(N58).BAD~b| _ 1(N01) _ AB~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ TE _ 1(N01) _ GA~a _ 1(N01) _ 1(N01) _ NIM~a _ 1(N01) _ NIM~a#","N01 _ N01 _ |SZE~a.NAM2| _ N01 _ PAP~b _ N01 _ |1(N58).BAD~b| _ N01 _ AB~a _ N01 _ N01 _ N01 _ N01 _ N01 _ TE _ N01 _ GA~a _ N01 _ N01 _ NIM~a _ N01 _ NIM~a",43
"P000006","1(N01) _ 1(N01) _ 1(N01) _ KAB _ NAM2 _ 1(N01) _ NAM2 _ NAM2 _ 1(N01) _ NAM2 _ URU~a1 _ 1(N01) _ NAM2 _ DI# _ 1(N01) _ NAM2 _ ERIN _ 1(N01) _ NAM2 _ 1(N01) _ AB~a# _ 1(N01) _ SZITA~a1# _ 1(N01) _ TE _ 1(N01) _ KINGAL _ 1(N01) _ UKKIN~a _ GESZTU~b _ 1(N01) _ UKKIN~a _ NUN~a _ 1(N01) _ GA~a _ GAL~b _ 1(N01) _ GA~a _ GESZTU~b _ 1(N01) _ GA~a _ NUN~a _ 1(N01) _ UMUN2# _ 1(N01) _ ZATU693 _ EN~a _ 1(N01) _ ZATU693 _ UKKIN~a _ 1(N01) _ ZATU693 _ NAGA~b _ 1(N01) _ SUKKAL# _ USZ~a# _ 1(N01) _ 1(N01) _ KASZ~b _ 1(N01) _ ISZ~a _ 1(N01) _ NIM~a _ 1(N01) _ 1(N01) _ |GURUSZ~ax2(N14)| _ 1(N01) _ SZITA~a1 _ 1(N01) _ KISAL~b1# _ NUN~a _ 1(N01) _ KISAL~b1 _ GESZTU~b _ 1(N01) _ UMUN2 _ 1(N01) _ 1(N01) _ SUHUR# _ 1(N01) _ NESAG2~a# _ 1(N01) _ TUR3~a _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ 1(N01) _ SUHUR _ 1(N01) _ 1(N01) _ 1(N01) _ KISAL~b1# _ 1(N01) _ 1(N01) _ GIR3~a# _ 1(N01) _ 1(N01) _ ZATU736~b _ 1(N01) _ DA~b _ 1(N01) _ PA~a _ GIR3~a _ 1(N01) _ SZEG9 _ 1(N01) _ GI _ 1(N01) _ 1(N01) _ |AB2x2(N14)| _ 1(N01) _ DARA3~c _ 1(N01) _ DIN _ 1(N01) _ GURUSZDA# _ 1(N01) _ RAD~b _ 1(N01) _ PA~a _ RAD~b _ 1(N01) _ ADAB _ 1(N01) _ NIR~b _ 1(N01) _ BU~a _ 1(N01) _ 1(N01) _ SZUM _ PA~a _ 1(N01) _ ZATU693 _ 1(N01) _ UTUL~b _ 1(N01) _ |USZ~b&USZ~b|","N01 _ N01 _ N01 _ KAB _ NAM2 _ N01 _ NAM2 _ NAM2 _ N01 _ NAM2 _ URU~a1 _ N01 _ NAM2 _ DI _ N01 _ NAM2 _ ERIN _ N01 _ NAM2 _ N01 _ AB~a _ N01 _ SZITA~a1 _ N01 _ TE _ N01 _ KINGAL _ N01 _ UKKIN~a _ GESZTU~b _ N01 _ UKKIN~a _ NUN~a _ N01 _ GA~a _ GAL~b _ N01 _ GA~a _ GESZTU~b _ N01 _ GA~a _ NUN~a _ N01 _ UMUN2 _ N01 _ ZATU693 _ EN~a _ N01 _ ZATU693 _ UKKIN~a _ N01 _ ZATU693 _ NAGA~b _ N01 _ SUKKAL _ USZ~a _ N01 _ N01 _ KASZ~b _ N01 _ ISZ~a _ N01 _ NIM~a _ N01 _ N01 _ |GURUSZ~ax2(N14)| _ N01 _ SZITA~a1 _ N01 _ KISAL~b1 _ NUN~a _ N01 _ KISAL~b1 _ GESZTU~b _ N01 _ UMUN2 _ N01 _ N01 _ SUHUR _ N01 _ NESAG2~a _ N01 _ TUR3~a _ N01 _ N01 _ N01 _ N01 _ N01 _ SUHUR _ N01 _ N01 _ N01 _ KISAL~b1 _ N01 _ N01 _ GIR3~a _ N01 _ N01 _ ZATU736~b _ N01 _ DA~b _ N01 _ PA~a _ GIR3~a _ N01 _ SZEG9 _ N01 _ GI _ N01 _ N01 _ |AB2x2(N14)| _ N01 _ DARA3~c _ N01 _ DIN _ N01 _ GURUSZDA _ N01 _ RAD~b _ N01 _ PA~a _ RAD~b _ N01 _ ADAB _ N01 _ NIR~b _ N01 _ BU~a _ N01 _ N01 _ SZUM _ PA~a _ N01 _ ZATU693 _ N01 _ UTUL~b _ N01 _ |USZ~b&USZ~b|",275
"P000121","NUN~a _ U4 _ ZATU659 _ GAL~a _ IB~b _ IB~b _ KA~a# _ NAM2 _ RAD~a _ NAM2 _ UMUN2 _ ERIN _ NAM2 _ |1(N57).SZUBUR| _ ZATU766# _ DI _ NA~c _ A2","NUN~a _ U4 _ ZATU659 _ GAL~a _ IB~b _ IB~b _ KA~a _ NAM2 _ RAD~a _ NAM2 _ UMUN2 _ ERIN _ NAM2 _ |1(N57).SZUBUR| _ ZATU766 _ DI _ NA~c _ A2",35
"P000730","2(N14)# _ |SAGxGESZTU~a|# _ 2(N14)# _ URUDU~a# _ ERIM~a _ 4(N01)# _ ZATU764","N14 N14 _ |SAGxGESZTU~a| _ N14 N14 _ URUDU~a _ ERIM~a _ N01 N01 N01 N01 _ ZATU764",18
"P000731","1(N01)# _ SZUM# _ 3(N01)# _ BUR~b# _ 2(N01)# _ 1(N01)# _ 1(N01)# _ SILA3~a# _ GUG2# _ 4(N01)# _ 4(N01)# _ 3(N01)# _ ZATU726~a# _ 1(N01)# _ 2(N08)# _ ZATU734# _ 9(N01)","N01 _ SZUM _ N01 N01 N01 _ BUR~b _ N01 N01 _ N01 _ N01 _ SILA3~a _ GUG2 _ N01 N01 N01 N01 _ N01 N01 N01 N01 _ N01 N01 N01 _ ZATU726~a _ N01 _ N08 N08 _ ZATU734 _ N01 N01 N01 N01 N01 N01 N01 N01 N01",53
"P000732","TAG~a1 _ 2(N01)# _ SANGA~a# _ NUN~a#","TAG~a1 _ N01 N01 _ SANGA~a _ NUN~a",8
"P000739","2(N01)# _ 3(N01)#","N01 N01 _ N01 N01 N01",6
