artifact_id,cdli_comments,designation,artifact_type,period,provenience,written_in,archive,composite_no,seal_no,composites,seals,museum_no,accession_no,condition_description,artifact_preservation,period_comments,provenience_comments,artifact_type_comments,is_provenience_uncertain,is_period_uncertain,is_artifact_type_uncertain,is_school_text,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,artifact_comments,seal_information,collections,dates,alternative_years,genres,languages,materials,publications_key,publications_type,publications_exact_ref,publications_comment,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
753,,"ATU 5, pl. 004, W 6245,c",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 15337,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,68,23,50,,,"W 06245,c","Pe XVI,2","in der Scherbenschicht 0,6 m unter Abgleichung der Schicht III// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5; Englund1998OBO160/1,primary; history,"pl. 4, W 6245,c; p. 52 fig. 15","68x50x23 - same locus as W 6245,a - 13.1.1930 - sealed ""numerical tablet"" - it is often very difficult to determine whether the signs impressed on the edge of numerical tablets represent the sign N14 (w) or N1 (q) due to the extreme angle with which the blunt; copy",,, ,0,0,,,0,0,0,0,,
754,,"ATU 5, pl. 004, W 6245,d1",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 15360,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,35,20,37,,,"W 06245,d1","Pe XVI,2","in der Scherbenschicht 0,6 m unter Abgleichung der Schicht III// t.a.q. IIIc",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 4, W 6245,d1","35x37x20 - same locus as W 6245,a - 13.1.1930 - sealed ""numerical tablet.""",,, ,0,0,,,0,0,0,0,,
755,,"ATU 5, pl. 004, W 6245,d2",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,S999999,VA 13624,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,53,23,44,,,"W 06245,d2","Pe XVI,2","in der Scherbenschicht 0,6 m unter Abgleichung der Schicht III",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 4, W 6245,d2","53x44x23 - same locus as W 6245,a - 13.1.1930 - sealed ""numerical tablet"" - photo courtesy of DAI-Baghdad.",,, ,0,0,,,0,0,0,0,,
797,,"ATU 5, pl. 009, W 6613,e",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 21356,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,40,27,32,,,"W 06613,e","Pe XVI,2/3",in der Scherbenschicht unter III// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 9, W 6613,e","40x32x27 - same locus as W 6613,a - 25.1.1930 - ""numerical"" tablet, dividing line made with shank of the stylus.",,, ,0,0,,,0,0,0,0,,
793,,"ATU 5, pl. 011, W 6613,a",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17814,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,69,26,48,,,"W 06613,a","Pe XVI,2/3",in der Scherbenschicht unter III// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 11, W 6613,a","69x48x26 - Pe XVI,2/3, in the layer of sherds below III - 25.1.1930 - ""numerical"" tablet, dividing lines made with shank of the stylus.",,, ,0,0,,,0,0,0,0,,
794,,"ATU 5, pl. 011, W 6613,b",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17811,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,49,28,42,,,"W 06613,b","Pe XVI,2/3",in der Scherbenschicht unter III// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 11, W 6613,b","49x42x28 - same locus as W 6613,a - 25.1.1930 - ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
795,,"ATU 5, pl. 011, W 6613,c",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17830,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,31,20,37,,,"W 06613,c","Pe XVI,2/3",in der Scherbenschicht unter III// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 11, W 6613,c","31x37x20 - same locus as W 6613,a - 25.1.1930 - ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
796,,"ATU 5, pl. 011, W 6613,d",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17818,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,56,25,29,,,"W 06613,d","Pe XVI,2/3",in der Scherbenschicht unter III// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 11, W 6613,d","56x29x25 - same locus as W 6613,a - 25.1.1930 - ""numerical"" tablet, dividing line made with shank of the stylus.",,, ,0,0,,,0,0,0,0,,
798,,"ATU 5, pl. 011, W 6613,f",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 17835,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,27,16,23,,,"W 06613,f","Pe XVI,2/3",in der Scherbenschicht unter III// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 11, W 6613,f","27x23x16 - same locus as W 6613,a - 25.1.1930 - ""numerical"" tablet with curious triangular impression.",,, ,0,0,,,0,0,0,0,,
799,,"ATU 5, pl. 011, W 6613,g",tablet,Uruk V (ca. 3500-3350 BC),Uruk (mod. Warka),,,,,,,VAT 21376,,,,"change to Uruk V ?, numerical tablet",,,0,0,0,0,35,14,16,,,"W 06613,g","Pe XVI,2/3",in der Scherbenschicht unter III// t.a.q. IIIc,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Administrative,undetermined,clay,Englund1994ATU5,primary,"pl. 11, W 6613,g","35x16x14 - same locus as W 6613,a - 25.1.1930 - ""numerical"" tablet.",,, ,0,0,,,0,0,0,0,,
