id,corpus_id,filename,language_name_wals,language_name_glotto,iso639_3,year_composed,year_published,mode,genre_broad,genre_narrow,writing_system,special_characters,short_description,source,copyright_short,copyright_long,sample_type,comments
1,1,abk_pro_1.txt,Abkhaz,Abkhazian,abk,1996 – 2009,"NA",written,professional,official_documents,Cyrl,"NA",Universal Declaration of Human Rights,https://unicode.org/udhr/d/udhr_abk.txt (30/01/2019),"© 1996 – 2009 The Office of the High Commissioner for Human Rights. This plain text version prepared by the “UDHR in Unicode” project, https://www.unicode.org/udhr.","NA",whole,"NA"
2,2,kjq_nfi_1.txt,Acoma,Western Keres,kjq,1919,1928,spoken,non-fiction,oral_tradition,Latn,"some of the special characters and diacritics are described in Boas, F. (1928). Keresan texts. Vol. 8, Part I, xi-xii.","The title is ""The Emergence (Told by ᴋo'ᴛʸε, 1919)"". Creation myth. This corresponds to pages 1-10 in Boas (1928), Part II.","Boas, F. (1928). Keresan texts. Publications of the American Ethnological Society, Vol. 8, Part I and II. New York: G. E. Stechert and Company.","NA","Statement by the Hathi Trust (http://www.hathitrust.org/access_use#pd): ""We have determined this work to be in the public domain, meaning that it is not subject to copyright. Users are free to copy, use, and redistribute the work in part or in whole. It is possible that current copyright holders, heirs or the estate of the authors of individual portions of the work, such as illustrations or photographs, assert copyrights over these portions. Depending on the nature of subsequent use that is made, additional rights may need to be obtained independently of anything we can address.""",whole,"The lines of the Western Keres (Acoma) text in the original hand-written document by Boas have line breaks splitting words indicated by '-'. These are kept here. Each line in this document hence corresponds directly to a line in Boas' handwriting. Tab delimiters are given where there are indents in the original text. The English translation can be found in Boas (1928), Part I, pp. 1-7."
3,3,amp_nfi_1.txt,Alamblak,Alamblak,amp,"NA",2004,written,non-fiction,religion,Latn,"NA","Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.",http://pngscriptures.org/amp/copyright.htm,"© Wycliffe Bible Translators, Inc. 2003 2004","Print publisher: The Bible League<br>Electronic publisher: PNG Bible Translation Association<br>Translation by:<br>Wycliffe Bible Translators<br>This translation is made available to you under the terms of the Creative Commons Attribution-Noncommercial-No Derivative Works license. In addition, you have permission to port the text to different file formats, as long as you don't change any of the text or punctuation of the Bible.<br>Pictures included with Scriptures and other documents on this site are licensed just for use with those Scriptures and documents. For other uses, please contact the respective copyright owners.<br>You may share, copy, distribute, transmit, and extract portions or quotations from this work, provided that:<br>You include the above copyright information and that you make it clear that the work came from http://pngscriptures.org/.<br>You do not sell this work for a profit.<br>You do not make any derivative works that change any of the actual words or punctuation of the Scriptures.<br>Permissions beyond the scope of this license may be available if you contact us with your request. If you want to revise a translation, use a translation in an adaptation, or use a translation commercially, we will relay your request to the appropriate copyright owner.",whole,"The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers."
4,4,aey_nfi_1.txt,Amele,Amele,aey,"NA",1997,written,non-fiction,religion,Latn,"NA","Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.",http://pngscriptures.org/aey/index.htm,© The Bible League 1997,"copyright © 1997 The Bible League<br>Print publisher: The Bible League<br>Electronic publisher: PNG Bible Translation Association<br>Translation by: Wycliffe Bible Translators<br>This translation is made available to you under the terms of the Creative Commons Attribution-Noncommercial-No Derivative Works license. In addition, you have permission to port the text to different file formats, as long as you don't change any of the text or punctuation of the Bible.<br>Pictures included with Scriptures and other documents on this site are licensed just for use with those Scriptures and documents. For other uses, please contact the respective copyright owners.<br>You may share, copy, distribute, transmit, and extract portions or quotations from this work, provided that:<br>You include the above copyright information and that you make it clear that the work came from http://png scriptures.org/.<br>You do not sell this work for a profit.<br>You do not make any derivative works that change any of the actual words or punctuation of the Scriptures.",whole,"The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse."
5,5,apu_nfi_1.txt,Apurinã,Apurinã,apu,"NA",2004,written,non-fiction,religion,Latn,"NA","Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.",http://www.scriptureearth.org/data/apu,© Wycliffe Bible Translators 2010,"Atribuição-Uso Não-Comercial-Vedada a Criação de Obras Derivadas 3.0<br>Você pode: — copiar, distribuir, exibir e executar a obra SOB AS SEGUINTES CONDIÇÕES:<br>ATRIBUIÇÃO — Você deve dar crédito ao autor original, da forma especificada pelo autor ou licenciante.<br>USO NÃO-COMERCIAL — Você não pode utilizar esta obra com finalidades comerciais.<br>VEDADA A CRIAÇÃO DE OBRAS DERIVADAS — Você não pode alterar, transformar ou criar outra obra com base nesta.",whole,"The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers."
6,6,arz_nfi_1.txt,Arabic (Egyptian),Egyptian Arabic,arz,"NA","NA",written,non-fiction,religion,Arab,"NA","Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.",http://www.bible.is/ARZVDV/Mark/1,© The Bible Society of Egypt,Old Testament Copyrights: This Bible text is brought to you by The Bible Society of Egypt<br>New Testament Copyrights: This Bible text is brought to you by The Bible Society of Egypt,whole,"The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers."
7,7,ape_nfi_1.txt,Arapesh (Mountain),Bukiyip,ape,"NA",1994,written,non-fiction,religion,Latn,"NA","Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.",http://pngscriptures.org/ape/copyright.htm,"© Wycliffe Bible Translators, Inc. 1994","Print publisher: The Bible League<br>Electronic publisher: PNG Bible Translation Association<br>Translation by:<br>Wycliffe Bible Translators<br>This translation is made available to you under the terms of the Creative Commons Attribution-Noncommercial-No Derivative Works license. In addition, you have permission to port the text to different file formats, as long as you don't change any of the text or punctuation of the Bible.<br>Pictures included with Scriptures and other documents on this site are licensed just for use with those Scriptures and documents. For other uses, please contact the respective copyright owners.<br>You may share, copy, distribute, transmit, and extract portions or quotations from this work, provided that:<br>You include the above copyright information and that you make it clear that the work came from http://pngscriptures.org/.<br>You do not sell this work for a profit.<br>You do not make any derivative works that change any of the actual words or punctuation of the Scriptures.<br>Permissions beyond the scope of this license may be available if you contact us with your request. If you want to revise a translation, use a translation in an adaptation, or use a translation commercially, we will relay your request to the appropriate copyright owner.",whole,"The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers."
8,8,tml_con_1.txt,Asmat,Tamnim Citak,tml,1960-1962,1965,spoken,conversation,spontaneous_speeches,Latn,"Voorhoeve (1965), p. 20 (footnote 5) describes the following special characters: [ɛ] is written as <è>; prolongation of vowels is indicated by a macron, e.g. <ō>; the alveopalatal nasal is written <nj>; the voiceless glottal fricative is written <h>. Furthermore, [′m] is written <′m>, [ts] is <ts>, and [pr] is <pr>. The central vowel [ĕ] is also explicitely written <ĕ>. Accented vowels are marked with accute accents: <é>, <í>, <á>, <ú>, <ó>.","Voorhoeve (1965), p. 181 gives the following description of text I.: ""Narrator: the informant Mífekpic from Surú; approximately 14 years of age. He tells of a day in the life of youths from Surú.""","Voorhoeve, C. L. (1965). The Flamingo Bay dialect of the Asmat language. Verhandelingen van het Koninklijk Instituut voor Taal-, Land- en Volkenkunde, Deel 46. 'S-Gravenhage, Martinus Nijhoff, p. 184.","NA","NA",whole,"The text is given in Voorhoeve (1965) as a running text with systematic punctuation, but without further segmentation into sentences or phrases. We here attempt to further segment the text into sentences by using punctuation marks as an orientation. There are footnotes which either contain clarifications (marked with letters), or alternative spellings/pronunciations/word-forms (marked with numbers)."
9,8,tml_con_2.txt,Asmat,Tamnim Citak,tml,1960-1962,1965,spoken,conversation,spontaneous_speeches,Latn,"Voorhoeve (1965), p. 20 (footnote 5) describes the following special characters: [ɛ] is written as <è>; prolongation of vowels is indicated by a macron, e.g. <ō>; the alveopalatal nasal is written <nj>; the voiceless glottal fricative is written <h>. Furthermore, [′m] is written <′m>, [ts] is <ts>, and [pr] is <pr>. The central vowel [ĕ] is also explicitely written <ĕ>. Accented vowels are marked with accute accents: <é>, <í>, <á>, <ú>, <ó>.","Voorhoeve (1965), p. 181 gives the following description of text II.: ""Narrator: Mífekpic. He gives a brief description of the way in which a marriage is concluded.""","Voorhoeve, C. L. (1965). The Flamingo Bay dialect of the Asmat language. Verhandelingen van het Koninklijk Instituut voor Taal-, Land- en Volkenkunde, Deel 46. 'S-Gravenhage, Martinus Nijhoff, p. 184.","NA","NA",whole,"The text is given in Voorhoeve (1965) as a running text with systematic punctuation, but without further segmentation into sentences or phrases. We here attempt to further segment the text into sentences by using punctuation marks as an orientation. There are footnotes which either contain clarifications (marked with letters), or alternative spellings/pronunciations/word-forms (marked with numbers). The last sentence does not seem to be translated and hence '_ _' in the translation. It literally translates to 'then not' and probably means 'the end'."
10,9,bmi_gre_1.txt,Bagirmi,Bagirmi,bmi,"NA",2016,spoken,grammar,"NA",Latn,"The transcription is fully explained in Keegan & Djibrine (2016), pp. iii. Special characters include: <ǝ>: unrounded central mid vowel; <ɨ>: central high vowel; <ɓ>: implosive bilabial; <ɲ>: palatal nasal; <ŋ>: velar nasal; <ɗ> implosive alveolar; <š> palatal fricative; <ƴ> implosive palatal glide. The tone diacritics are <á>: high tone; <à> low tone; <ā> mid tone; <â> high low tone (contour). Some of the special characters for tone marked vowels are produced in unicode by using the ""combining tone marks"", these include: <ǝ́>, <ɨ́>, <ɨ̀>, <ǝ̀>.","Example sentences from the grammatical introduction to the Bagirmi-French lexicon (Keegan & Djibrine, 2016).","Keegan, J. M., and Djibrine, M. I. (2016). Bagirmi lexicon, Bagirmi-French, French-Bagirmi, with grammatical introduction in English. Second Edition, Morkeg Books, Cuenca.","NA","NA",whole,"Only full sentences of the grammatical introduction are transcribed, i.e. sentences containing a verb and its complement. Also, only sentences with a glossing are used in order to keep the levels of annotation constant across the file."
