"object_id","site_name","date_bp_max_min","material","object_type","coding","coding_clean"
"gkl0001","Geissenklösterle","35700±700 - 30625±796","ivory","undetermined","||| /////! _ V","||| ///// _ V"
"gkl0002","Geissenklösterle","35700±700 - 30625±796","bone","tube/flute","!vvvvv!","vvvvv"
"gkl0003","Geissenklösterle","35700±700 - 30625±796","bone","flute","vvvv vvvv","vvvv vvvv"
"gkl0004","Geissenklösterle","35700±700 - 30625±796","bone","tube","vvvvvvvvvvvvvv","vvvvvvvvvvvvvv"
"gkl0005","Geissenklösterle","35700±700 - 30625±796","ivory","undetermined","!|||!","|||"
"gkl0006","Geissenklösterle","35700±700 - 30625±796","ivory","personal ornament","||||","||||"
"gkl0007","Geissenklösterle","35700±700 - 30625±796","ivory","possible flute","!vvvvvv!","vvvvvv"
"gkl0008","Geissenklösterle","35700±700 - 30625±796","ivory","possible flute","!vvvvvvvv!","vvvvvvvv"
"gkl0009","Geissenklösterle","35700±700 - 30625±796","ivory","undetermined","!vvvv","vvvv"
"gkl0010","Geissenklösterle","35700±700 - 30625±796","ivory","possible flute","!vvvvvv","vvvvvv"
"gkl0011","Geissenklösterle","35700±700 - 30625±796","ivory","figurine zoomorph","||||||| _ ¤¤¤¤¤¤¤¤¤! _ !// _ ¤¤¤¤¤¤¤¤¤! _ |||! _ V","||||||| _ ¤¤¤¤¤¤¤¤¤ _ // _ ¤¤¤¤¤¤¤¤¤ _ ||| _ V"
"gkl0012","Geissenklösterle","35700±700 - 30625±796","ivory","figurine zoomorph","||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ ////! _ ///! ¤¤¤¤!","||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤"
"gkl0013","Geissenklösterle","35700±700 - 30625±796","ivory","possible flute","!vvvvvvvv","vvvvvvvv"
"gkl0014","Geissenklösterle","35700±700 - 30625±796","antler","personal ornament","v!vvvvv!vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvv!vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv","vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv"
"gkl0015","Geissenklösterle","35700±700 - 30625±796","bone","tube/flute","!vvvvvvvv! _ !vvvvvvvvv!","vvvvvvvv _ vvvvvvvvv"
"gkl0016","Geissenklösterle","35700±700 - 30625±796","bone","flute","v","v"
"gkl0017","Geissenklösterle","35700±700 - 30625±796","bone","tube/flute","!v vv vv","v vv vv"
"gkl0018","Geissenklösterle","35700±700 - 30625±796","bone","tube/flute","!v v v vv vv! _ !v v vv!","v v v vv vv _ v v vv"
"gkl0019","Geissenklösterle","35700±700 - 30625±796","ivory","possible flute","!vvvvvvvv","vvvvvvvv"
"gkl0020","Geissenklösterle","35700±700 - 30625±796","ivory","possible flute","!vvvvv!","vvvvv"
"gkl0021","Geissenklösterle","35700±700 - 30625±796","ivory","flute","Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv! _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv!","Vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv"
"gkl0022","Geissenklösterle","38900±1000 - 30100±550","ivory","rod/bâton","!OOOOO!","OOOOO"
"gkl0023","Geissenklösterle","38900±1000 - 30100±550","ivory","possible flute","!vvvvvvvvvvvvvvvvvvv!","vvvvvvvvvvvvvvvvvvv"
"gkl0024","Geissenklösterle","35700±700 - 30625±796","ivory","possible flute","!vvvv!","vvvv"
"gkl0025","Geissenklösterle","35700±700 - 30625±796","ivory","plaquette","Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>>! _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°° ","Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°° "
"gkl0026","Geissenklösterle","35700±700 - 30625±796","ivory","figurine zoomorph","| ||||| | _ | | | || || | | | | |","| ||||| | _ | | | || || | | | | |"
"gkl0027","Geissenklösterle","35700±700 - 30625±796","ivory","bâton percé","!vvvvvvvvvvvv!","vvvvvvvvvvvv"
"gkl0028","Geissenklösterle","35700±700 - 30625±796","antler","antler object","|||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ ////////////","|||| _ –XXXX _ ¤¤¤¤¤¤¤¤¤ _ vvvvvvvvvvvvv _ ////////////"
"gkl0029","Geissenklösterle","35700±700 - 30625±796","ivory","possible flute","!vvvvvvvvvvv","vvvvvvvvvvv"
"gkl0030","Geissenklösterle","38900±1000 - 30100±550","bone","undetermined","!||!","||"
"hfc0001","Hohle Fels","29990+340/-330 - 29780+330/-310","ivory","personal ornament","v vvv v v _ vvv! v","v vvv v v _ vvv v"
"hfc0002","Hohle Fels","33090+260/-250 - 28750±750","ivory","undetermined","!¥!","¥"
"hfc0003","Hohle Fels","34570±260 - 31750±260","ivory","possible figurine","[°°°°°°°°°°] _ | _ |"," _ | _ |"
"hfc0004","Hohle Fels","34570±260 - 31750±260","ivory","rod/bâton","X(X\)!XX(XX)! _ || _ v _ v","XXX _ || _ v _ v"
"hfc0005","Hohle Fels","34570±260 - 31750±260","ivory","figurine anthropomorph","vvvvv _ >> _ ||||CC _ !¤¤¤¤¤¤¤¤¤¤¤¤ _ !|||| ","vvvvv _ >> _ ||||CC _ ¤¤¤¤¤¤¤¤¤¤¤¤ _ |||| "
"hfc0006","Hohle Fels","30010±220 - 29560+240/-230","bone","undetermined","||| X V\\ / \\/ \\ ¥ _ °°°°°°°","||| X V\\ / \\/ \\ ¥ _ °°°°°°°"
"hfc0007","Hohle Fels","34570±260 - 31750±260","bone","tube/flute","!vvvvv!","vvvvv"
"hfc0008","Hohle Fels","33090+260/-250 - 28750±750","bone","spatula/lissoir","!vvvvvvvvvvvv!","vvvvvvvvvvvv"
"hfc0009","Hohle Fels","34570±260 - 31750±260","bone","undetermined","l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _ (–ll) ll ll ll ll","l llXl ll| |  XX| |  ¥¥¥ ¥¥ llll _ | | | | | | | | | | l _  ll ll ll ll"
"hfc0010","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","OO","OO"
"hfc0011","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","|| |||","|| |||"
"hfc0012","Hohle Fels","34570±260 - 31750±260","ivory","personal ornament","OO","OO"
"hfc0013","Hohle Fels","33090+260/-250 - 28750±750","ivory","undetermined","!¥ ¥ ¥?!","¥ ¥ ¥"
"hfc0014","Hohle Fels","33090+260/-250 - 28750±750","ivory","undetermined","!¥!","¥"
