"id","coding_sample"
1,"v v vv v _ //////////// _ /// _ ///// _ // //// _ ¥ _ /////////// _ |||||| _ vvvv vvv _ |||| _ vvvv vv _ OOOOO _ v v vv v v v _ vv _ X _ ¥ _ ||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤ _ v _ ¥ _ vv _ ||||| _ ///////////////// _ /////////////// _ vvvv _ vvvv _ vvv _ W W _ ||||| _ vvvvv"
2,"|||||X _ |||| _ v v v vv _ v v v _ v v vv vv vv vv _ ¥ _ vvv _ vvvvvvv _ ⊞ _ vvvvv _ vvvvvv _ & _ vvvv _ W _ vvvvvvvv _ vvv _ v v vv v v _ ||| _ vv _ vvv _ |||||||||||| _ ||||| _ ||||||| _ vvv _ vvvvv _ ||| _ ¥ _ | _ Vvvv _ |||| _ |||||| _ ||||| ||| _ ||"
3,"| | || | > _ ¥ _ vvv vvv _ XX _ XXXX _ X/X|| _ |||| _ OO _ vvvvv _ |||| _ YYY _ || || _ X| _ vvvvvv/v _ v vv v _ |||| || || | _ |||||| | | | _ |||||||| _ ////////// _ l|ll"
4,"XXX _ vvvv _ ¥ _ W _ ⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞ _ vvvvvvv _ // /// // _ ¥ v _ vvvvV _ >>  _ Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°  _ ¥ _ |||| || || | _ |||||| | | | _ |||||||| _ vvvvvv _ X _ ||||| _ ¤¤¤¤¤¤¤¤¤¤¤¤¤¤¤ _ ///// _ ||||| _ ¤¤¤¤¤¤¤ _ ||| |||| _ || _ | | || | | | _ lllll | | _ //// _ /// ¤¤¤¤ _ vvvvvv _ ¥ _ ¥ _ ||| _ ¥ _ | _ XXXXX _ XXXX _ vvvvvvvv"
5,"| | |||| ||| _ vv _ °°°°°°°°° _ °°°°°° _ ° _ ° _ ¤¤¤¤¤¤ _ vvvvvvvvvvvvvv _ ||||||||||| _ ||| _ v _ v _ v _ v _ v _ vvvv _ vvvvv _ vvv _ vvvvv _ | _ vvvv*vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ ¥ _ >>>>>>  >>>>> _ ¥ _ // _ |||||X _ |||| _ vvvvvv _ v v vv v v"
6,"vvvvvvvvvvvvvvvvvvv _ || _ ||| ///// _ V _ YYY _ v vvv v v _ vvv v _ vvvvvvvvvvvv _ XX _ ||||||| _ vvvvv _ vvv _ XXXX _ ||||||| _ ¥ _ vvv _ v _ vvvv vvvvvv >>>> _ vvvv _ vvvv _ XX _ vvvvvv"
7,"vvvvvvvvvv _ |||| _ vvv _ |||| _ v vv vv _ vvvvv _ >> _ ||||CC _ ¤¤¤¤¤¤¤¤¤¤¤¤ _ ||||  _ ¥ _ v vvv _ ¥ _ ¥ _ X _ vvvvvvvvvvvvvv _ ||||||||||| _ °°°°°°°°°°° _ °°°°°°°° _ °°°°°°°°°°° _ °°°°°°°°°°°°°° _ vvvXXX _ vvvvvv _ vvvvv _ ||| _ ||| _ vvvv _ ||| _ vvvv _ |||| _ ||| _ ||| _ vvv _ ¥ _ || _ ° _ XXXXXXXXXXXXX _ vvvvvvvvvvvvvvvvv _ ⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞"
8,"°°°° °°° _ °°°°°°°° _ v°°°°°°°°° _ Vv _ | || | _ / \ _ ||| _ || _ ¥ _ ||||| _ /XX _ ⊞ _ ⊞ _ vvvvvvvvvvvvvvvvvv _  ⊞ _ Vvvv _ |||| _ vvv _ v v v vv vv _ v v vv _ Vvvvvvvvvvvvv _ vvvvvvvvvvvvv _ vvvvvvv _ vvvvvv _ >>>>\\\  _ >>> _  ^^^^ _ °°°°°°°°°°°°° _ °°°°°°°°°° _ °°°°°°°°°°°° _ °°°°°°°°°°°°°  _ | _ vvvv _ v v vv v _ vvvv _ vvv  _ vvv _ ||||||||||||||| _ vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv _ vvvvvvvvvvvvvvvvvvvv"
9,"|||||X _ |||| _ | |||| _ | _ vv v _ ||||_ | || _ |||| _ // _ ¥ _ / / / / // _ vvvvv _ ⊞ _ >> _ vvv _ vvvvv _ ¥ _ vvvvvvv _ v _ vvv vvv _ vvvvvvvvvvvv _ v _ XXX"
10,"vv _ vv _ vvvvvvv _ vvvvvvvv _ ⊞ _ ¥ _ |||| _ $ _ v vvv v v _ vvv v _ XXXX _ vv _ ||||| _ | _ || _ vvvv _ ⊞ _ ⊞ _ || _  ⊞ _ | | | _ ||| _ OO _ vv v _v _ vvvvvvvvvv"
