"VanhaerenDErrico2003_Fig.6","DutkiewiczBentz2023","lateralization","position","coding","certainty","coding_clean"
1,NA,"left","occlusal surface","|| |","uncertain","|| |"
2,2,"left","occlusal surface, approximal","⚹°","very certain","⚹°"
13,11,"left","occlusal surface, 2/3 approximal","| || |","very certain","| || |"
16,14,"left","occlusal surface, complete","||||X","very certain","||||X"
18,NA,"left","occlusal surface, centered","|X","uncertain","|X"
19,17,"left","occlusal surface, centered","||l|","very certain","||l|"
20,NA,"left","occlusal surface, centered, lingual","|X|","uncertain","|X|"
21,19,"left","occlusal surface, centered","Y||","very certain","Y||"
25,22,"left","occlusal surface, complete","|ll|||ll?| |","certain","|ll|||ll| |"
27,24,"right","occlusal surface, approximal to center","|Y","very certain","|Y"
29,26,"right","occlusal surface, centered","|ll|X","certain","|ll|X"
32,29,"right","lingual, approximal to labial","vvvvvv","very certain","vvvvvv"
33,30,"right","occlusal surface, centered","l|l","very certain","l|l"
34,31,"right","occlusal surface, centered","|#","certain","|#"
37,34,"right","frontal","|||","very certain","|||"
41,38,"right","occlusal surface, centered","X","very certain","X"
42,39,"right","occlusal surface, centered slightly lingual","Xl","very certain","Xl"
43,40,"right","occlusal surface, approximal to center","| ||","certain","| ||"
45,41,"right","occlusal surface, lingual","l | ||","very certain","l | ||"
46,42,"right","occlusal surface, centered","||X","certain","||X"
47,43,"right","occlusal surface, complete","| ||ll||","very certain","| ||ll||"
49,45,"right","frontal, from top to bottom, lingually orientated","v||","certain","v||"
50,46,"right","occlusal surface, lingual 1/3 to central","lll| |l","very certain","lll| |l"
51,NA,"right","occlusal surface, approximal, in centre buccal","|||vv","certain","|||vv"
53,47,"right","occlusal surface, complete","|| ||","very certain","|| ||"
54,48,"right","occlusal surface, complete","l||⚹","very certain","l||⚹"
56,50,"right","occlusal surface, centered","|","very certain","|"
58,52,"right","buccal, approximal","vvv","very certain","vvv"
59,53,"right","occlusal surface, complete","| |¥","very certain","| |¥"
60,54,"right","occlusal surface, centered","|l|⚹","very certain","|l|⚹"
61,55,"right","occlusal surface, frontal, lingual","ll","very certain","ll"
62,56,"right","occlusal surface, centered","||l|","certain","||l|"
67,NA,"left","occlusal surface, approximal","||","very uncertain","||"
70,63,"right","occlusal surface, complete","|||||","certain","|||||"
74,NA,"","","XX","very uncertain","XX"
NA,NA,"right","occlusal surface, centered","||","certain","||"
NA,NA,"left","frontal","|||X","certain","|||X"
