VanhaerenDErrico2003_Fig.6,VanhaerenDErrico2003_Fig. 13,Blanchard1972_Pl.I,VonPetzinger2016,DutkiewiczBentz2023,comments ,generalComments,lateralization,position,coding,certainty,description
1,1,18 (?),,,not examined,,left,occlusal surface,|| |,uncertain,"Transcript based on photo. Two lines approximal, then a space and one line in the centre of the surface."
2,2,,4,2,,,left,"occlusal surface, approximal",⚹°,very certain,"Star made of three lines, four lines are short, lower two lines are double the length, the dot is approx. between the lower lines left of the center. "
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,"missing, likely not belonging  to the burial",,,,,
9,,,,,,"missing, likely not belonging  to the burial",,,,,
10,,,,,,,,,,,
11,3,,,,not examined,,left,,,very uncertain,No transscript possible.
12,,,,,,,,,,,
13,10,14,,11,,,left,"occlusal surface, 2/3 approximal",| || |,very certain,"Four approx. parallel lines, starting lingual the space between line 1 and 2 is 3mm, from 2 to 3 line 2 mm, and 3 to 4 line 2.8mm. "
14,,,,,,,,,,,
15,,,,,,,,,,,
16,4,12 (?),6,14,,,left,"occlusal surface, complete",||||X,very certain,"Starting from lingual position 4 lines and then cross. Distances starting with lingual, from line 1 to line 2 3mm, from line 2 to line 3 2.5mm, from line 3 to 4 2.5mm."
17,,,,,,,,,,,
18,5,21 (?),,,not examined,,left,"occlusal surface, centered",|X,uncertain,Transscript based on photo. 
19,6,,7,17,,,left,"occlusal surface, centered",||l|,very certain,"Distances: line 1 to line 2 2mm, line 2 to line 3 (short) 1mm, line 3 to 4 1mm."
20,7,10,8,,not examined,,left,"occlusal surface, centered, lingual",|X|,uncertain,Transscript based on photo. 
21,8,,,19,,,left,"occlusal surface, centered",Y||,very certain,"Distances: between y-shape lingual and line 1 1.5mm, line 1 to 2 3mm."
22,,,,,,missing (recently),,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,9,13,,22,,,left,"occlusal surface, complete",|ll|||ll?| |,certain,"Distances: line 1 to line 2 0.5mm, line 2 to line 3 0.7mm, line 3 to 4 0.5mm, line 4 to 5 0.6mm, line 5 to 6 0.7mm, line 6 to 7 0.3mm, line 7 to 8 0.4mm, line 8 to 9 (i.e. the unidentifiable/indistinguishable markings) 3mm, line 9 to 10 3mm"
26,,,,,,,,,,,
