"id","coding_sample"
1,"||l|_|l|⚹_X_| ||ll||_| |¥_||_l | ||_||||X_|_|| ||_vvv_⚹°_l||⚹_ll_|#_| || |_v||_|ll|||ll| |_|||X_|ll|X_vvvvvv_|||_||X_||l|_|||vv"
2,"||X_vvv_l||⚹_|||_| |¥_|#_ll_| ||ll||_vvvvvv_|_|||||_⚹°_| || |_|| ||_|ll|X_l|l_|||X_||||X_||_Y||_l | ||_|l|⚹_||l|_|Y_| ||"
3,"l|l_||_l||⚹_Xl_|||_||||X_||X_|ll|||ll| |_v||_l | ||_ll_|| ||_| |¥_| ||_||l|_Y||_|||vv_|||||_vvv_|_| ||ll||_|Y_X_| || |_|||X"
4,"Y||_||||X_Xl_| ||_ll_l | ||_|l|⚹_| ||ll||_|ll|||ll| |_|ll|X_⚹°_lll| |l_l|l_|||X_| || |_||l|_vvv_||X_|||||_|_| |¥_v||_vvvvvv_|||_l||⚹"
5,"X_| ||ll||_|#_vvvvvv_| |¥_ll_||||X_|ll|||ll| |_l|l_|l|⚹_|||_v||_|ll|X_Y||_|| ||_||X_l | ||_||_| || |_|||vv_⚹°_vvv_lll| |l_||l|_|||X"
6,"| ||ll||_||l|_X_|l|⚹_v||_l||⚹_|||_lll| |l_ll_|Y_l|l_|ll|X_||||X_|||X_vvv_||_⚹°_|_||l|_| |¥_|#_|| ||_| ||_Xl_vvvvvv"
7,"| |¥_||l|_||_| ||_|||_|l|⚹_l|l_vvvvvv_|Y_|| ||_|#_|||vv_|||X_|_||X_|ll|||ll| |_| ||ll||_|ll|X_⚹°_X_| || |_|||||_l | ||_Xl_||l|"
8,"v||_| |¥_Xl_||X_|||_|Y_||_lll| |l_|||||_Y||_| ||_||l|_l||⚹_| ||ll||_|| ||_|#_l|l_|||vv_|_|ll|X_X_|||X_vvvvvv_| || |_ll"
9,"||l|_|l|⚹_Xl_vvvvvv_||||X_| || |_X_| |¥_||l|_|||X_|||vv_|ll|||ll| |_|#_|ll|X_vvv_l | ||_⚹°_|| ||_l|l_|_||X_|Y_l||⚹_ll_|||||"
10,"|||||_|ll|||ll| |_X_l | ||_||l|_|||_Xl_Y||_||X_vvv_v||_||l|_| ||ll||_l|l_ll_⚹°_lll| |l_|#_|_|ll|X_||_|||vv_| ||_|l|⚹_||||X"
11,"||_|#_lll| |l_||X_|||vv_v||_| ||ll||_⚹°_|_|ll|||ll| |_|||X_ll_Xl_|| ||_|Y_l|l_Y||_||l|_|l|⚹_|ll|X_vvvvvv_l||⚹_||||X_l | ||_| || |"
12,"Xl_|l|⚹_|#_|| ||_| ||ll||_l | ||_||X_v||_lll| |l_|||vv_|_vvvvvv_||l|_||_|ll|X_l|l_| |¥_|ll|||ll| |_X_|||X_|Y_l||⚹_| ||_vvv_Y||"
13,"||X_vvv_Xl_l|l_||l|_||||X_||_|_|ll|||ll| |_Y||_X_|||vv_| ||ll||_|||||_|||X_| ||_|ll|X_l | ||_⚹°_|||_vvvvvv_| |¥_| || |_|| ||_|l|⚹"
14,"|||vv_| ||ll||_||l|_l|l_l||⚹_|l|⚹_|||_|||||_|Y_l | ||_|||X_vvvvvv_⚹°_Y||_X_vvv_|ll|||ll| |_|ll|X_|| ||_|#_||||X_||l|_| || |_||_v||"
15,"Y||_||l|_|| ||_|||_|ll|||ll| |_||l|_|||vv_|||X_|#_| |¥_||||X_vvvvvv_| ||_|_l | ||_l||⚹_|l|⚹_||_l|l_lll| |l_|Y_v||_||X_Xl_| ||ll||"
16,"||X_Xl_||l|_|||_l||⚹_| || |_⚹°_||l|_| ||_|#_X_|| ||_vvvvvv_|||X_l|l_ll_|||vv_|_|l|⚹_l | ||_vvv_| |¥_||_lll| |l_Y||"
17,"| ||ll||_| |¥_|||X_lll| |l_⚹°_vvvvvv_||_|#_vvv_|||vv_v||_l | ||_X_| || |_||||X_Y||_||X_|| ||_l|l_|||||_l||⚹_|||_||l|_|ll|X_||l|"
18,"vvvvvv_| ||ll||_||||X_Xl_| ||_|l|⚹_||l|_Y||_| || |_|ll|X_vvv_v||_|| ||_|||vv_||X_l|l_|||||_|#_||l|_| |¥_|ll|||ll| |_l||⚹_|||X_||_|Y"
