object_id,ensemble_id,archaeological_unit,site_name,location,location__short_name,location__location,location__country,latitude,longitude,location__coord_precision,location__coord_reference,layer,dating_method,date_bp_min,min_lab_number,date_bp_max,max_lab_number,excavation_year,material,object_type,associated_species,length_mm,width_mm,depth_mm,preservation,short_description,references,sign_coding,coding_certainty
sgr0074,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,sgr,Saint-Germain-la-Rivière,France,44.400000,-0.333300,approximation,wikipedia,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine with markings on the frontal surface. not examined. published in Blanchard 1972, could not be assigned to any number from d'Errico & Vanhaeren 2003. transcript based on photo","Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",|||X,Certain
sgr0073,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine with markings on the occusal surface, centred. not examined. published in Blanchard 1972, could not be assigned to any number from d'Errico & Vanhaeren 2003. transcript based on photo","Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",||,Certain
sgr0072,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,reed deer canine with markings. piece is missing (see Vanhaeren & d'Errico 2003). Transcript based on photo,"Vanhaeren & d'Errico  2003, Fig. 6.74; Blanchard et al. 1972, Pl. I; Gambier et al. 2000; Vermeersch 2016",XX,Very uncertain
sgr0071,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.71",,
sgr0070,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,"right red deer canine with markings on the occlusal surface, complete","Vanhaeren & d'Errico  2003, Fig. 6.70; Vanhaeren & d'Errico  2003, Fig. 13.34; Gambier et al. 2000; Vermeersch 2016",|||||,Certain
sgr0069,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.69",,
sgr0068,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.68",,
sgr0067,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,fragmentary,"left red deer canine with markings on the occusal surface, approximal","Vanhaeren & d'Errico  2003, Fig. 6.67; Vanhaeren & d'Errico  2003, Fig. 13.11; Gambier et al. 2000; Vermeersch 2016",||,Very uncertain
sgr0066,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,almost complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.66",,
sgr0065,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,Saint-Germain-la-Rivière,sgr,Saint-Germain-la-Rivière,France,44.400000,-0.333300,approximation,wikipedia,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,almost complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.165",,
sgr0064,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.64",,
sgr0063,sgr_ens_01,Middle Magdalenian,Saint-Germain-la-Rivière,,,,,,,,,burial,AMS,15780±200,GifA 95456,,,1934,"animal tooth, red deer","personal ornament, pendant",,,,,complete,"red deer canine, no markings","Vanhaeren & d'Errico  2003, Fig. 6.63",,
