object_id,ensemble_id,archaeological_period,archaeological_unit,site_name,site_id,location,country,latitude,longitude,coord_precision,coord_reference,layer,dating_method,date_bp_min,min_lab_number,date_bp_max,max_lab_number,excavation_year,material,material_species,object_type,associated_species,length_mm,width_mm,depth_mm,preservation,short_description,collection,collection_id,references,sign_coding,coding_certainty
bst0003,,Upper Paleolithic,Aurignacian,Bockstein-Törle,bst,Rammingen,Germany,48.553000,10.155000,precise,nespos.org,VI,C14,31530±230 - 20400±220,,,,1953-1956,ivory,Mammuthus primigenius,undetermined,,,,,fragmented,scribbled piece of ivory,Museum Ulm,,Hahn J. 1977: Tafel 12 - 9; Conard N. & Bolus M. 2003,,
bst0002,,Upper Paleolithic,Aurignacian,Bockstein-Törle,bst,Rammingen,Germany,48.553000,10.155000,precise,nespos.org,VI,C14,31530±230 - 20400±220,,,,1953-1956,ivory,Mammuthus primigenius,rod/baton,,,,,fragmented,fragmented ivory rod,Museum Ulm,,Hahn J. 1977: Tafel 8 - 5; Conard N. & Bolus M. 2003,,
vhc0168,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,bone,undetermined,spatula/lissoir,,110.0,19.0,7.0,fragmented,"This is a fragment of a smoother made from the rib of a herbivore, which consists of the pieces Vg 90 and Vg 61. Both were found in Layer V in 1931.",Universität Tübingen,Find No.: Vg 90,"Riek 1934, Taf. XXIX.10; Hahn 1977, Taf. 36.3; Dutkiewicz 2021: Taf. 43.3; Conard & Bolus 2003, 2008",>>>>>> ! >>>>>,very certain
vhc0167,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,bone,undetermined,spatula/lissoir,,173.0,22.0,8.0,fragmented,"This is a smoother made from the rib of a large herbivore (Mammoth?). This piece was found in two parts during Riek's excavation in Layer V in 1931 (Riek 1934: 157-158). The medial fragment is now lost. The dimensions of the entire object and the number of notches on the lost fragment are based on Riek's descriptions. Of the 18 notches, seven are on the terminal fragment that was originally examined.. See plate Dutkiewicz for complete picture",Universität Tübingen,Find No.: Vg 69,"Riek 1934, Taf. XXIX.11; Hahn 1977; Dutkiewicz 2021: Taf. 43.1 und 43.2; Hahn 1977; Conard & Bolus 2003, 2008",vvvvvvvvvvvvvvvvvv _ v!,very certain
vhc0166,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,antler,Rangifer tarandus,antler object,,73.0,44.0,24.0,complete,"This antler object was found during Riek's excavations in 1931 in Layer IV. Unlike the other piece, it does not feature a figurative representation but only some geometric markings.",Universität Tübingen,Find No.: Vg 3a,"Riek 1934, 295; Dutkiewicz 2021: Taf. 41.1; Hahn 1977; Conard & Bolus 2003, 2008",vvvvvvv _ [&],certain
vhc0165,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,bone,undetermined,spatula/lissoir,,75.0,12.0,7.0,fragmented,"A narrow, medial fragment of a smoother made from a rib.",Universität Tübingen,Find No.: Vg 37,"Riek 1934, XXXI.11; Hahn 1977, Taf. 59.3; Dutkiewicz 2021: Taf. 45.1; Conard & Bolus 2003, 2008",!vvvv v v v vv v >>>>,very certain
vhc0164,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,ivory,Mammuthus primigenius,perforated baton,,95.0,30.0,10.0,fragmented,"This perforated rod fragment was found in Layer IV in 1931 (Riek 1934: 190). The piece was crafted from ivory and meticulously worked. Only the extended end and about half of the first hole are preserved. Although smaller than the other perforated rods, it is clearly recognizable as the same type of perforated rod as others found in the Swabian Aurignacien. This is particularly evident through the thread-like incisions in the hole. Since the object is lost, Riek's descriptions of the markings are provided here.",,Find No.: Vg 31.4,"Riek 1934, Taf. XXXI.4; Hahn 1977, Taf. 59.5; Dutkiewicz 2021: Taf. 50; Conard & Bolus 2003, 2008",vvvvvv! _ vvvvvvvv! _ [CCCCV v] _ [C||ll lll],certain
vhc0163,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,bone,undetermined,spatula/lissoir,,10.0,2.0,1.0,fragmented,"This is a smoother made of bone with a long-elliptical cross-section, found in 1931 in the Ach Valley (AH IV).",,Find No.: Vg 31.14,"Riek 1934, Taf. XXXI.14; Hahn 1977, Taf. 59.4; Dutkiewicz 2021: Taf. 44.1-2; Conard & Bolus 2003, 2008",!⊞! _ !vvvvvvvvvvvvvvvvvvv! _  !⊞!,certain
vhc0162,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,bone,undetermined,spatula/lissoir,,210.0,14.0,8.0,complete,"A very long and narrow, completely preserved smoother made of bone, found in 1931 in the Ach Valley (AH) IV. This is one of the most richly decorated tools of the Swabian Aurignacian. The decorations at the tip are heavily polished due to use, indicating that this smoother was in use for a long period.",URMU Blaubeuren,Find No.: Vg 31.1,"Riek 1934, Taf. XXXI.1; Hahn 1977, Taf. 58.7; Dutkiewicz 2021: Taf. 44.3; Conard & Bolus 2003, 2008",(XXXXXXXXXXX!) _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>>,very certain
vhc0161,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,Mammuthus primigenius,perforated baton,,237.0,41.0,13.0,almost complete,"This large perforated baton was found by Riek in layer V in 1931. The piece was likely not completed, as the photo shows the unprocessed surface of the broken shell clearly. Additionally, only one hole with the characteristic helical marking typical of Aurignacian perforated rods from the Swabian Aurignacian is present. This, along with the unfinished shape of the piece, suggests that it was discarded during production. However, this cannot be conclusively determined based on the photo alone. Unfortunately, the piece is lost, so no further information can be provided.",,Find No.: Vg 30.1,"Riek 1934, Taf. XXX.1, Hahn 1977, Taf. 34.1; Dutkiewicz 2021: Taf. 49; Conard & Bolus 2003, 2008",vvv vvv,certain
vhc0160,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,antler,Rangifer tarandus,antler object,Mammuthus primigenius,69.0,36.0,29.0,almost complete,"This object was discovered during Riek's excavations in 1931 in layer IV. The object has an elongated, oval outline. The cancellous bone structure is prominently visible on the top, while the back forms a curved smooth surface. At the pointed end, there is a perforation, which is now broken. This piece was likely worn as a pendant. The cancellous surface forms an oval field into which the relief depiction of a mammoth is inserted. Clearly visible are the trunk, the mouth, the front leg, and the abdominal line. The hind leg is only visible cranially, and towards the caudal end, the surface is too cancellous, making the outline not discernible. The back line starts approximately at the crown and runs in a strongly curved line to the base of the buttocks. The high-rising skull and the typical saddle in the neck are missing, and tusks are not represented. These features characterize this mammoth as a juvenile. Originally, ochre residues were visible in some grooves, depressions, and the broken loop (Riek 1934: 288), but these are no longer present today.",MUT Tübingen,Find No.: Vg 3.3,"Riek 1934: 295-296; Dutkiewicz 2021: Taf. 40; Hahn 1977; Conard & Bolus 2003, 2008",|||| | _ | _ vv v _ |||| _ | ||,very certain
vhc0159,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,ivory,Mammuthus primigenius,figurine zoomorph,Bison priscus,72.0,53.0,14.0,fragmented,"Figurine of a steppe bison, discovered in layer IV in 1931. The left side is concavely broken along the growth seam of the ivory. Only the right side of the once fully plastic figurine is preserved. The entire outline is discernible, with only a fragment of the left side remaining in the crest area. The overall torso is robust and compact. The figurine has a prominent, strongly pronounced withers, unequivocally identifying the animal as a steppe bison (Bos priscus). The hump drops steeply to the rear, and the back line gently descends towards the buttocks. A tail attachment is not preserved. The thigh is large but only shallowly carved. The abdomen is rounded and hanging down. The front leg is not strongly modeled and begins below the chest. The legs, partially preserved, are very slim. The hind leg is steady, while the front leg is slightly forward, suggesting a slight walking stance. In the throat area, there is a dewlap typical of wild cattle, transitioning into the head. The head is not preserved. Overall, the torso is kept relatively flat, displaying few body details. Riek (1934: 288-290) describes fine red ochre traces that are no longer visible today.",MUT Tübingen,Find No.: Vg 3.2,"Riek 1934: 288-290; Dutkiewicz 2021: Taf. 20a-20b; Hahn 1977; Conard & Bolus 2003, 2008",vvvv⚹vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ [°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!],very certain
vhc0158,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,ivory,Mammuthus primigenius,figurine zoomorph,Panthera,87.0,34.0,11.0,fragmented,"Initially identified as a relief, the figurine of a feline was discovered in layer IV in 1931. Initially, only the left half of the body was preserved. In 2013, during subsequent excavations, a strongly rounded head was found. The preserved surface of the figurine is highly smoothed and exhibits a significant usage polish, causing all manufacturing traces, except for the rib area, to vanish completely. As a result, the figurine has a remarkable sheen. The outline of the animal is almost entirely preserved, with only the legs present in rudimentary forms. The torso is robust and elongated, but notably narrow in depth. The head is slightly lowered, followed by a short, thick neck transitioning into a robust neck/shoulder region. The biceps are clearly delineated and appear particularly powerful. The back line gently descends from the highest point on the crest towards the buttocks. The rear part of the animal is less robust, with the hind leg appearing flat, and the buttocks less pronounced. The most distinctive feature of this animal is the rib and abdominal region, where the surface curves inward significantly. The surface is strongly modeled, highlighting the separation of the head with its jaw muscles from the neck. The disproportionately long ears are semi-plastically worked into the body, with the left one positioned lower, and the right one visible in its upper part. The mouth is shaped with a deep incision that extends over the fracture edge to the rear part of the figurine. The eyes consist of nearly vertical, elongated incisions",MUT Tübingen,Find No.: Vg 3.1,"Riek 1934: 290-292; Dutkiewicz 2021: Taf. 19a-19b; Hahn 1977; Conard & Bolus 2003, 2008",⊞ _ [°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!] _V V _ V _ vv,certain
vhc0157,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,Mammuthus primigenius,figurine zoomorph,Mammuthus primigenius,70.0,54.0,23.0,fragmented,"Discovered by Gustav Riek in layer V during 1931, the large mammoth figurine is preserved in two significant fragments that, unfortunately, cannot be connected. One fragment constitutes the hind legs and hip region, previously described by Riek as part of a mammoth figurine. He also found the front part but failed to recognize the correlation between both fragments. This is due to only the transition from head to neck, including the shoulder attachment, and the sole of the foot being preserved. The piece is conically broken along the growth line of the ivory, forming the center of a dentin cone. When assembled according to the growth rings, the presumed length of the figurine is at least 7 cm, with a height of 6 cm, making it one of the largest figures from the Swabian Aurignacian. The hind part is heavily weathered, with the two large growth lamellae running vertically through the figurine completely separated, and their edges broken. The surface is severely deteriorated, and a larger area has chipped off around the buttocks. In contrast, the front fragment is much better preserved. Although the original surface is only retained in the neck area and on the sole of the foot, it is hardly affected. Presumably, this figurine broke before being deposited in the sediment, explaining the differing degrees of weathering in both parts. Despite its fragmented state, the figurine is clearly identifiable as a mammoth. In this depiction, the front part forms the back, with the section that slopes steeper upward. It is also possible that the lower curve becomes the back, although in this projection, it does not meet the rear part of the back line in the expected curvature. The proposed reconstruction seems more plausible in this case. The head is separated from the towering shoulders by a clear depression in the neck area. The back line descends significantly toward the buttocks in the rear part. The columnar legs are positioned vertically beneath the animal, standing closely together, with a slight stepping posture of the hind legs indicated.",MUT Tübingen,Find No.: Vg 2a.4,"Riek 1934: 283-284; Dutkiewicz 2021: Taf. 17a-17b; Hahn 1977; Conard & Bolus 2003, 2008",!{| |||}vvv! _ !||| _ vvvv _ vvv _ vv _ || _ ||||| _ |||| _ ! ||| _ v _ |! _ ||||| _ X! _ XX,certain
vhc0156,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,ivory,Mammuthus primigenius,figurine anthropomorph,,69.0,19.0,10.0,fragmented,"""This anthropomorphic figurine was found in layer IV during the 1931 excavations. The left half of the figure is completely preserved, extending beyond the central axis. Riek (1934: 292-295) discusses whether this might be a semi-finished product. Arguments in favor include the only vaguely worked and not further shaped or reworked head, as well as the rough and completely unsmoothed leg/knee area. However, the rows of dots on the body suggest careful surface reworking. It is possible that this figurine was intentionally left partially unfinished, unlike other figures from Vogelherd. The figurine is worked along the longitudinal axis of the ivory. Both ends were notched and then broken off. The neck area is roughly cut, while the body is rounded and bears markings. Although the torso is smoothed, numerous tool marks are visible. The head is narrow and set off from the body by a deep notch. The eye, ear, and mouth are schematically represented by notches. It is notable that the top of the head is recessed, creating the impression of pointed ears (animal ears) protruding upwards when viewed from the front. The body is long and cylindrical, with no further details except for a slight indentation in the area of the cross. The lower abdomen is depicted strongly shortened. Below the waist, the buttocks area slightly protrudes. Legs are not represented, and the figurine is provided with a button-like, unworked thickening at its lower end. The figurine overall appears very static and schematic. The identification as a human figure is given by the upright, elongated body shape, the absence of front and hind legs typically found in an animal figure, the head sitting vertically on the body axis, and the thinning of the waist in the area of the back.""",MUT Tübingen,Find No.: Vg 2a.3,"Riek 1934: 292-295; Dutkiewicz 2021: Taf. 18; Hahn 1977; Conard & Bolus 2003, 2008",°°°° °°° _ °°°°°°°° _ v°°°°°°°° _ Vv,certain
vhc0155,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,30162±1340,H 4054-3210,35810±710,PL0001337A,1931,ivory,Mammuthus primigenius,figurine zoomorph,undetermined,64.0,26.0,17.0,fragmented,"This prominently adorned figurine was discovered during the 1931 excavations in layer V. The figurine is crafted along the direction of the ivory's growth. The entire surface is extensively reworked and polished. The markings also appear highly polished, suggesting that this figurine was used over an extended period. Primarily, the left half of the body is preserved. The head and tail are missing. At the location where the neck should attach, the surface is completely smoothed and marked. The right front leg is only present at the base, and the right hind leg is preserved as a stump. The left limbs are present up to approximately the knee region. The central lamella is only preserved in the front half of the body. Despite being strongly fragmented, the outlines are clearly discernible. The torso is noticeably elongated and cylindrical. The back line slopes slightly backward, and there is a small depression in the lumbar region. The pelvic region protrudes distinctly. Toward the buttocks, the back line slopes slightly angularly without showing a tail attachment. The belly is slightly sagging. The front legs are very thin and detached from the body. The thigh of the well-preserved hind leg is distinctly separated from the torso, and both hind legs are slender. A slight stepping posture is recognizable. According to Riek (1934), due to the elongated body shape and especially the thin legs, this represents a cervid, more specifically a reindeer (Rangifer tarandus). Hahn (1986) also considers a felid as a possibility. The absence of the neck and head makes it challenging to precisely identify the depicted species.",MUT Tübingen,Find No.: Vg 2a.2,"Riek 1934: 285-286, AABW 2015; Dutkiewicz 2021: Taf. 16a-16b; Hahn 1977; Conard & Bolus 2003, 2008",!vvvvvvvvvvv _ vvvvvvvv! _ vvvvvv!v _ vvvvvvvvvvvvvv _ |||| _ [CCCC] _ [CCCC] _ v!vvvXX\! _ v!vvvvv _ !vvvvv! _ \\\ _ vvv _ vvvv _ ≠ _ /// _ vvv _ \\\\ _ /// _ vvvv _ v! _ ///,certain
vhc0154,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,Mammuthus primigenius,figurine zoomorph,undetermined,65.0,26.0,11.0,fragmented,"Figurine of a lion or a bear. Along the growth line, it has cracked, and only the right half of the body is preserved. The outline of the torso is fully recognizable. The two right limbs are only present in part. Only the right ear, cheek, and eye of the head are preserved. The surface is lightly weathered, and small areas are partially chipped. The body of the animal is elongated. The upper parts of both limbs – shoulder and thigh – are particularly voluminous, creating the impression of a very slender structure. The front leg is slightly bent forward, while the hind leg stands vertically under the body. The tail is small and stubby. The withers are noticeably arched. From there, the long, slender, and stretched neck begins. The head is lowered, the ear is slightly laid back, and it stands slightly away from the head. The eye is positioned just below. The muzzle and the lower part of the head are not preserved. It is not entirely clear which species is represented here. Riek (1934) suggests, based on the body posture, the massive upper limbs, and the stubby tail, an interpretation as a bear. Hahn (1986), on the other hand, rules out a depiction of a bear and interprets this figure as a rhinoceros or a felid. With the discovery of the head, an interpretation as a rhinoceros can now be ruled out. The body shape suggests a bear, while the long neck and the ear and eye area, as well as the overall slender head, lean towards a felid. The muzzle portion, which would enable a precise identification of the depicted species, is not preserved.",MUT Tübingen,Find No.: Vg 2a.1,"Riek 1934: 287, AABW 2012; Dutkiewicz 2021: Taf. 15; Hahn 1977; Conard & Bolus 2003, 2008",≠ _ |||||,very certain
vhc0153,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,Mammuthus primigenius,rod/baton,,60.0,10.0,10.0,fragmented,"Wide, flat, and partially preserved cylindrical rod fragment.",MUT Tübingen,Find No.: Vg 29.9,"Riek 1934, Taf. XXIX.9; Hahn 1977, Taf. 34.2; Dutkiewicz 2021: Taf. 51.7; Conard & Bolus 2003, 2008",|||| || | | | _ |||| || | | | _ | _ ||||| | | | _ !||| ||,very certain
vhc0152,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,ivory,Mammuthus primigenius,perforated baton,,133.0,31.0,10.0,almost complete,"The strongly fragmented perforated rod was found by Riek in 1931 in AH V and referred to by him as 'chest jewelry' (Riek 1934: 159-160). Today, it is lost, so the description of the markings is based on the information and photos provided by Riek and the drawing by Hahn (1977). The identification as a perforated rod is based on the thread-like markings around the two preserved holes.",,Find No.: Vg 29.20,"Riek 1934, Taf. XXIX.20, Hahn 1977, Taf. 37.1; Dutkiewicz 2021: Taf. 48; Conard & Bolus 2003, 2008",|||| _ //\\\ _ \\/// _ //,uncertain
vhc0151,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,fossil,,undetermined,,77.0,24.0,26.0,almost complete,Fragment of a Lias ammonite.,URMU Blaubeuren,Find No.: Vg 29.14,"Riek 1934, Taf. XXIX.14; Dutkiewicz 2021: Taf. 58.2-4; Hahn 1977; Conard & Bolus 2003, 2008",v v vvv vv,very certain
vhc0150,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,V,C14,"30162±1,340",H 4054-3210,35810±710,PL0001337A,1931,bone,undetermined,spatula/lissoir,,77.0,12.0,5.0,almost complete,second part of lissoir 38/68-90.1. Coding see vhc0049,,Find No.: Vg 29.12,"Riek 1934, Taf. XXIX.12; Hahn 1977, Taf. 34.4; Dutkiewicz 2021: Taf. 42.3-4; Conard & Bolus 2003, 2008",,
vhc0149,,Upper Paleolithic,Aurignacian,Vogelherd,vhc,Niederstotzingen-Stetten,Germany,48.559000,10.194000,precise,nespos.org,IV,C14,30730±750,H 4053-3211,32030±280,OxA-18456,1931,ivory,Mammuthus primigenius,undetermined,,38.0,14.0,5.0,fragmented,Ivory fragment,Universität Tübingen,"Find No.: Vg 2676, Vg 5836","Dutkiewicz 2021: Taf. 55.5; Hahn 1977; Conard & Bolus 2003, 2008",!|||||||,very certain
