id,character,type,signbase_name,unicode_name,unicode_number,html_code,css_code,unicode_block,unicode_subblock,encoding_utf8,reference
48, ,annotation,linear separation,Space,U+0020,&#32;,\0020,Basic Latin,ASCII punctuation and symbols,“00100000”,https://symbl.cc/en/0020/
47,_,annotation,non-linear separation,Low Line,U+005F,&#95;,\005F,Basic Latin,ASCII punctuation and symbols,“01011111”,https://symbl.cc/en/005F/
46,},annotation,non-calibrated right,Right Curly Bracket,U+007D,&#125;,\007D,Basic Latin,ASCII punctuation and symbols,“01111101”,https://symbl.cc/en/007D/
45,{,annotation,non-calibrated left,Left Curly Bracket,U+007B,&#123;,\007B,Basic Latin,ASCII punctuation and symbols,“01111011”,https://symbl.cc/en/007B/
44,),annotation,overlap right,Right Parenthesis,U+0029,&#41;,\0029,Basic Latin,ASCII punctuation and symbols,“00101001”,https://symbl.cc/en/0029/
43,(,annotation,overlap left,Left Parenthesis,U+0028,&#40;,\0028,Basic Latin,ASCII punctuation and symbols,“00101000”,https://symbl.cc/en/0028/
42,],annotation,non-linear right,Right Square Bracket,U+005D,&#93;,\005D,Basic Latin,ASCII punctuation and symbols,“01011101”,https://symbl.cc/en/005D/
41,[,annotation,non-linear left,Left Square Bracket,U+005B,&#91;,\005B,Basic Latin,ASCII punctuation and symbols,“01011011”,https://symbl.cc/en/005B/
40,!,annotation,broken sequence,Exclamation Mark,U+0021,&#33;,\0021,Basic Latin,ASCII punctuation and symbols,“00100001”,https://symbl.cc/en/0021/
39,&,annotation,other,Ampersand,U+0026,&#38;,\0026,Basic Latin,ASCII punctuation and symbols,“00100110”,https://symbl.cc/en/0026/
38,?,annotation,undetermined,Question Mark,U+003F,&#63;,\003F,Basic Latin,ASCII punctuation,“00111111”,https://symbl.cc/en/003F/
37,Π,sign,Pi-shape,Greek Capital Letter Pi,U+03A0,&#928;,\03A0,Greek and Coptic,Letters,“11001110 10100000”,https://symbl.cc/en/03A0/
36,Y,sign,Y-shape,Latin Capital Letter Y,U+0059,&#89;,\0059,Basic Latin,Uppercase Latin alphabet,“01011001”,https://symbl.cc/en/0059/
35,⚹,sign,star,Sextile,U+26B9,&#9913;,\26B9,Miscellaneous Symbols,Astrological aspects,“11100010 10011010 10111001”,https://symbl.cc/en/26B9/
34,p,sign,pin right,Latin Small Letter P,U+0070,&#112;,\0070,Basic Latin,Lowercase Latin alphabet,“01110000”,https://symbl.cc/en/0070/
33,q,sign,pin left,Latin Small Letter Q,U+0071,&#113;,\0071,Basic Latin,Lowercase Latin alphabet,“01110001”,https://symbl.cc/en/0071/
32,C,sign,concentric line,Latin Capital Letter C,U+0043,&#67;,\0043,Basic Latin,Uppercase Latin alphabet,“01000011”,https://symbl.cc/en/0043/
31,ö,sign,paw,Latin Small Letter O with Diaeresis,U+00F6,&#246;,\00F6,Latin-1 Supplement,Lowercase letters,“11000011 10110110”,https://symbl.cc/en/00F6/
30,Z,sign,zoomorph,Latin Capital Letter Z,U+005A,&#90;,\005A,Basic Latin,Uppercase Latin alphabet,“01011010”,https://symbl.cc/en/005A/
29,A,sign,anthropomorph,Latin Capital Letter A,U+0041,&#65;,\0041,Basic Latin,Uppercase Latin alphabet,“01000001”,https://symbl.cc/en/0041/
28,▽,sign,vulva,White Down-Pointing Triangle,U+25BD,&#9661;,\25BD,Geometric Shapes,Geometric shapes,“11100010 10010110 10111101”,https://symbl.cc/en/25BD/
27,$,sign,circum spiral,Dollar Sign,U+0024,&#36;,\0024,Basic Latin,ASCII punctuation and symbols,“00100100”,https://symbl.cc/en/0024/
26,V,sign,V-shape,Latin Capital Letter V,U+0056,&#86;,\0056,Basic Latin,Uppercase Latin alphabet,“01010110”,https://symbl.cc/en/0056/
25,~,sign,maccaroni,Tilde,U+007E,&#126;,\007E,Basic Latin,ASCII punctuation and symbols,“01111110”,https://symbl.cc/en/007E/
24,#,sign,hashtag,Number Sign,U+0023,&#35;,\0023,Basic Latin,ASCII punctuation and symbols,“00100011”,https://symbl.cc/en/0023/
23,▯,sign,rectangle,White Vertical Rectangle,U+25AF,&#9647;,\25AF,Geometric Shapes,Geometric shapes,“11100010 10010110 10101111”,https://symbl.cc/en/25AF/
22,⦚,sign,zigzag row,Vertical Zigzag Line,U+299A,&#10650;,\299A,Miscellaneous Mathematical Symbols-B,Fences,“11100010 10100110 10011010”,https://symbl.cc/en/299A/
21,W,sign,zigzag,Latin Capital Letter W,U+0057,&#87;,\0057,Basic Latin,Uppercase Latin alphabet,“01010111”,https://symbl.cc/en/0057/
20,≠,sign,hatching,Not Equal To,U+2260,&#8800;,\2260,Mathematical Operators,Relations,“11100010 10001001 10100000”,https://symbl.cc/en/2260/
19,⊞,sign,grid,Squared Plus,U+229E,&#8862;,\229E,Mathematical Operators,Operators,“11100010 10001010 10011110”,https://symbl.cc/en/229E/
18,♢,sign,rhombus,White Diamond Suit,U+2662,&#9826;,\2662,Miscellaneous Symbols,Playing card symbols,“11100010 10011001 10100010”,https://symbl.cc/en/2662/
17,H,sign,H-shape,Latin Capital Letter H,U+0048,&#72;,\0048,Basic Latin,Uppercase Latin alphabet,“01001000”,https://symbl.cc/en/0048/
16,X,sign,cross,Latin Capital Letter X,U+0058,&#88;,\0058,Basic Latin,Uppercase Latin alphabet,“01011000”,https://symbl.cc/en/0058/
15,o,sign,cupule,Latin Small Letter O,U+006F,&#111;,\006F,Basic Latin,Lowercase Latin alphabet,“01101111”,https://symbl.cc/en/006F/
14,°,sign,dot,Degree Sign,U+00B0,&#176;,\00B0,Latin-1 Supplement,Latin-1 punctuation and symbols,“11000010 10110000”,https://symbl.cc/en/00B0/
13,O,sign,circum notch,Latin Capital Letter O,U+004F,&#79;,\004F,Basic Latin,Uppercase Latin alphabet,“01001111”,https://symbl.cc/en/004F/
12,^,sign,radial notch,Circumflex Accent,U+005E,&#94;,\005E,Basic Latin,ASCII punctuation and symbols,“01011110”,https://symbl.cc/en/005E/
11,<,sign,oblique notch (left pointing),Less-Than Sign,U+003C,&#60;,\003C,Basic Latin,ASCII mathematical operators,“00111100”,https://symbl.cc/en/003C/
10,>,sign,oblique notch (right pointing),Greater-Than Sign,U+003E,&#62;,\003E,Basic Latin,ASCII mathematical operators,“00111110”,https://symbl.cc/en/003E/
9,v,sign,notch,Latin Small Letter V,U+0076,&#118;,\0076,Basic Latin,Lowercase Latin alphabet,“01110110”,https://symbl.cc/en/0076/
8,〰,sign,circum line,Wavy Dash,U+3030,&#12336;,\3030,CJK Symbols and Punctuation,Other CJK punctuation,“11100011 10000000 10110000”,https://symbl.cc/en/3030/
7,¦,sign,dash line,Broken Bar,U+00A6,&#166;,\00A6,Latin-1 Supplement,Latin-1 punctuation and symbols,“11000010 10100110”,https://symbl.cc/en/00A6/
6,¤,sign,radial line,Currency Sign,U+00A4,&#164;,\00A4,Latin-1 Supplement,Latin-1 punctuation and symbols,“11000010 10100100”,https://symbl.cc/en/00A4/
5,–,sign,horizontal line,En Dash,U+2013,&#8211;,\2013,General Punctuation,Dashes,“11100010 10000000 10010011”,https://symbl.cc/en/2013/
4,\,sign,oblique line (left leaning),Reverse Solidus,U+005C,&#92;,\005C,Basic Latin,ASCII punctuation and symbols,“01011100”,https://symbl.cc/en/002F/
3,/,sign,oblique line (right leaning),Solidus,U+002F,&#47;,\002F,Basic Latin,ASCII punctuation and symbols,“00101111”,https://symbl.cc/en/002F/
2,l,sign,short line,Latin Small Letter L,U+006C,&#108;,\006C,Basic Latin,Lowercase Latin alphabet,“01101100”,https://symbl.cc/en/006C/
1,|,sign,long line,Vertical Line,U+007C,&#124;,\007C,Basic Latin,ASCII punctuation and symbols,“01111100”,https://symbl.cc/en/007C/
