"object_id","ensemble_id","archaeological_unit","site_name","location","location__short_name","location__location","location__country","latitude","longitude","location__coord_precision","location__coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","object_type","length_mm","width_mm","depth_mm","preservation","sign_coding","coding_certainty","coding_clean"
"sgr0074","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","Saint-Germain-la-Rivière","sgr","Saint-Germain-la-Rivière","France",44.4,-0.3333,"approximation","wikipedia","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|||X","Certain","|||X"
"sgr0073","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||","Certain","||"
"sgr0070","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","|||||","Certain","|||||"
"sgr0062","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||l|","Certain","||l|"
"sgr0061","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","ll","Very certain","ll"
"sgr0060","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|l|⚹","Very certain","|l|⚹"
"sgr0059","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","| |≠","Very certain","| |≠"
"sgr0058","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","vvv","Very certain","vvv"
"sgr0054","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","l||⚹","Very certain","l||⚹"
"sgr0053","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|| ||","Very certain","|| ||"
"sgr0051","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","|||vv","Certain","|||vv"
"sgr0050","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","lll| |l","Very certain","lll| |l"
"sgr0049","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","v||","Certain","v||"
"sgr0047","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","| ||ll||","Very certain","| ||ll||"
"sgr0046","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","||X","Certain","||X"
"sgr0045","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","l | ||","Very certain","l | ||"
"sgr0043","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"fragmentary","| ||","Certain","| ||"
"sgr0042","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","Xl","Very certain","Xl"
"sgr0037","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|||","Very certain","|||"
"sgr0034","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","|#","Certain","|#"
"sgr0033","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","l|l","Very certain","l|l"
"sgr0032","sgr_ens_01","Middle Magdalenian","Saint-Germain-la-Rivière","","","","",NA,NA,"","","burial","AMS, 858 (GifA 95456)","15,780 ± 200",NA,NA,NA,"1934","animal tooth, red deer","personal ornament, pendant",NA,NA,NA,"complete","vvvvvv","Very certain","vvvvvv"
