"object_id","ensemble_id","archaeological_period","archaeological_unit","site_name","site_id","location","country","latitude","longitude","coord_precision","coord_reference","layer","dating_method","date_bp_min","min_lab_number","date_bp_max","max_lab_number","excavation_year","material","material_species","object_type","associated_species","length_mm","width_mm","depth_mm","preservation","collection","collection_id","sign_coding","coding_certainty","coding_clean","coding_random"
"vhc0168",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","bone","undetermined","spatula/lissoir","",110,19,7,"fragmented","Universität Tübingen","Find No.: Vg 90",">>>>>> ! >>>>>","very certain",">>>>>>  >>>>>",">>>>>>  >>>>>"
"vhc0167",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","bone","undetermined","spatula/lissoir","",173,22,8,"fragmented","Universität Tübingen","Find No.: Vg 69","vvvvvvvvvvvvvvvvvv _ v!","very certain","vvvvvvvvvvvvvvvvvv_v","v_vvvvvvvvvvvvvvvvvv"
"vhc0166",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","antler","Rangifer tarandus","antler object","",73,44,24,"complete","Universität Tübingen","Find No.: Vg 3a","vvvvvvv _ [&]","certain","vvvvvvv","vvvvvvv"
"vhc0165",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","bone","undetermined","spatula/lissoir","",75,12,7,"fragmented","Universität Tübingen","Find No.: Vg 37","!vvvv v v v vv v >>>>","very certain","vvvv v v v vv v >>>>","vvvv v v v vv v >>>>"
"vhc0164",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","ivory","Mammuthus primigenius","perforated baton","",95,30,10,"fragmented","","Find No.: Vg 31.4","vvvvvv! _ vvvvvvvv! _ [CCCCV v] _ [C||ll lll]","certain","vvvvvv_vvvvvvvv","vvvvvv_vvvvvvvv"
"vhc0163",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","bone","undetermined","spatula/lissoir","",10,2,1,"fragmented","","Find No.: Vg 31.14","!⊞! _ !vvvvvvvvvvvvvvvvvvv! _  !⊞!","certain","⊞_vvvvvvvvvvvvvvvvvvv_ ⊞","vvvvvvvvvvvvvvvvvvv_⊞_ ⊞"
"vhc0162",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","bone","undetermined","spatula/lissoir","",210,14,8,"complete","URMU Blaubeuren","Find No.: Vg 31.1","(XXXXXXXXXXX!) _ >>>> <<< >>>> <<<< >> _ > <<<<< >>>> <<<<<< >>>>","very certain",">>>> <<< >>>> <<<< >>_> <<<<< >>>> <<<<<< >>>>","> <<<<< >>>> <<<<<< >>>>_>>>> <<< >>>> <<<< >>"
"vhc0161",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","perforated baton","",237,41,13,"almost complete","","Find No.: Vg 30.1","vvv vvv","certain","vvv vvv","vvv vvv"
"vhc0160",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","antler","Rangifer tarandus","antler object","Mammuthus primigenius",69,36,29,"almost complete","MUT Tübingen","Find No.: Vg 3.3","|||| | _ | _ vv v _ |||| _ | ||","very certain","|||| |_|_vv v_||||_| ||","vv v_|||| |_| ||_|_||||"
"vhc0159",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","ivory","Mammuthus primigenius","figurine zoomorph","Bison priscus",72,53,14,"fragmented","MUT Tübingen","Find No.: Vg 3.2","vvvv⚹vvvvvvvv _ ||||| _ ¤¤¤¤¤¤¤¤¤ _ [°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!]","very certain","vvvv⚹vvvvvvvv_|||||_¤¤¤¤¤¤¤¤¤","vvvv⚹vvvvvvvv_|||||_¤¤¤¤¤¤¤¤¤"
"vhc0158",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","ivory","Mammuthus primigenius","figurine zoomorph","Panthera",87,34,11,"fragmented","MUT Tübingen","Find No.: Vg 3.1","⊞ _ [°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!] _V V _ V _ vv","certain","⊞_ _V V_V_vv","⊞_V V_ _V_vv"
"vhc0157",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","figurine zoomorph","Mammuthus primigenius",70,54,23,"fragmented","MUT Tübingen","Find No.: Vg 2a.4","!{| |||}vvv! _ !||| _ vvvv _ vvv _ vv _ || _ ||||| _ |||| _ ! ||| _ v _ |! _ ||||| _ X! _ XX","certain","| |||vvv_|||_vvvv_vvv_vv_||_|||||_||||_ |||_v_|_|||||_X_XX","XX_ |||_vvvv_||||_v_vv_vvv_|||_X_|||||_|_||_|||||_| |||vvv"
"vhc0156",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","ivory","Mammuthus primigenius","figurine anthropomorph","",69,19,10,"fragmented","MUT Tübingen","Find No.: Vg 2a.3","°°°° °°° _ °°°°°°°° _ v°°°°°°°° _ Vv","certain","°°°° °°°_°°°°°°°°_v°°°°°°°°_Vv","Vv_°°°° °°°_v°°°°°°°°_°°°°°°°°"
"vhc0155",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","figurine zoomorph","undetermined",64,26,17,"fragmented","MUT Tübingen","Find No.: Vg 2a.2","!vvvvvvvvvvv _ vvvvvvvv! _ vvvvvv!v _ vvvvvvvvvvvvvv _ |||| _ [CCCC] _ [CCCC] _ v!vvvXX\! _ v!vvvvv _ !vvvvv! _ \\\ _ vvv _ vvvv _ ≠ _ /// _ vvv _ \\\\ _ /// _ vvvv _ v! _ ///","certain","vvvvvvvvvvv_vvvvvvvv_vvvvvvv_vvvvvvvvvvvvvv_||||_vvvvXX\_vvvvvv_vvvvv_\\\_vvv_vvvv_≠_///_vvv_\\\\_///_vvvv_v_///","vvvvvvvvvvvvvv_vvv_vvvvvvvv_vvvv_vvvvv_vvvvvv_vvvvvvvvvvv_///_v_vvvv_vvvvXX\_\\\\_vvv_vvvvvvv_///_///_\\\_≠_||||"
"vhc0154",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","figurine zoomorph","undetermined",65,26,11,"fragmented","MUT Tübingen","Find No.: Vg 2a.1","≠ _ |||||","very certain","≠_|||||","≠_|||||"
"vhc0153",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","rod/baton","",60,10,10,"fragmented","MUT Tübingen","Find No.: Vg 29.9","|||| || | | | _ |||| || | | | _ | _ ||||| | | | _ !||| ||","very certain","|||| || | | |_|||| || | | |_|_||||| | | |_||| ||","|_||||| | | |_|||| || | | |_|||| || | | |_||| ||"
"vhc0152",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","perforated baton","",133,31,10,"almost complete","","Find No.: Vg 29.20","|||| _ //\\\ _ \\/// _ //","uncertain","||||_//\\\_\\///_//","||||_\\///_//_//\\\"
"vhc0151",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","fossil","","undetermined","",77,24,26,"almost complete","URMU Blaubeuren","Find No.: Vg 29.14","v v vvv vv","very certain","v v vvv vv","v v vvv vv"
"vhc0149",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","IV","C14","30730±750","H 4053-3211","32030±280","OxA-18456","1931","ivory","Mammuthus primigenius","undetermined","",38,14,5,"fragmented","Universität Tübingen","Find No.: Vg 2676, Vg 5836","!|||||||","very certain","|||||||","|||||||"
"vhc0148",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","","C14","26160±150","KIA 8957","35810±710","PL0001337A","1950","sandstone","","possible figurine","",54,40,32,"complete","LMW Stuttgart","Find No.: Vg 22","vvvvvvvvvvv _ [vvvvvvvvvvvvvvvvvvvvvvvv] _ [vvvvvvvvvvvvvvvvvvvvvvvvv]","certain","vvvvvvvvvvv","vvvvvvvvvvv"
"vhc0147",NA,"Upper Paleolithic","Aurignacian","Vogelherd","vhc","Niederstotzingen-Stetten","Germany",48.559,10.194,"precise","nespos.org","V","C14","30162±1,340","H 4054-3210","35810±710","PL0001337A","1931","ivory","Mammuthus primigenius","figurine zoomorph","Panthera",68,24,14,"fragmented","MUT Tübingen","Find No.: Vg 2.4","|||||X _ [!°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°!] _ [!°°°°°°°°°°°°°°°°°!] _ ||||","certain","|||||X_||||","|||||X_||||"
