"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.79,0.91,8.7274297728934e-09,0.79,0.76,0.77,340
2,0.79,0.91,1.20176706714953e-09,0.8,0.79,0.79,340
3,0.79,0.93,1.45374273719559e-11,0.83,0.81,0.82,340
4,0.79,0.93,1.24996844178209e-12,0.83,0.84,0.84,340
5,0.79,0.93,4.35666562843518e-12,0.83,0.83,0.83,340
6,0.79,0.93,1.24996844178209e-12,0.84,0.83,0.83,340
7,0.79,0.94,3.42740061001929e-13,0.84,0.84,0.84,340
8,0.79,0.93,4.35666562843518e-12,0.84,0.81,0.83,340
9,0.79,0.93,1.45374273719559e-11,0.83,0.81,0.82,340
10,0.79,0.93,1.45374273719559e-11,0.82,0.83,0.82,340
