"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.79,0.86,0.000493896435603642,0.69,0.63,0.66,340
2,0.79,0.87,0.000163307145789228,0.69,0.67,0.68,340
3,0.79,0.87,9.05018941455508e-05,0.71,0.66,0.68,340
4,0.79,0.88,1.31985565685162e-05,0.74,0.66,0.7,340
5,0.79,0.88,4.88988932063067e-05,0.74,0.61,0.67,340
6,0.79,0.88,2.57440110919914e-05,0.76,0.6,0.67,340
7,0.79,0.88,2.57440110919914e-05,0.75,0.63,0.68,340
8,0.79,0.88,1.31985565685162e-05,0.76,0.63,0.69,340
9,0.79,0.88,1.31985565685162e-05,0.73,0.67,0.7,340
10,0.79,0.89,6.58530982685555e-06,0.75,0.67,0.71,340
