"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.65,0.76,0.00881832598508022,0.81,0.81,0.81,108
2,0.65,0.76,0.00881832598508022,0.8,0.84,0.82,108
3,0.65,0.81,0.000261455159400349,0.82,0.9,0.86,108
4,0.65,0.73,0.041281482345185,0.78,0.81,0.8,108
5,0.65,0.72,0.0634541102913515,0.76,0.83,0.79,108
6,0.65,0.74,0.0257709831156883,0.77,0.86,0.81,108
7,0.65,0.71,0.0937396721496172,0.75,0.84,0.79,108
8,0.65,0.72,0.0634541102913515,0.76,0.84,0.8,108
9,0.65,0.72,0.0634541102913515,0.74,0.87,0.8,108
10,0.65,0.72,0.0634541102913515,0.75,0.86,0.8,108
