"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.83,0.99,4.2181604092878e-29,0.99,0.97,0.98,403
2,0.83,0.99,4.2181604092878e-29,1,0.96,0.98,403
3,0.83,0.99,4.2181604092878e-29,0.99,0.97,0.98,403
4,0.83,0.99,4.2181604092878e-29,0.99,0.97,0.98,403
5,0.83,0.99,4.2181604092878e-29,0.99,0.97,0.98,403
6,0.83,0.99,4.2181604092878e-29,0.99,0.97,0.98,403
7,0.83,1,1.48312787929546e-30,1,0.97,0.99,403
8,0.83,0.99,1.52489195578787e-26,1,0.93,0.96,403
9,0.83,0.99,1.52489195578787e-26,1,0.93,0.96,403
10,0.83,0.99,1.52489195578787e-26,1,0.93,0.96,403
