"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.83,0.89,0.00067405571361143,0.69,0.67,0.68,351
2,0.83,0.87,0.011711667438514,0.64,0.62,0.63,351
3,0.83,0.89,0.00193623277553907,0.67,0.65,0.66,351
4,0.83,0.88,0.00775039779642488,0.65,0.6,0.63,351
5,0.83,0.87,0.011711667438514,0.64,0.6,0.62,351
6,0.83,0.87,0.011711667438514,0.64,0.62,0.63,351
7,0.83,0.88,0.00775039779642488,0.65,0.62,0.63,351
8,0.83,0.87,0.0172837626509831,0.63,0.62,0.62,351
9,0.83,0.88,0.00315342495739265,0.67,0.63,0.65,351
10,0.83,0.88,0.00775039779642488,0.64,0.63,0.64,351
