"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.79,0.85,0.00785644257563639,0.62,0.67,0.64,340
2,0.79,0.86,0.000828675575245253,0.66,0.69,0.67,340
3,0.79,0.89,1.50702533539245e-06,0.75,0.71,0.73,340
4,0.79,0.89,1.50702533539245e-06,0.75,0.71,0.73,340
5,0.79,0.91,8.7274297728934e-09,0.81,0.73,0.77,340
6,0.79,0.91,1.20176706714953e-09,0.82,0.76,0.79,340
7,0.79,0.91,2.23235135629452e-08,0.8,0.73,0.76,340
8,0.79,0.91,2.23235135629452e-08,0.8,0.73,0.76,340
9,0.79,0.91,2.23235135629452e-08,0.81,0.71,0.76,340
10,0.79,0.91,2.23235135629452e-08,0.82,0.7,0.75,340
