"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.62,0.64,0.461530549021629,0.68,0.78,0.73,96
2,0.62,0.66,0.301426246286922,0.69,0.82,0.75,96
3,0.62,0.72,0.034664048754198,0.74,0.85,0.79,96
4,0.62,0.75,0.00652847426346358,0.76,0.88,0.82,96
5,0.62,0.74,0.0119525345953402,0.75,0.88,0.81,96
6,0.62,0.72,0.034664048754198,0.74,0.85,0.79,96
7,0.62,0.7,0.0838618873562475,0.72,0.85,0.78,96
8,0.62,0.72,0.034664048754198,0.72,0.9,0.8,96
9,0.62,0.73,0.0208396488314149,0.72,0.93,0.81,96
10,0.62,0.75,0.00652847426346358,0.72,0.98,0.83,96
