"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.85,1,8.86920766292767e-08,1,1,1,101
2,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
3,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
4,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
5,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
6,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
7,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
8,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
9,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
10,0.85,0.98,1.52769104019462e-05,0.93,0.93,0.93,101
