"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
1,0.84,0.99,0,1,0.95,0.97
2,0.84,0.99,0,1,0.93,0.97
3,0.84,0.99,0,1,0.95,0.97
4,0.84,0.99,0,1,0.95,0.97
5,0.84,0.99,0,1,0.97,0.98
6,0.84,0.99,0,1,0.97,0.98
7,0.84,0.99,0,1,0.97,0.98
8,0.84,0.99,0,1,0.95,0.97
9,0.84,0.99,0,1,0.97,0.98
10,0.84,0.99,0,1,0.95,0.97
11,0.84,0.99,0,1,0.93,0.97
12,0.84,0.99,0,1,0.95,0.97
13,0.84,0.99,0,1,0.93,0.97
14,0.84,0.99,0,1,0.92,0.96
15,0.84,0.99,0,1,0.92,0.96
16,0.84,0.99,0,1,0.92,0.96
17,0.84,0.99,0,1,0.93,0.97
18,0.84,0.99,0,1,0.93,0.97
19,0.84,0.99,0,1,0.93,0.97
20,0.84,0.99,0,1,0.93,0.97
21,0.84,0.99,0,1,0.93,0.97
22,0.84,0.99,0,1,0.93,0.97
23,0.84,0.99,0,1,0.93,0.97
24,0.84,0.99,0,1,0.93,0.97
25,0.84,0.99,0,1,0.93,0.97
26,0.84,0.99,0,1,0.93,0.97
27,0.84,0.99,0,1,0.93,0.97
28,0.84,0.99,0,1,0.93,0.97
29,0.84,0.99,0,1,0.93,0.97
30,0.84,0.99,0,1,0.93,0.97
31,0.84,0.99,0,1,0.93,0.97
32,0.84,0.99,0,1,0.93,0.97
33,0.84,0.99,0,1,0.93,0.97
34,0.84,0.99,0,1,0.93,0.97
35,0.84,0.99,0,1,0.93,0.97
36,0.84,0.99,0,1,0.93,0.97
37,0.84,0.99,0,1,0.93,0.97
38,0.84,0.99,0,1,0.93,0.97
39,0.84,0.99,0,1,0.93,0.97
40,0.84,0.99,0,1,0.93,0.97
41,0.84,0.99,0,1,0.93,0.97
42,0.84,0.99,0,1,0.93,0.97
43,0.84,0.99,0,1,0.93,0.97
44,0.84,0.99,0,1,0.93,0.97
45,0.84,0.99,0,1,0.93,0.97
46,0.84,0.99,0,1,0.93,0.97
47,0.84,0.99,0,1,0.93,0.97
48,0.84,0.99,0,1,0.93,0.97
49,0.84,0.99,0,1,0.93,0.97
50,0.84,0.99,0,1,0.93,0.97
51,0.84,0.99,0,1,0.93,0.97
52,0.84,0.99,0,1,0.93,0.97
53,0.84,0.99,0,1,0.93,0.97
54,0.84,0.99,0,1,0.93,0.97
55,0.84,0.99,0,1,0.93,0.97
56,0.84,0.99,0,1,0.93,0.97
57,0.84,0.99,0,1,0.93,0.97
58,0.84,0.99,0,1,0.93,0.97
59,0.84,0.99,0,1,0.93,0.97
60,0.84,0.99,0,1,0.93,0.97
61,0.84,0.99,0,1,0.93,0.97
62,0.84,0.99,0,1,0.93,0.97
63,0.84,0.99,0,1,0.93,0.97
64,0.84,0.99,0,1,0.93,0.97
65,0.84,0.99,0,1,0.93,0.97
66,0.84,0.99,0,1,0.93,0.97
67,0.84,0.99,0,1,0.93,0.97
68,0.84,0.99,0,1,0.93,0.97
69,0.84,0.99,0,1,0.93,0.97
70,0.84,0.99,0,1,0.93,0.97
71,0.84,0.99,0,1,0.93,0.97
72,0.84,0.99,0,1,0.93,0.97
73,0.84,0.99,0,1,0.93,0.97
74,0.84,0.99,0,1,0.93,0.97
75,0.84,0.99,0,1,0.93,0.97
76,0.84,0.99,0,1,0.93,0.97
77,0.84,0.99,0,1,0.93,0.97
78,0.84,0.99,0,1,0.93,0.97
79,0.84,0.99,0,1,0.93,0.97
80,0.84,0.99,0,1,0.93,0.97
81,0.84,0.99,0,1,0.93,0.97
82,0.84,0.99,0,1,0.93,0.97
83,0.84,0.99,0,1,0.93,0.97
84,0.84,0.99,0,1,0.93,0.97
85,0.84,0.99,0,1,0.93,0.97
86,0.84,0.99,0,1,0.93,0.97
87,0.84,0.99,0,1,0.93,0.97
88,0.84,0.99,0,1,0.93,0.97
89,0.84,0.99,0,1,0.93,0.97
90,0.84,0.99,0,1,0.93,0.97
91,0.84,0.99,0,1,0.93,0.97
92,0.84,0.99,0,1,0.93,0.97
93,0.84,0.99,0,1,0.93,0.97
94,0.84,0.99,0,1,0.93,0.97
95,0.84,0.99,0,1,0.93,0.97
96,0.84,0.99,0,1,0.93,0.97
97,0.84,0.99,0,1,0.93,0.97
98,0.84,0.99,0,1,0.93,0.97
99,0.84,0.99,0,1,0.93,0.97
100,0.84,0.99,0,1,0.93,0.97
