"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
1,0.53,0.72,0,0.7,0.73,0.71
2,0.53,0.72,0,0.69,0.73,0.71
3,0.53,0.76,0,0.74,0.76,0.75
4,0.53,0.74,0,0.71,0.76,0.74
5,0.53,0.78,0,0.77,0.76,0.76
6,0.53,0.78,0,0.76,0.77,0.77
7,0.53,0.78,0,0.76,0.76,0.76
8,0.53,0.77,0,0.76,0.75,0.76
9,0.53,0.78,0,0.77,0.76,0.77
10,0.53,0.78,0,0.77,0.76,0.76
11,0.53,0.78,0,0.76,0.77,0.77
12,0.53,0.77,0,0.76,0.75,0.76
13,0.53,0.78,0,0.77,0.76,0.77
14,0.53,0.78,0,0.76,0.76,0.76
15,0.53,0.78,0,0.77,0.77,0.77
16,0.53,0.78,0,0.77,0.76,0.76
17,0.53,0.78,0,0.77,0.77,0.77
18,0.53,0.78,0,0.77,0.77,0.77
19,0.53,0.78,0,0.77,0.77,0.77
20,0.53,0.78,0,0.77,0.76,0.76
21,0.53,0.79,0,0.78,0.77,0.77
22,0.53,0.78,0,0.77,0.77,0.77
23,0.53,0.78,0,0.77,0.76,0.77
24,0.53,0.78,0,0.77,0.77,0.77
25,0.53,0.79,0,0.77,0.79,0.78
26,0.53,0.78,0,0.76,0.77,0.77
27,0.53,0.78,0,0.77,0.77,0.77
28,0.53,0.78,0,0.77,0.79,0.78
29,0.53,0.78,0,0.76,0.77,0.77
30,0.53,0.78,0,0.76,0.77,0.77
31,0.53,0.78,0,0.76,0.79,0.77
32,0.53,0.77,0,0.75,0.78,0.76
33,0.53,0.77,0,0.75,0.79,0.77
34,0.53,0.78,0,0.75,0.79,0.77
35,0.53,0.77,0,0.75,0.79,0.77
36,0.53,0.77,0,0.75,0.78,0.76
37,0.53,0.77,0,0.75,0.77,0.76
38,0.53,0.77,0,0.76,0.76,0.76
39,0.53,0.77,0,0.75,0.77,0.76
40,0.53,0.77,0,0.75,0.76,0.76
41,0.53,0.77,0,0.75,0.76,0.76
42,0.53,0.77,0,0.75,0.76,0.76
43,0.53,0.77,0,0.75,0.76,0.76
44,0.53,0.77,0,0.75,0.77,0.76
45,0.53,0.77,0,0.75,0.77,0.76
46,0.53,0.77,0,0.76,0.77,0.76
47,0.53,0.77,0,0.76,0.77,0.76
48,0.53,0.77,0,0.76,0.77,0.76
49,0.53,0.77,0,0.76,0.76,0.76
50,0.53,0.77,0,0.76,0.76,0.76
51,0.53,0.77,0,0.76,0.76,0.76
52,0.53,0.77,0,0.76,0.76,0.76
53,0.53,0.77,0,0.75,0.76,0.76
54,0.53,0.77,0,0.75,0.76,0.75
55,0.53,0.77,0,0.75,0.76,0.76
56,0.53,0.77,0,0.75,0.76,0.76
57,0.53,0.77,0,0.75,0.76,0.76
58,0.53,0.77,0,0.75,0.76,0.76
59,0.53,0.77,0,0.75,0.76,0.76
60,0.53,0.77,0,0.75,0.76,0.76
61,0.53,0.77,0,0.75,0.76,0.76
62,0.53,0.76,0,0.75,0.76,0.75
63,0.53,0.77,0,0.75,0.77,0.76
64,0.53,0.77,0,0.74,0.77,0.76
65,0.53,0.76,0,0.74,0.76,0.75
66,0.53,0.76,0,0.74,0.76,0.75
67,0.53,0.76,0,0.74,0.76,0.75
68,0.53,0.77,0,0.75,0.77,0.76
69,0.53,0.77,0,0.74,0.77,0.76
70,0.53,0.76,0,0.74,0.76,0.75
71,0.53,0.76,0,0.74,0.76,0.75
72,0.53,0.76,0,0.74,0.77,0.75
73,0.53,0.76,0,0.74,0.76,0.75
74,0.53,0.76,0,0.74,0.76,0.75
75,0.53,0.76,0,0.74,0.76,0.75
76,0.53,0.75,0,0.73,0.76,0.75
77,0.53,0.76,0,0.74,0.76,0.75
78,0.53,0.76,0,0.74,0.76,0.75
79,0.53,0.76,0,0.74,0.76,0.75
80,0.53,0.76,0,0.74,0.76,0.75
81,0.53,0.75,0,0.73,0.76,0.75
82,0.53,0.76,0,0.73,0.76,0.75
83,0.53,0.76,0,0.73,0.76,0.75
84,0.53,0.76,0,0.73,0.76,0.75
85,0.53,0.75,0,0.73,0.76,0.75
86,0.53,0.76,0,0.74,0.76,0.75
87,0.53,0.76,0,0.74,0.76,0.75
88,0.53,0.76,0,0.74,0.76,0.75
89,0.53,0.76,0,0.74,0.76,0.75
90,0.53,0.76,0,0.73,0.76,0.75
91,0.53,0.76,0,0.73,0.77,0.75
92,0.53,0.76,0,0.73,0.77,0.75
93,0.53,0.76,0,0.74,0.77,0.75
94,0.53,0.77,0,0.77,0.74,0.75
95,0.53,0.77,0,0.77,0.74,0.75
96,0.53,0.77,0,0.77,0.74,0.75
97,0.53,0.77,0,0.77,0.74,0.75
98,0.53,0.77,0,0.77,0.74,0.75
99,0.53,0.77,0,0.76,0.74,0.75
100,0.53,0.77,0,0.76,0.74,0.75
