"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.53,0.92,1.74156621041333e-96,0.92,0.91,0.91,592
2,0.53,0.9,6.67693735906932e-87,0.91,0.89,0.9,592
3,0.53,0.92,1.63140074620936e-98,0.93,0.9,0.92,592
4,0.53,0.92,1.63140074620936e-98,0.93,0.9,0.92,592
5,0.53,0.93,1.39206453497395e-100,0.93,0.91,0.92,592
6,0.53,0.92,1.5250220611875e-99,0.92,0.91,0.92,592
7,0.53,0.92,1.70497046748141e-97,0.93,0.9,0.92,592
8,0.53,0.92,1.70497046748141e-97,0.93,0.9,0.92,592
9,0.53,0.91,1.62496732182982e-93,0.92,0.89,0.91,592
10,0.53,0.91,1.52101264759679e-92,0.92,0.89,0.91,592
