"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
1,0.51,0.98,0,0.96,1,0.98
2,0.51,0.98,0,0.96,1,0.98
3,0.51,0.98,0,0.96,1,0.98
4,0.51,0.98,0,0.96,1,0.98
5,0.51,0.98,0,0.96,1,0.98
6,0.51,0.98,0,0.96,1,0.98
7,0.51,0.98,0,0.96,1,0.98
8,0.51,0.98,0,0.95,1,0.98
9,0.51,0.98,0,0.95,1,0.98
10,0.51,0.97,0,0.95,0.99,0.97
11,0.51,0.97,0,0.95,1,0.97
12,0.51,0.98,0,0.95,1,0.98
13,0.51,0.97,0,0.95,0.99,0.97
14,0.51,0.97,0,0.95,1,0.97
15,0.51,0.97,0,0.95,1,0.97
16,0.51,0.97,0,0.95,1,0.97
17,0.51,0.97,0,0.95,1,0.97
18,0.51,0.97,0,0.95,1,0.97
19,0.51,0.97,0,0.95,1,0.97
20,0.51,0.97,0,0.95,1,0.97
21,0.51,0.97,0,0.95,0.99,0.97
22,0.51,0.97,0,0.95,1,0.97
23,0.51,0.97,0,0.95,1,0.97
24,0.51,0.97,0,0.95,1,0.97
25,0.51,0.97,0,0.95,1,0.97
26,0.51,0.97,0,0.95,1,0.97
27,0.51,0.97,0,0.95,0.99,0.97
28,0.51,0.97,0,0.95,0.99,0.97
29,0.51,0.97,0,0.95,0.99,0.97
30,0.51,0.97,0,0.95,0.99,0.97
31,0.51,0.97,0,0.95,0.99,0.97
32,0.51,0.97,0,0.95,0.99,0.97
33,0.51,0.97,0,0.96,0.97,0.97
34,0.51,0.96,0,0.96,0.96,0.96
35,0.51,0.96,0,0.95,0.96,0.96
36,0.51,0.97,0,0.95,0.98,0.96
37,0.51,0.97,0,0.96,0.98,0.97
38,0.51,0.96,0,0.96,0.96,0.96
39,0.51,0.97,0,0.96,0.97,0.96
40,0.51,0.96,0,0.96,0.96,0.96
41,0.51,0.97,0,0.96,0.97,0.96
42,0.51,0.97,0,0.96,0.97,0.97
43,0.51,0.96,0,0.96,0.96,0.96
44,0.51,0.97,0,0.96,0.97,0.96
45,0.51,0.96,0,0.97,0.95,0.96
46,0.51,0.96,0,0.97,0.95,0.96
47,0.51,0.96,0,0.97,0.95,0.96
48,0.51,0.96,0,0.97,0.95,0.96
49,0.51,0.97,0,0.95,0.99,0.97
50,0.51,0.97,0,0.95,0.99,0.97
51,0.51,0.97,0,0.95,0.99,0.97
52,0.51,0.97,0,0.95,0.99,0.97
53,0.51,0.97,0,0.95,0.99,0.97
54,0.51,0.97,0,0.95,0.99,0.97
55,0.51,0.97,0,0.95,0.99,0.97
56,0.51,0.97,0,0.95,0.99,0.97
57,0.51,0.96,0,0.93,0.99,0.96
58,0.51,0.96,0,0.93,0.99,0.96
59,0.51,0.96,0,0.93,0.99,0.96
60,0.51,0.96,0,0.93,0.99,0.96
61,0.51,0.96,0,0.93,0.99,0.96
62,0.51,0.96,0,0.93,0.99,0.96
63,0.51,0.96,0,0.93,0.99,0.96
64,0.51,0.96,0,0.93,0.99,0.96
65,0.51,0.96,0,0.93,0.99,0.96
66,0.51,0.96,0,0.93,0.99,0.96
67,0.51,0.96,0,0.93,0.99,0.96
68,0.51,0.96,0,0.93,0.99,0.96
69,0.51,0.96,0,0.93,0.99,0.96
70,0.51,0.96,0,0.93,0.99,0.96
71,0.51,0.96,0,0.93,0.99,0.96
72,0.51,0.96,0,0.93,0.99,0.96
73,0.51,0.96,0,0.93,0.99,0.96
74,0.51,0.96,0,0.93,0.99,0.96
75,0.51,0.96,0,0.93,0.99,0.96
76,0.51,0.96,0,0.93,0.99,0.96
77,0.51,0.96,0,0.93,0.99,0.96
78,0.51,0.96,0,0.93,0.99,0.96
79,0.51,0.96,0,0.93,0.99,0.96
80,0.51,0.97,0,0.95,0.99,0.97
81,0.51,0.97,0,0.95,0.99,0.97
82,0.51,0.97,0,0.95,0.99,0.97
83,0.51,0.97,0,0.95,0.99,0.97
84,0.51,0.96,0,0.97,0.94,0.96
85,0.51,0.96,0,0.97,0.94,0.96
86,0.51,0.96,0,0.97,0.94,0.96
87,0.51,0.96,0,0.98,0.94,0.96
88,0.51,0.96,0,0.98,0.94,0.96
89,0.51,0.96,0,0.98,0.94,0.96
90,0.51,0.96,0,0.98,0.94,0.96
91,0.51,0.96,0,0.98,0.94,0.96
92,0.51,0.96,0,0.98,0.94,0.96
93,0.51,0.96,0,0.98,0.94,0.96
94,0.51,0.96,0,0.98,0.94,0.96
95,0.51,0.97,0,0.95,0.99,0.97
96,0.51,0.97,0,0.95,0.99,0.97
97,0.51,0.97,0,0.95,0.99,0.97
98,0.51,0.97,0,0.95,0.99,0.97
99,0.51,0.97,0,0.95,0.99,0.97
100,0.51,0.97,0,0.95,0.99,0.97
