"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.53,0.72,2.72772207071226e-20,0.7,0.73,0.71,534
2,0.53,0.72,6.34704812014771e-20,0.69,0.73,0.71,534
3,0.53,0.76,6.04811405296579e-29,0.74,0.76,0.75,534
4,0.53,0.74,1.36015427294832e-24,0.71,0.76,0.74,534
5,0.53,0.78,9.70292803948288e-34,0.77,0.76,0.76,534
6,0.53,0.78,3.06911594317873e-33,0.76,0.77,0.77,534
7,0.53,0.78,9.60428603521586e-33,0.76,0.76,0.76,534
8,0.53,0.77,9.10969725052414e-32,0.76,0.75,0.76,534
9,0.53,0.78,9.70292803948288e-34,0.77,0.76,0.77,534
10,0.53,0.78,3.06911594317873e-33,0.77,0.76,0.76,534
