"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.53,0.93,3.66940898421388e-102,0.91,0.94,0.92,594
2,0.53,0.92,4.88502728842557e-99,0.91,0.93,0.92,594
3,0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
4,0.53,0.92,5.12583583579478e-98,0.91,0.92,0.92,594
5,0.53,0.93,3.17640197871041e-103,0.92,0.94,0.93,594
6,0.53,0.92,4.88502728842557e-99,0.91,0.93,0.92,594
7,0.53,0.93,4.1351496767995e-101,0.91,0.93,0.92,594
8,0.53,0.92,4.54824458570176e-100,0.92,0.93,0.92,594
9,0.53,0.93,4.1351496767995e-101,0.91,0.93,0.92,594
10,0.53,0.92,4.54824458570176e-100,0.91,0.93,0.92,594
