"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
1,0.51,0.98,0,0.97,1,0.98
2,0.51,0.98,0,0.97,1,0.98
3,0.51,0.98,0,0.97,1,0.98
4,0.51,0.98,0,0.96,1,0.98
5,0.51,0.98,0,0.96,1,0.98
6,0.51,0.98,0,0.96,1,0.98
7,0.51,0.98,0,0.95,1,0.98
8,0.51,0.98,0,0.96,1,0.98
9,0.51,0.98,0,0.96,1,0.98
10,0.51,0.98,0,0.96,1,0.98
11,0.51,0.98,0,0.96,1,0.98
12,0.51,0.97,0,0.95,1,0.97
13,0.51,0.98,0,0.95,1,0.98
14,0.51,0.97,0,0.95,1,0.97
15,0.51,0.98,0,0.95,1,0.98
16,0.51,0.98,0,0.95,1,0.98
17,0.51,0.98,0,0.95,1,0.98
18,0.51,0.98,0,0.96,1,0.98
19,0.51,0.98,0,0.96,1,0.98
20,0.51,0.97,0,0.95,1,0.97
21,0.51,0.97,0,0.95,1,0.97
22,0.51,0.98,0,0.95,1,0.98
23,0.51,0.98,0,0.95,1,0.98
24,0.51,0.97,0,0.95,1,0.97
25,0.51,0.97,0,0.95,1,0.97
26,0.51,0.97,0,0.95,1,0.97
27,0.51,0.98,0,0.95,1,0.98
28,0.51,0.97,0,0.95,1,0.97
29,0.51,0.96,0,0.97,0.95,0.96
30,0.51,0.96,0,0.97,0.95,0.96
31,0.51,0.96,0,0.97,0.95,0.96
32,0.51,0.96,0,0.96,0.95,0.96
33,0.51,0.96,0,0.96,0.95,0.96
34,0.51,0.96,0,0.96,0.95,0.96
35,0.51,0.96,0,0.97,0.94,0.95
36,0.51,0.95,0,0.97,0.94,0.95
37,0.51,0.95,0,0.97,0.94,0.95
38,0.51,0.95,0,0.97,0.94,0.95
39,0.51,0.95,0,0.97,0.94,0.95
40,0.51,0.95,0,0.97,0.94,0.95
41,0.51,0.95,0,0.97,0.94,0.95
42,0.51,0.97,0,0.95,0.99,0.97
43,0.51,0.97,0,0.95,0.99,0.97
44,0.51,0.97,0,0.95,0.99,0.97
45,0.51,0.97,0,0.95,0.99,0.97
46,0.51,0.97,0,0.95,0.99,0.97
47,0.51,0.97,0,0.95,0.99,0.97
48,0.51,0.96,0,0.93,0.99,0.96
49,0.51,0.96,0,0.93,0.99,0.96
50,0.51,0.96,0,0.93,0.99,0.96
51,0.51,0.96,0,0.93,0.99,0.96
52,0.51,0.96,0,0.93,0.99,0.96
53,0.51,0.96,0,0.93,0.99,0.96
54,0.51,0.96,0,0.93,0.99,0.96
55,0.51,0.96,0,0.93,0.99,0.96
56,0.51,0.96,0,0.93,0.99,0.96
57,0.51,0.96,0,0.93,0.99,0.96
58,0.51,0.96,0,0.93,0.99,0.96
59,0.51,0.96,0,0.93,0.99,0.96
60,0.51,0.95,0,0.93,0.99,0.96
61,0.51,0.95,0,0.93,0.99,0.96
62,0.51,0.95,0,0.93,0.99,0.96
63,0.51,0.95,0,0.93,0.99,0.96
64,0.51,0.95,0,0.93,0.99,0.96
65,0.51,0.95,0,0.93,0.99,0.96
66,0.51,0.95,0,0.93,0.99,0.96
67,0.51,0.95,0,0.93,0.99,0.96
68,0.51,0.95,0,0.93,0.99,0.96
69,0.51,0.95,0,0.93,0.99,0.96
70,0.51,0.95,0,0.93,0.99,0.96
71,0.51,0.95,0,0.93,0.99,0.96
72,0.51,0.95,0,0.92,0.99,0.95
73,0.51,0.95,0,0.92,0.99,0.95
74,0.51,0.95,0,0.92,0.99,0.95
75,0.51,0.95,0,0.92,0.99,0.95
76,0.51,0.96,0,0.94,0.99,0.96
77,0.51,0.96,0,0.94,0.99,0.96
78,0.51,0.96,0,0.94,0.99,0.96
79,0.51,0.95,0,0.96,0.94,0.95
80,0.51,0.95,0,0.96,0.94,0.95
81,0.51,0.95,0,0.96,0.93,0.95
82,0.51,0.95,0,0.96,0.94,0.95
83,0.51,0.95,0,0.96,0.94,0.95
84,0.51,0.95,0,0.96,0.94,0.95
85,0.51,0.95,0,0.96,0.94,0.95
86,0.51,0.95,0,0.96,0.94,0.95
87,0.51,0.95,0,0.96,0.94,0.95
88,0.51,0.95,0,0.96,0.94,0.95
89,0.51,0.95,0,0.96,0.94,0.95
90,0.51,0.95,0,0.96,0.94,0.95
91,0.51,0.95,0,0.96,0.94,0.95
92,0.51,0.95,0,0.96,0.93,0.94
93,0.51,0.96,0,0.93,0.99,0.96
94,0.51,0.96,0,0.93,0.99,0.96
95,0.51,0.96,0,0.93,0.99,0.96
96,0.51,0.96,0,0.93,0.99,0.96
97,0.51,0.96,0,0.93,0.99,0.96
98,0.51,0.96,0,0.93,0.99,0.96
99,0.51,0.95,0,0.91,0.98,0.95
100,0.51,0.95,0,0.91,0.98,0.95
