"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.92,0.93,0.236941408607112,0.97,0.95,0.96,312
2,0.92,0.93,0.236941408607112,0.97,0.95,0.96,312
3,0.92,0.94,0.123305320613321,0.98,0.95,0.97,312
4,0.92,0.95,0.0531575718406166,0.98,0.96,0.97,312
5,0.92,0.94,0.0830346064463774,0.98,0.95,0.97,312
6,0.92,0.94,0.0830346064463774,0.98,0.95,0.97,312
7,0.92,0.94,0.0830346064463774,0.98,0.95,0.97,312
8,0.92,0.95,0.0322294686849065,0.99,0.95,0.97,312
9,0.92,0.95,0.0322294686849065,0.99,0.96,0.97,312
10,0.92,0.95,0.0184310612123784,0.99,0.96,0.97,312
