"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.92,0.91,0.706251665000273,0.95,0.95,0.95,312
2,0.92,0.92,0.470055398026829,0.97,0.95,0.96,312
3,0.92,0.94,0.123305320613321,0.98,0.96,0.97,312
4,0.92,0.95,0.0531575718406166,0.98,0.97,0.97,312
5,0.92,0.95,0.0531575718406166,0.98,0.96,0.97,312
6,0.92,0.95,0.0531575718406166,0.98,0.96,0.97,312
7,0.92,0.94,0.174696083901275,0.98,0.95,0.96,312
8,0.92,0.94,0.174696083901275,0.98,0.95,0.96,312
9,0.92,0.95,0.0531575718406166,0.97,0.97,0.97,312
10,0.92,0.95,0.0531575718406166,0.97,0.97,0.97,312
