"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
1,0.92,0.91,0.71,0.95,0.95,0.95
2,0.92,0.92,0.47,0.97,0.95,0.96
3,0.92,0.94,0.12,0.98,0.96,0.97
4,0.92,0.95,0.05,0.98,0.97,0.97
5,0.92,0.95,0.05,0.98,0.96,0.97
6,0.92,0.95,0.05,0.98,0.96,0.97
7,0.92,0.94,0.17,0.98,0.95,0.96
8,0.92,0.94,0.17,0.98,0.95,0.96
9,0.92,0.95,0.05,0.97,0.97,0.97
10,0.92,0.95,0.05,0.97,0.97,0.97
11,0.92,0.95,0.05,0.97,0.97,0.97
12,0.92,0.94,0.17,0.97,0.97,0.97
13,0.92,0.94,0.12,0.97,0.97,0.97
14,0.92,0.93,0.39,0.96,0.96,0.96
15,0.92,0.93,0.24,0.96,0.97,0.96
16,0.92,0.94,0.08,0.96,0.98,0.97
17,0.92,0.95,0.05,0.98,0.96,0.97
18,0.92,0.94,0.08,0.98,0.96,0.97
19,0.92,0.94,0.08,0.98,0.96,0.97
20,0.92,0.95,0.05,0.98,0.97,0.97
21,0.92,0.94,0.08,0.98,0.96,0.97
22,0.92,0.94,0.17,0.97,0.96,0.96
23,0.92,0.94,0.12,0.98,0.96,0.97
24,0.92,0.94,0.12,0.97,0.96,0.97
25,0.92,0.94,0.17,0.97,0.96,0.97
26,0.92,0.94,0.12,0.97,0.96,0.97
27,0.92,0.93,0.24,0.97,0.95,0.96
28,0.92,0.93,0.24,0.97,0.95,0.96
29,0.92,0.93,0.24,0.97,0.95,0.96
30,0.92,0.94,0.17,0.98,0.95,0.96
31,0.92,0.94,0.17,0.98,0.95,0.96
32,0.92,0.94,0.12,0.98,0.96,0.97
33,0.92,0.94,0.17,0.97,0.96,0.96
34,0.92,0.94,0.17,0.97,0.96,0.97
35,0.92,0.93,0.31,0.97,0.95,0.96
36,0.92,0.93,0.39,0.97,0.95,0.96
37,0.92,0.92,0.47,0.96,0.95,0.96
38,0.92,0.92,0.55,0.96,0.95,0.96
39,0.92,0.92,0.47,0.96,0.95,0.96
40,0.92,0.92,0.47,0.96,0.95,0.96
41,0.92,0.92,0.47,0.96,0.95,0.96
42,0.92,0.92,0.47,0.96,0.95,0.96
43,0.92,0.92,0.47,0.96,0.95,0.96
44,0.92,0.93,0.39,0.96,0.95,0.96
45,0.92,0.93,0.39,0.96,0.95,0.96
46,0.92,0.93,0.39,0.96,0.95,0.96
47,0.92,0.93,0.39,0.96,0.95,0.96
48,0.92,0.92,0.47,0.96,0.95,0.96
49,0.92,0.92,0.47,0.96,0.95,0.96
50,0.92,0.93,0.39,0.96,0.96,0.96
51,0.92,0.93,0.39,0.96,0.96,0.96
52,0.92,0.93,0.39,0.96,0.96,0.96
53,0.92,0.93,0.39,0.96,0.96,0.96
54,0.92,0.93,0.39,0.96,0.96,0.96
55,0.92,0.93,0.39,0.96,0.96,0.96
56,0.92,0.93,0.39,0.96,0.96,0.96
57,0.92,0.92,0.47,0.96,0.95,0.96
58,0.92,0.93,0.39,0.96,0.95,0.96
59,0.92,0.93,0.39,0.96,0.95,0.96
60,0.92,0.92,0.47,0.96,0.95,0.96
61,0.92,0.93,0.39,0.96,0.95,0.96
62,0.92,0.93,0.39,0.96,0.95,0.96
63,0.92,0.93,0.39,0.96,0.95,0.96
64,0.92,0.92,0.47,0.96,0.95,0.96
65,0.92,0.92,0.47,0.96,0.95,0.96
66,0.92,0.92,0.47,0.96,0.95,0.96
67,0.92,0.93,0.39,0.97,0.95,0.96
68,0.92,0.93,0.39,0.97,0.95,0.96
69,0.92,0.93,0.31,0.97,0.95,0.96
70,0.92,0.93,0.39,0.97,0.95,0.96
71,0.92,0.93,0.31,0.97,0.95,0.96
72,0.92,0.93,0.39,0.96,0.95,0.96
73,0.92,0.93,0.31,0.97,0.95,0.96
74,0.92,0.93,0.31,0.97,0.95,0.96
75,0.92,0.93,0.31,0.97,0.95,0.96
76,0.92,0.93,0.31,0.97,0.95,0.96
77,0.92,0.93,0.31,0.97,0.95,0.96
78,0.92,0.93,0.31,0.97,0.95,0.96
79,0.92,0.93,0.31,0.97,0.95,0.96
80,0.92,0.93,0.39,0.96,0.96,0.96
81,0.92,0.93,0.39,0.96,0.96,0.96
82,0.92,0.93,0.39,0.96,0.96,0.96
83,0.92,0.93,0.31,0.96,0.96,0.96
84,0.92,0.93,0.31,0.96,0.96,0.96
85,0.92,0.93,0.39,0.96,0.96,0.96
86,0.92,0.93,0.39,0.96,0.96,0.96
87,0.92,0.93,0.39,0.96,0.96,0.96
88,0.92,0.93,0.39,0.96,0.96,0.96
89,0.92,0.93,0.39,0.96,0.96,0.96
90,0.92,0.93,0.39,0.96,0.96,0.96
91,0.92,0.93,0.39,0.96,0.96,0.96
92,0.92,0.93,0.39,0.96,0.96,0.96
93,0.92,0.93,0.39,0.96,0.96,0.96
94,0.92,0.93,0.39,0.96,0.96,0.96
95,0.92,0.93,0.31,0.96,0.97,0.96
96,0.92,0.93,0.31,0.96,0.97,0.96
97,0.92,0.93,0.31,0.96,0.97,0.96
98,0.92,0.93,0.31,0.96,0.97,0.96
99,0.92,0.93,0.39,0.96,0.96,0.96
100,0.92,0.93,0.39,0.96,0.96,0.96
