"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.93,1,1.59460512777591e-10,0.96,1,0.98,370
2,0.93,1,1.59460512777591e-10,0.96,1,0.98,370
3,0.93,1,1.59460512777591e-10,0.96,1,0.98,370
4,0.93,1,1.59460512777591e-10,0.96,1,0.98,370
5,0.93,1,1.59460512777591e-10,0.96,1,0.98,370
6,0.93,1,1.59460512777591e-10,0.96,1,0.98,370
7,0.93,0.99,2.21472251985447e-09,0.93,1,0.96,370
8,0.93,0.99,2.21472251985447e-09,0.93,1,0.96,370
9,0.93,0.99,2.04837181383156e-08,0.89,1,0.94,370
10,0.93,0.99,2.04837181383156e-08,0.89,1,0.94,370
