"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
1,0.93,1,0,0.96,1,0.98
2,0.93,1,0,0.96,1,0.98
3,0.93,1,0,0.96,1,0.98
4,0.93,0.99,0,0.96,0.96,0.96
5,0.93,1,0,0.96,1,0.98
6,0.93,1,0,0.96,1,0.98
7,0.93,0.99,0,0.89,1,0.94
8,0.93,0.99,0,0.89,1,0.94
9,0.93,0.99,0,0.89,1,0.94
10,0.93,0.99,0,0.89,1,0.94
11,0.93,0.99,0,0.89,1,0.94
12,0.93,0.99,0,0.93,1,0.96
13,0.93,0.99,0,0.93,1,0.96
14,0.93,0.99,0,0.93,1,0.96
15,0.93,0.99,0,0.93,1,0.96
16,0.93,0.99,0,0.93,1,0.96
17,0.93,0.99,0,0.93,1,0.96
18,0.93,0.99,0,0.93,1,0.96
19,0.93,0.99,0,0.93,1,0.96
20,0.93,0.99,0,0.93,1,0.96
21,0.93,0.99,0,0.93,1,0.96
22,0.93,0.99,0,0.93,1,0.96
23,0.93,0.99,0,0.93,1,0.96
24,0.93,0.99,0,0.93,1,0.96
25,0.93,0.99,0,0.93,1,0.96
26,0.93,0.99,0,0.93,1,0.96
27,0.93,0.99,0,0.93,1,0.96
28,0.93,0.99,0,0.93,1,0.96
29,0.93,0.99,0,0.93,1,0.96
30,0.93,0.99,0,0.93,1,0.96
31,0.93,0.99,0,0.93,1,0.96
32,0.93,0.99,0,0.93,1,0.96
33,0.93,0.99,0,0.93,1,0.96
34,0.93,0.99,0,0.93,1,0.96
35,0.93,0.99,0,0.93,1,0.96
36,0.93,0.99,0,0.93,1,0.96
37,0.93,0.99,0,0.93,1,0.96
38,0.93,0.99,0,0.93,1,0.96
39,0.93,0.99,0,0.93,1,0.96
40,0.93,0.99,0,0.93,1,0.96
41,0.93,0.99,0,0.93,1,0.96
42,0.93,0.99,0,0.93,1,0.96
43,0.93,0.99,0,0.93,1,0.96
44,0.93,0.99,0,0.93,1,0.96
45,0.93,0.99,0,0.93,1,0.96
46,0.93,0.99,0,0.93,1,0.96
47,0.93,0.99,0,0.93,1,0.96
48,0.93,0.99,0,0.93,1,0.96
49,0.93,0.99,0,0.93,1,0.96
50,0.93,0.99,0,0.93,1,0.96
51,0.93,0.99,0,0.93,1,0.96
52,0.93,0.99,0,0.93,1,0.96
53,0.93,0.99,0,0.93,1,0.96
54,0.93,0.99,0,0.93,1,0.96
55,0.93,0.99,0,0.93,1,0.96
56,0.93,0.99,0,0.93,1,0.96
57,0.93,0.99,0,0.93,1,0.96
58,0.93,0.99,0,0.93,1,0.96
59,0.93,0.99,0,0.93,1,0.96
60,0.93,0.99,0,0.93,1,0.96
61,0.93,0.99,0,0.93,1,0.96
62,0.93,0.99,0,0.93,1,0.96
63,0.93,0.99,0,0.93,1,0.96
64,0.93,0.99,0,0.93,1,0.96
65,0.93,0.99,0,0.93,1,0.96
66,0.93,0.99,0,0.93,1,0.96
67,0.93,0.99,0,0.93,1,0.96
68,0.93,0.99,0,0.93,1,0.96
69,0.93,0.99,0,0.93,1,0.96
70,0.93,0.99,0,0.93,1,0.96
71,0.93,0.99,0,0.93,1,0.96
72,0.93,0.99,0,0.93,1,0.96
73,0.93,0.99,0,0.93,1,0.96
74,0.93,0.99,0,0.93,1,0.96
75,0.93,0.99,0,0.93,1,0.96
76,0.93,0.99,0,0.93,1,0.96
77,0.93,0.99,0,0.93,1,0.96
78,0.93,0.99,0,0.93,1,0.96
79,0.93,0.99,0,0.93,1,0.96
80,0.93,1,0,0.96,1,0.98
81,0.93,1,0,0.96,1,0.98
82,0.93,1,0,0.96,1,0.98
83,0.93,1,0,0.96,1,0.98
84,0.93,1,0,0.96,1,0.98
85,0.93,1,0,0.96,1,0.98
86,0.93,1,0,0.96,1,0.98
87,0.93,1,0,0.96,1,0.98
88,0.93,1,0,0.96,1,0.98
89,0.93,1,0,0.96,1,0.98
90,0.93,1,0,0.96,1,0.98
91,0.93,1,0,0.96,1,0.98
92,0.93,1,0,0.96,1,0.98
93,0.93,1,0,0.96,1,0.98
94,0.93,1,0,0.96,1,0.98
95,0.93,1,0,0.96,1,0.98
96,0.93,1,0,0.96,1,0.98
97,0.93,1,0,0.96,1,0.98
98,0.93,1,0,0.96,1,0.98
99,0.93,1,0,0.96,1,0.98
100,0.93,1,0,0.96,1,0.98
