"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
2,0.84,0.99,2.83695027589201e-24,1,0.95,0.97,383
3,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
4,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
5,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
6,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
7,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
8,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
9,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
10,0.84,0.99,1.18523312775609e-25,1,0.97,0.98,383
