"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.51,0.91,5.12784159140835e-96,0.91,0.91,0.91,574
2,0.51,0.91,4.18352369560308e-92,0.9,0.91,0.9,574
3,0.51,0.92,4.04493849922305e-101,0.94,0.9,0.92,574
4,0.51,0.92,4.04493849922305e-101,0.93,0.9,0.92,574
5,0.51,0.93,1.3751521953179e-107,0.94,0.92,0.93,574
6,0.51,0.92,4.04493849922305e-101,0.93,0.9,0.92,574
7,0.51,0.93,3.12287464821316e-103,0.94,0.91,0.92,574
8,0.51,0.91,5.11545654301811e-97,0.93,0.89,0.91,574
9,0.51,0.91,5.11545654301811e-97,0.93,0.89,0.91,574
10,0.51,0.92,4.44063581085432e-100,0.93,0.9,0.92,574
