"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.51,0.91,1.26287045247495e-96,0.89,0.93,0.91,575
2,0.51,0.91,1.26287045247495e-96,0.9,0.93,0.91,575
3,0.51,0.91,1.26287045247495e-96,0.9,0.93,0.91,575
4,0.51,0.91,1.26287045247495e-96,0.89,0.94,0.91,575
5,0.51,0.92,1.21598870970878e-98,0.9,0.93,0.92,575
6,0.51,0.91,1.24553832316564e-95,0.9,0.92,0.91,575
7,0.51,0.92,1.15384351712625e-99,0.9,0.93,0.92,575
8,0.51,0.92,1.21598870970878e-98,0.9,0.93,0.92,575
9,0.51,0.91,1.25296911644211e-97,0.9,0.93,0.91,575
10,0.51,0.92,1.07005337731611e-100,0.9,0.94,0.92,575
