"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.93,1,1.545520999402e-10,0.96,1,0.98,357
2,0.93,1,1.545520999402e-10,0.96,1,0.98,357
3,0.93,1,1.545520999402e-10,0.96,1,0.98,357
4,0.93,0.99,2.15181299376396e-09,0.96,0.96,0.96,357
5,0.93,1,1.545520999402e-10,0.96,1,0.98,357
6,0.93,1,1.545520999402e-10,0.96,1,0.98,357
7,0.93,0.99,1.99486909382276e-08,0.89,1,0.94,357
8,0.93,0.99,1.99486909382276e-08,0.89,1,0.94,357
9,0.93,0.99,1.99486909382276e-08,0.89,1,0.94,357
10,0.93,0.99,1.99486909382276e-08,0.89,1,0.94,357
