"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.84,0.87,0.253297275558629,0.57,0.75,0.65,101
2,0.84,0.89,0.106354999158234,0.63,0.75,0.69,101
3,0.84,0.88,0.170558722140613,0.61,0.69,0.65,101
4,0.84,0.88,0.170558722140613,0.6,0.75,0.67,101
5,0.84,0.89,0.106354999158234,0.63,0.75,0.69,101
6,0.84,0.88,0.170558722140613,0.6,0.75,0.67,101
7,0.84,0.9,0.0608773620457153,0.67,0.75,0.71,101
8,0.84,0.92,0.01480902525069,0.75,0.75,0.75,101
9,0.84,0.92,0.01480902525069,0.75,0.75,0.75,101
10,0.84,0.92,0.01480902525069,0.75,0.75,0.75,101
