"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.73,0.91,7.28964665697975e-06,0.8,0.89,0.84,101
2,0.73,0.91,7.28964665697975e-06,0.85,0.81,0.83,101
3,0.73,0.91,7.28964665697975e-06,0.85,0.81,0.83,101
4,0.73,0.91,7.28964665697975e-06,0.88,0.78,0.82,101
5,0.73,0.88,0.000231156049536574,0.89,0.63,0.74,101
6,0.73,0.87,0.000607342333266683,0.89,0.59,0.71,101
7,0.73,0.87,0.000607342333266683,0.85,0.63,0.72,101
8,0.73,0.87,0.000607342333266683,0.85,0.63,0.72,101
9,0.73,0.86,0.00147010160946624,0.84,0.59,0.7,101
10,0.73,0.85,0.0032958867804507,0.88,0.52,0.65,101
