"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.73,0.63,0.989168693979633,0.75,0.76,0.75,101
2,0.73,0.63,0.989168693979633,0.75,0.74,0.75,101
3,0.73,0.67,0.925710596713102,0.77,0.78,0.78,101
4,0.73,0.72,0.637761371167233,0.8,0.82,0.81,101
5,0.73,0.7,0.786259951940047,0.78,0.84,0.81,101
6,0.73,0.67,0.925710596713102,0.77,0.8,0.78,101
7,0.73,0.66,0.951452809957294,0.75,0.81,0.78,101
8,0.73,0.67,0.925710596713102,0.77,0.8,0.78,101
9,0.73,0.68,0.890434230415506,0.77,0.81,0.79,101
10,0.73,0.69,0.844194355751669,0.77,0.84,0.8,101
