"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.85,0.99,1.65111644980781e-06,0.94,1,0.97,101
2,0.85,0.99,1.65111644980781e-06,0.94,1,0.97,101
3,0.85,0.99,1.65111644980781e-06,0.94,1,0.97,101
4,0.85,1,8.86920766292767e-08,1,1,1,101
5,0.85,1,8.86920766292767e-08,1,1,1,101
6,0.85,1,8.86920766292767e-08,1,1,1,101
7,0.85,1,8.86920766292767e-08,1,1,1,101
8,0.85,1,8.86920766292767e-08,1,1,1,101
9,0.85,1,8.86920766292767e-08,1,1,1,101
10,0.85,1,8.86920766292767e-08,1,1,1,101
