"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.57,0.94,1.07282805318458e-16,0.93,0.93,0.93,101
2,0.57,0.93,1.09713536882273e-15,0.91,0.93,0.92,101
3,0.57,0.96,6.09715659781174e-19,0.91,1,0.96,101
4,0.57,0.97,3.30795324874093e-20,0.93,1,0.97,101
5,0.57,0.96,6.09715659781174e-19,0.91,1,0.96,101
6,0.57,0.93,1.09713536882273e-15,0.86,1,0.92,101
7,0.57,0.94,1.07282805318458e-16,0.88,1,0.93,101
8,0.57,0.94,1.07282805318458e-16,0.88,1,0.93,101
9,0.57,0.92,9.71994584659048e-15,0.84,1,0.91,101
10,0.57,0.92,9.71994584659048e-15,0.84,1,0.91,101
