"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.5,0.67,0.00045857343153121,0.69,0.62,0.65,101
2,0.5,0.67,0.00045857343153121,0.67,0.66,0.67,101
3,0.5,0.68,0.000215630200942,0.7,0.62,0.66,101
4,0.5,0.72,6.78438172697468e-06,0.75,0.66,0.7,101
5,0.5,0.68,0.000215630200942,0.69,0.66,0.67,101
6,0.5,0.74,9.10354135009556e-07,0.73,0.76,0.75,101
7,0.5,0.71,1.72439649600338e-05,0.72,0.68,0.7,101
8,0.5,0.7,4.18547490378197e-05,0.72,0.66,0.69,101
9,0.5,0.68,0.000215630200942,0.67,0.7,0.69,101
10,0.5,0.68,0.000215630200942,0.68,0.68,0.68,101
