"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.51,0.97,1.09219179387352e-24,0.96,0.98,0.97,101
2,0.51,0.95,4.71793775635345e-22,0.96,0.94,0.95,101
3,0.51,0.96,2.55052003314323e-23,0.96,0.96,0.96,101
4,0.51,0.96,2.55052003314323e-23,0.96,0.96,0.96,101
5,0.51,0.96,2.55052003314323e-23,0.96,0.96,0.96,101
6,0.51,0.97,1.09219179387352e-24,0.96,0.98,0.97,101
7,0.51,0.96,2.55052003314323e-23,0.96,0.96,0.96,101
8,0.51,0.96,2.55052003314323e-23,0.96,0.96,0.96,101
9,0.51,0.96,2.55052003314323e-23,0.96,0.96,0.96,101
10,0.51,0.97,1.09219179387352e-24,0.96,0.98,0.97,101
