"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.9,0.91,0.451359981218836,0.98,0.92,0.95,101
2,0.9,0.93,0.206197962731418,0.98,0.95,0.96,101
3,0.9,0.93,0.206197962731418,0.98,0.95,0.96,101
4,0.9,0.93,0.206197962731418,0.98,0.95,0.96,101
5,0.9,0.93,0.206197962731418,0.98,0.95,0.96,101
6,0.9,0.94,0.117287922582768,1,0.93,0.97,101
7,0.9,0.94,0.117287922582768,0.99,0.95,0.97,101
8,0.9,0.94,0.117287922582768,0.99,0.95,0.97,101
9,0.9,0.94,0.117287922582768,0.99,0.95,0.97,101
10,0.9,0.93,0.206197962731418,0.99,0.93,0.96,101
