"k","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
1,0.86,0.93,0.0234326615055326,0.94,0.98,0.96,101
2,0.86,0.9,0.15619417717549,0.92,0.97,0.94,101
3,0.86,0.9,0.15619417717549,0.91,0.98,0.94,101
4,0.86,0.9,0.15619417717549,0.94,0.94,0.94,101
5,0.86,0.88,0.343563234852838,0.92,0.94,0.93,101
6,0.86,0.91,0.0924180113380755,0.95,0.94,0.95,101
7,0.86,0.9,0.15619417717549,0.94,0.94,0.94,101
8,0.86,0.88,0.343563234852838,0.92,0.94,0.93,101
9,0.86,0.89,0.241095781435538,0.93,0.94,0.94,101
10,0.86,0.89,0.241095781435538,0.93,0.94,0.94,101
