"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.79,0.92,4.22361740730301e-10,0.8,0.8,0.8,340
"3,3,2",8,3,"sse","tanh","rprop+",0.79,0.93,4.35666562843518e-12,0.82,0.84,0.83,340
"5,2,4",11,3,"sse","tanh","rprop+",0.79,0.93,1.24996844178209e-12,0.83,0.84,0.84,340
"3,1,1",5,3,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.77,0.91,0.84,340
"3",3,1,"sse","tanh","rprop+",0.79,0.92,4.22361740730301e-10,0.82,0.77,0.79,340
"5,3,1",9,3,"sse","tanh","rprop+",0.79,0.94,3.42740061001929e-13,0.82,0.87,0.85,340
"2,1",3,2,"sse","tanh","rprop+",0.79,0.91,1.20176706714953e-09,0.77,0.84,0.8,340
"2,2,1,2",7,4,"sse","tanh","rprop+",0.79,0.92,4.65154610535281e-11,0.78,0.89,0.83,340
"4,2",6,2,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.79,0.87,0.83,340
"4,4,4,3",15,4,"sse","tanh","rprop+",0.79,0.94,3.42740061001929e-13,0.84,0.84,0.84,340
"5,2,3",10,3,"sse","tanh","rprop+",0.79,0.93,4.35666562843518e-12,0.81,0.86,0.83,340
"4,4",8,2,"sse","tanh","rprop+",0.79,0.93,4.35666562843518e-12,0.83,0.83,0.83,340
"5,4,4,5",18,4,"sse","tanh","rprop+",0.79,0.92,4.22361740730301e-10,0.79,0.81,0.8,340
"3,3,1",7,3,"sse","tanh","rprop+",0.79,0.91,8.7274297728934e-09,0.77,0.79,0.78,340
"3,2",5,2,"sse","tanh","rprop+",0.79,0.94,8.96453509999185e-14,0.83,0.89,0.86,340
"1",1,1,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.79,0.87,0.83,340
"5,4,2",11,3,"sse","tanh","rprop+",0.79,0.92,1.42932083868473e-10,0.8,0.81,0.81,340
"3,2,3",8,3,"sse","tanh","rprop+",0.79,0.92,1.42932083868473e-10,0.77,0.87,0.82,340
"2",2,1,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.79,0.87,0.83,340
"2,1,1,1",5,4,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.79,0.87,0.83,340
"4,2,3",9,3,"sse","tanh","rprop+",0.79,0.92,1.42932083868473e-10,0.79,0.84,0.81,340
"4,4,4",12,3,"sse","tanh","rprop+",0.79,0.94,3.42740061001929e-13,0.82,0.87,0.85,340
"2,2",4,2,"sse","tanh","rprop+",0.79,0.93,1.24996844178209e-12,0.82,0.86,0.84,340
"3,4",7,2,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.81,0.84,0.83,340
"2,4",6,2,"sse","tanh","rprop+",0.79,0.93,1.24996844178209e-12,0.82,0.86,0.84,340
"2,1,1,5",9,4,"sse","tanh","rprop+",0.79,0.92,4.65154610535281e-11,0.79,0.86,0.82,340
"5,2,1",8,3,"sse","tanh","rprop+",0.79,0.91,8.7274297728934e-09,0.77,0.8,0.78,340
"2,3,2,4",11,4,"sse","tanh","rprop+",0.79,0.93,4.35666562843518e-12,0.83,0.83,0.83,340
"1,2",3,2,"sse","tanh","rprop+",0.79,0.92,4.65154610535281e-11,0.78,0.89,0.83,340
"5,1,4",10,3,"sse","tanh","rprop+",0.79,0.92,1.42932083868473e-10,0.79,0.84,0.81,340
"2,4,3,4",13,4,"sse","tanh","rprop+",0.79,0.92,1.42932083868473e-10,0.78,0.86,0.82,340
"4",4,1,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.78,0.89,0.83,340
"1,1,4,3",9,4,"sse","tanh","rprop+",0.79,0.92,4.65154610535281e-11,0.78,0.87,0.82,340
"2,2,5",9,3,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.8,0.86,0.83,340
"3,3,4,3",13,4,"sse","tanh","rprop+",0.79,0.91,8.7274297728934e-09,0.76,0.81,0.79,340
"5",5,1,"sse","tanh","rprop+",0.79,0.93,1.45374273719559e-11,0.8,0.86,0.83,340
