"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,3,2",8,3,"sse","tanh","rprop+",0.79,0.89,3.19551083255402e-06,0.74,0.7,0.72,340
"5,2,4",11,3,"sse","tanh","rprop+",0.79,0.87,9.05018941455508e-05,0.7,0.69,0.69,340
"3,1,1",5,3,"sse","tanh","rprop+",0.79,0.89,3.19551083255402e-06,0.74,0.7,0.72,340
"3",3,1,"sse","tanh","rprop+",0.79,0.89,3.19551083255402e-06,0.74,0.7,0.72,340
"5,3,1",9,3,"sse","tanh","rprop+",0.79,0.88,2.57440110919914e-05,0.7,0.71,0.71,340
"2,1",3,2,"sse","tanh","rprop+",0.79,0.89,1.50702533539245e-06,0.75,0.71,0.73,340
"2,2,1,2",7,4,"sse","tanh","rprop+",0.79,0.89,1.50702533539245e-06,0.74,0.73,0.73,340
"4,2",6,2,"sse","tanh","rprop+",0.79,0.89,6.58530982685555e-06,0.72,0.71,0.72,340
"4,4,4,3",15,4,"sse","tanh","rprop+",0.79,0.86,0.000493896435603642,0.67,0.67,0.67,340
"5,2,3",10,3,"sse","tanh","rprop+",0.79,0.89,6.58530982685555e-06,0.73,0.7,0.72,340
"4,4",8,2,"sse","tanh","rprop+",0.79,0.9,3.06806923930087e-07,0.75,0.76,0.75,340
"1,5",6,2,"sse","tanh","rprop+",0.79,0.89,6.90247343837637e-07,0.78,0.67,0.72,340
"3,2",5,2,"sse","tanh","rprop+",0.79,0.89,6.90247343837637e-07,0.75,0.73,0.74,340
"1",1,1,"sse","tanh","rprop+",0.79,0.89,6.90247343837637e-07,0.77,0.69,0.73,340
"2",2,1,"sse","tanh","rprop+",0.79,0.89,1.50702533539245e-06,0.75,0.71,0.73,340
"2,1,1,1",5,4,"sse","tanh","rprop+",0.79,0.88,1.31985565685162e-05,0.73,0.67,0.7,340
"2,2",4,2,"sse","tanh","rprop+",0.79,0.9,3.06806923930087e-07,0.76,0.73,0.74,340
"3,4",7,2,"sse","tanh","rprop+",0.79,0.89,3.19551083255402e-06,0.74,0.7,0.72,340
"2,4",6,2,"sse","tanh","rprop+",0.79,0.88,1.31985565685162e-05,0.73,0.67,0.7,340
"2,1,1,5",9,4,"sse","tanh","rprop+",0.79,0.89,1.50702533539245e-06,0.77,0.67,0.72,340
"5,2,1",8,3,"sse","tanh","rprop+",0.79,0.88,2.57440110919914e-05,0.72,0.69,0.7,340
"2,3,2,4",11,4,"sse","tanh","rprop+",0.79,0.89,1.50702533539245e-06,0.75,0.7,0.73,340
"1,2",3,2,"sse","tanh","rprop+",0.79,0.89,1.50702533539245e-06,0.77,0.67,0.72,340
"4",4,1,"sse","tanh","rprop+",0.79,0.89,6.58530982685555e-06,0.73,0.7,0.72,340
"1,1,4,3",9,4,"sse","tanh","rprop+",0.79,0.89,6.90247343837637e-07,0.77,0.69,0.73,340
"2,2,5",9,3,"sse","tanh","rprop+",0.79,0.89,6.90247343837637e-07,0.76,0.71,0.74,340
"5",5,1,"sse","tanh","rprop+",0.79,0.89,6.58530982685555e-06,0.74,0.69,0.71,340
"1,2,1",4,3,"sse","tanh","rprop+",0.79,0.89,1.50702533539245e-06,0.77,0.67,0.72,340
"3,2,2",7,3,"sse","tanh","rprop+",0.79,0.89,3.19551083255402e-06,0.74,0.7,0.72,340
"3,3,2,1",9,4,"sse","tanh","rprop+",0.79,0.89,6.90247343837637e-07,0.74,0.76,0.75,340
"2,4,3",9,3,"sse","tanh","rprop+",0.79,0.88,2.57440110919914e-05,0.75,0.63,0.68,340
"3,2,5,4",14,4,"sse","tanh","rprop+",0.79,0.89,3.19551083255402e-06,0.72,0.76,0.74,340
"4,3,3,4",14,4,"sse","tanh","rprop+",0.79,0.88,2.57440110919914e-05,0.7,0.71,0.71,340
"1,1",2,2,"sse","tanh","rprop+",0.79,0.89,6.90247343837637e-07,0.77,0.69,0.73,340
"4,3",7,2,"sse","tanh","rprop+",0.79,0.88,4.88988932063067e-05,0.71,0.67,0.69,340
