"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.65,0.77,0.00481795708941737,0.79,0.87,0.83,108
"3,3,2",8,3,"sse","tanh","rprop+",0.65,0.78,0.00250956413123525,0.81,0.86,0.83,108
"5,2,4",11,3,"sse","tanh","rprop+",0.65,0.68,0.309963113512594,0.73,0.8,0.76,108
"3,1,1",5,3,"sse","tanh","rprop+",0.65,0.66,0.463839364426648,0.69,0.86,0.76,108
"3",3,1,"sse","tanh","rprop+",0.65,0.69,0.241985755329175,0.76,0.76,0.76,108
"5,3,1",9,3,"sse","tanh","rprop+",0.65,0.74,0.0257709831156883,0.76,0.87,0.81,108
"2,1",3,2,"sse","tanh","rprop+",0.65,0.65,0.544015816863638,0.65,1,0.79,108
"2,2,1,2",7,4,"sse","tanh","rprop+",0.65,0.75,0.0154136431696757,0.77,0.89,0.82,108
"4,2",6,2,"sse","tanh","rprop+",0.65,0.65,0.544015816863638,0.72,0.76,0.74,108
"5,2,3",10,3,"sse","tanh","rprop+",0.65,0.73,0.041281482345185,0.79,0.8,0.79,108
"4,4",8,2,"sse","tanh","rprop+",0.65,0.69,0.18275939418075,0.75,0.79,0.77,108
"5,4,4,5",18,4,"sse","tanh","rprop+",0.65,0.66,0.463839364426648,0.75,0.7,0.73,108
"1,5",6,2,"sse","tanh","rprop+",0.65,0.67,0.384792157798624,0.66,1,0.8,108
"3,3,1",7,3,"sse","tanh","rprop+",0.65,0.71,0.0937396721496172,0.78,0.77,0.78,108
"3,2",5,2,"sse","tanh","rprop+",0.65,0.69,0.18275939418075,0.78,0.74,0.76,108
"1",1,1,"sse","tanh","rprop+",0.65,0.66,0.463839364426648,0.75,0.7,0.73,108
"3,2,3",8,3,"sse","tanh","rprop+",0.65,0.75,0.0154136431696757,0.77,0.89,0.82,108
"2",2,1,"sse","tanh","rprop+",0.65,0.73,0.041281482345185,0.77,0.83,0.8,108
"2,1,1,1",5,4,"sse","tanh","rprop+",0.65,0.65,0.544015816863638,0.65,1,0.79,108
"4,2,3",9,3,"sse","tanh","rprop+",0.65,0.76,0.00881832598508022,0.78,0.89,0.83,108
"4,4,4",12,3,"sse","tanh","rprop+",0.65,0.7,0.133300187326978,0.72,0.9,0.8,108
"2,2",4,2,"sse","tanh","rprop+",0.65,0.75,0.0154136431696757,0.75,0.93,0.83,108
"3,4",7,2,"sse","tanh","rprop+",0.65,0.72,0.0634541102913515,0.74,0.87,0.8,108
"2,4",6,2,"sse","tanh","rprop+",0.65,0.72,0.0634541102913515,0.74,0.89,0.81,108
"5,4,3,2",14,4,"sse","tanh","rprop+",0.65,0.73,0.041281482345185,0.77,0.84,0.8,108
"2,1,1,5",9,4,"sse","tanh","rprop+",0.65,0.65,0.544015816863638,0.65,1,0.79,108
"5,2,1",8,3,"sse","tanh","rprop+",0.65,0.75,0.0154136431696757,0.77,0.87,0.82,108
"2,3,2,4",11,4,"sse","tanh","rprop+",0.65,0.69,0.241985755329175,0.76,0.76,0.76,108
"1,2",3,2,"sse","tanh","rprop+",0.65,0.66,0.463839364426648,0.75,0.7,0.73,108
"5,1,4",10,3,"sse","tanh","rprop+",0.65,0.73,0.041281482345185,0.77,0.83,0.8,108
"2,4,3,4",13,4,"sse","tanh","rprop+",0.65,0.75,0.0154136431696757,0.77,0.89,0.82,108
"4",4,1,"sse","tanh","rprop+",0.65,0.74,0.0257709831156883,0.76,0.87,0.81,108
"1,1,4,3",9,4,"sse","tanh","rprop+",0.65,0.63,0.69529086772727,0.75,0.64,0.69,108
"2,2,5",9,3,"sse","tanh","rprop+",0.65,0.64,0.622136462827889,0.66,0.93,0.77,108
"3,3,4,3",13,4,"sse","tanh","rprop+",0.65,0.77,0.00481795708941737,0.79,0.87,0.83,108
"5",5,1,"sse","tanh","rprop+",0.65,0.69,0.241985755329175,0.73,0.81,0.77,108
"1,2,1",4,3,"sse","tanh","rprop+",0.65,0.62,0.7611553214764,0.74,0.64,0.69,108
"3,3,2,1",9,4,"sse","tanh","rprop+",0.65,0.76,0.00881832598508022,0.77,0.9,0.83,108
"1,1",2,2,"sse","tanh","rprop+",0.65,0.66,0.463839364426648,0.75,0.7,0.73,108
"4,3",7,2,"sse","tanh","rprop+",0.65,0.7,0.133300187326978,0.73,0.86,0.79,108
"2,4,2,3",11,4,"sse","tanh","rprop+",0.65,0.77,0.00481795708941737,0.8,0.86,0.83,108
"3,3,3",9,3,"sse","tanh","rprop+",0.65,0.77,0.00481795708941737,0.78,0.9,0.83,108
"1,5,3,4",13,4,"sse","tanh","rprop+",0.65,0.6,0.865718159864932,0.66,0.81,0.73,108
"2,3,2",7,3,"sse","tanh","rprop+",0.65,0.69,0.241985755329175,0.76,0.76,0.76,108
"5,3,2",10,3,"sse","tanh","rprop+",0.65,0.71,0.0937396721496172,0.73,0.89,0.8,108
"3,2,4,1",10,4,"sse","tanh","rprop+",0.65,0.7,0.133300187326978,0.75,0.81,0.78,108
"2,2,4,1",9,4,"sse","tanh","rprop+",0.65,0.77,0.00481795708941737,0.78,0.9,0.83,108
"4,5,2",11,3,"sse","tanh","rprop+",0.65,0.7,0.133300187326978,0.77,0.77,0.77,108
"4,1",5,2,"sse","tanh","rprop+",0.65,0.81,0.000261455159400349,0.82,0.9,0.86,108
"4,3,4",11,3,"sse","tanh","rprop+",0.65,0.78,0.00250956413123525,0.81,0.86,0.83,108
"2,5,5",12,3,"sse","tanh","rprop+",0.65,0.71,0.0937396721496172,0.72,0.9,0.8,108
"1,2,2",5,3,"sse","tanh","rprop+",0.65,0.66,0.463839364426648,0.77,0.67,0.72,108
"4,1,4,3",12,4,"sse","tanh","rprop+",0.65,0.69,0.241985755329175,0.75,0.77,0.76,108
"5,2",7,2,"sse","tanh","rprop+",0.65,0.79,0.00124399781644244,0.81,0.89,0.84,108
"5,1",6,2,"sse","tanh","rprop+",0.65,0.69,0.241985755329175,0.7,0.89,0.78,108
"5,3",8,2,"sse","tanh","rprop+",0.65,0.72,0.0634541102913515,0.78,0.8,0.79,108
"1,3,3",7,3,"sse","tanh","rprop+",0.65,0.66,0.463839364426648,0.77,0.67,0.72,108
"5,4",9,2,"sse","tanh","rprop+",0.65,0.67,0.384792157798624,0.69,0.87,0.77,108
"1,2,3,2",8,4,"sse","tanh","rprop+",0.65,0.65,0.544015816863638,0.65,1,0.79,108
"3,5,3",11,3,"sse","tanh","rprop+",0.65,0.74,0.0257709831156883,0.79,0.81,0.8,108
"3,1,3,5",12,4,"sse","tanh","rprop+",0.65,0.65,0.544015816863638,0.65,1,0.79,108
"1,4,3",8,3,"sse","tanh","rprop+",0.65,0.69,0.241985755329175,0.7,0.89,0.78,108
"1,4,4",9,3,"sse","tanh","rprop+",0.65,0.64,0.622136462827889,0.64,0.99,0.78,108
