"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.67,0.62,0.64,351
"3,3,2",8,3,"sse","tanh","rprop+",0.83,0.89,0.000381617916031333,0.73,0.6,0.66,351
"5,2,4",11,3,"sse","tanh","rprop+",0.83,0.9,5.81629302524406e-05,0.71,0.73,0.72,351
"3,1,1",5,3,"sse","tanh","rprop+",0.83,0.88,0.00775039779642488,0.64,0.65,0.64,351
"3",3,1,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.69,0.62,0.65,351
"5,3,1",9,3,"sse","tanh","rprop+",0.83,0.87,0.011711667438514,0.65,0.57,0.61,351
"2,1",3,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.66,0.63,0.64,351
"2,2,1,2",7,4,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.62,0.77,0.69,351
"4,2",6,2,"sse","tanh","rprop+",0.83,0.87,0.02492634954034,0.58,0.87,0.69,351
"5,2,3",10,3,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.65,0.78,0.71,351
"4,4",8,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.68,0.65,0.67,351
"1,5",6,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"3,3,1",7,3,"sse","tanh","rprop+",0.83,0.88,0.00775039779642488,0.62,0.72,0.67,351
"3,2",5,2,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.67,0.67,0.67,351
"1",1,1,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"5,4,2",11,3,"sse","tanh","rprop+",0.83,0.86,0.048505608870909,0.61,0.57,0.59,351
"4,4",8,2,"sse","tanh","rprop+",0.83,0.87,0.02492634954034,0.61,0.65,0.63,351
"3,2,3",8,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.67,0.67,0.67,351
"2",2,1,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.67,0.62,0.64,351
"2,1,1,1",5,4,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.67,0.63,0.65,351
"4,4,4",12,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.64,0.77,0.7,351
"2,2",4,2,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.62,0.82,0.71,351
"3,4",7,2,"sse","tanh","rprop+",0.83,0.87,0.0172837626509831,0.63,0.6,0.62,351
"2,4",6,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.65,0.65,0.65,351
"2,1,1,5",9,4,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.67,0.58,0.63,351
"5,2,1",8,3,"sse","tanh","rprop+",0.83,0.89,0.000381617916031333,0.72,0.63,0.67,351
"4,2",6,2,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.68,0.7,0.69,351
"2,3,2,4",11,4,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.65,0.68,0.67,351
"1,2",3,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"4,4",8,2,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.67,0.63,0.65,351
"3",3,1,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.62,0.87,0.72,351
"4",4,1,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.69,0.63,0.66,351
"1,1,4,3",9,4,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.62,0.83,0.71,351
"1,2",3,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.64,0.78,0.71,351
"2,2,5",9,3,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.67,0.63,0.65,351
"2,2",4,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.66,0.62,0.64,351
"3",3,1,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.62,0.78,0.69,351
"5",5,1,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.7,0.63,0.67,351
