"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,3,2",8,3,"sse","tanh","rprop+",0.83,0.87,0.011711667438514,0.66,0.55,0.6,351
"3,1,1",5,3,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.66,0.63,0.64,351
"3",3,1,"sse","tanh","rprop+",0.83,0.91,3.05125996626697e-06,0.75,0.75,0.75,351
"5,3,1",9,3,"sse","tanh","rprop+",0.83,0.84,0.264777232577608,0.63,0.2,0.3,351
"2,1",3,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.7,0.62,0.65,351
"2,2,1,2",7,4,"sse","tanh","rprop+",0.83,0.89,0.000381617916031333,0.73,0.6,0.66,351
"4,2",6,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.71,0.6,0.65,351
"4,4,4,3",15,4,"sse","tanh","rprop+",0.83,0.87,0.02492634954034,0.65,0.5,0.57,351
"5,2,3",10,3,"sse","tanh","rprop+",0.83,0.88,0.00775039779642488,0.7,0.5,0.58,351
"4,4",8,2,"sse","tanh","rprop+",0.83,0.87,0.0172837626509831,0.63,0.62,0.62,351
"1,5",6,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.71,0.6,0.65,351
"3,2",5,2,"sse","tanh","rprop+",0.83,0.88,0.00775039779642488,0.65,0.62,0.63,351
"1",1,1,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.71,0.6,0.65,351
"5,4,2",11,3,"sse","tanh","rprop+",0.83,0.87,0.0351522280279638,0.62,0.55,0.58,351
"2",2,1,"sse","tanh","rprop+",0.83,0.9,0.000209973692801993,0.75,0.6,0.67,351
"2,1,1,1",5,4,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.7,0.55,0.62,351
"3,4",7,2,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.7,0.53,0.6,351
"2,4",6,2,"sse","tanh","rprop+",0.83,0.87,0.0172837626509831,0.63,0.62,0.62,351
"5,2,1",8,3,"sse","tanh","rprop+",0.83,0.87,0.011711667438514,0.67,0.52,0.58,351
"1,2",3,2,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.71,0.6,0.65,351
"4",4,1,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.7,0.55,0.62,351
"1,1,4,3",9,4,"sse","tanh","rprop+",0.83,0.91,2.9231508390775e-05,0.71,0.77,0.74,351
"3,3,4,3",13,4,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.67,0.62,0.64,351
"5",5,1,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.69,0.57,0.62,351
"1,2,1",4,3,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.77,0.45,0.57,351
"3,2,2",7,3,"sse","tanh","rprop+",0.83,0.88,0.00315342495739265,0.67,0.63,0.65,351
"3,3,2,1",9,4,"sse","tanh","rprop+",0.83,0.88,0.00775039779642488,0.65,0.62,0.63,351
"2,4,3",9,3,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.73,0.58,0.65,351
"4,3,3,4",14,4,"sse","tanh","rprop+",0.83,0.87,0.0351522280279638,0.61,0.6,0.61,351
"1,1",2,2,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.72,0.6,0.65,351
"2,4,2,3",11,4,"sse","tanh","rprop+",0.83,0.89,0.00067405571361143,0.72,0.6,0.65,351
"3,3,3",9,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.73,0.53,0.62,351
"1,5,3,4",13,4,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.7,0.62,0.65,351
"2,2,4,1",9,4,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.71,0.58,0.64,351
"4,1",5,2,"sse","tanh","rprop+",0.83,0.89,0.000381617916031333,0.73,0.6,0.66,351
"1,2,2",5,3,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.7,0.58,0.64,351
"5,2",7,2,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.76,0.48,0.59,351
"1,3,3",7,3,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.71,0.6,0.65,351
"4,2,3,2",11,4,"sse","tanh","rprop+",0.83,0.89,0.00193623277553907,0.72,0.55,0.62,351
"1,2,3,2",8,4,"sse","tanh","rprop+",0.83,0.88,0.00775039779642488,0.65,0.6,0.63,351
"3,5,3",11,3,"sse","tanh","rprop+",0.83,0.86,0.0655309587358885,0.59,0.62,0.6,351
"1,4,3",8,3,"sse","tanh","rprop+",0.83,0.88,0.00500580383012025,0.66,0.63,0.64,351
"1,4,4",9,3,"sse","tanh","rprop+",0.83,0.89,0.00115797340138606,0.7,0.62,0.65,351
