"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,3,2",8,3,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.7,0.95,0.81,96
"3,1,1",5,3,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"3",3,1,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.73,0.95,0.83,96
"5,3,1",9,3,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"2,1",3,2,"sse","tanh","rprop+",0.62,0.66,0.301426246286922,0.7,0.78,0.74,96
"2,2,1,2",7,4,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.74,0.93,0.82,96
"4,2",6,2,"sse","tanh","rprop+",0.62,0.7,0.0838618873562475,0.7,0.92,0.79,96
"4,4,4,3",15,4,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.72,0.78,0.75,96
"5,2,3",10,3,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.71,0.82,0.76,96
"4,4",8,2,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.74,0.9,0.81,96
"1,5",6,2,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"3,3,1",7,3,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.69,0.88,0.77,96
"3,2",5,2,"sse","tanh","rprop+",0.62,0.76,0.00338955046029425,0.73,0.98,0.84,96
"1",1,1,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"5,4,2",11,3,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.73,0.92,0.81,96
"4,4",8,2,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.7,0.85,0.77,96
"3,2,3",8,3,"sse","tanh","rprop+",0.62,0.7,0.0838618873562475,0.71,0.88,0.79,96
"2",2,1,"sse","tanh","rprop+",0.62,0.66,0.301426246286922,0.69,0.82,0.75,96
"2,1,1,1",5,4,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.93,0.81,96
"4,2,3",9,3,"sse","tanh","rprop+",0.62,0.61,0.626996434043765,0.71,0.65,0.68,96
"2,2",4,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.71,0.95,0.81,96
"3,4",7,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.93,0.81,96
"2,4",6,2,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.93,0.81,96
"2,1,1,5",9,4,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"5,2,1",8,3,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.92,0.8,96
"4,2",6,2,"sse","tanh","rprop+",0.62,0.66,0.301426246286922,0.66,0.95,0.78,96
"2,3,2,4",11,4,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.7,0.85,0.77,96
"1,2",3,2,"sse","tanh","rprop+",0.62,0.71,0.0551044114971701,0.7,0.95,0.8,96
"4,4",8,2,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.7,0.83,0.76,96
"5,1,4",10,3,"sse","tanh","rprop+",0.62,0.71,0.0551044114971701,0.69,0.97,0.81,96
"3",3,1,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.71,0.95,0.81,96
"2,4,3,4",13,4,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.92,0.8,96
"4",4,1,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.93,0.81,96
"1,2",3,2,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"2,2,5",9,3,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.69,0.87,0.77,96
"2,2",4,2,"sse","tanh","rprop+",0.62,0.65,0.379039135424244,0.64,1,0.78,96
"3",3,1,"sse","tanh","rprop+",0.62,0.71,0.0551044114971701,0.71,0.9,0.79,96
"5",5,1,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.73,0.9,0.81,96
"1,2,1",4,3,"sse","tanh","rprop+",0.62,0.7,0.0838618873562475,0.74,0.8,0.77,96
"3,2,2",7,3,"sse","tanh","rprop+",0.62,0.7,0.0838618873562475,0.71,0.88,0.79,96
"3,3,2,1",9,4,"sse","tanh","rprop+",0.62,0.7,0.0838618873562475,0.72,0.85,0.78,96
"2,4,3",9,3,"sse","tanh","rprop+",0.62,0.67,0.231615711084039,0.67,0.93,0.78,96
"3,2,5,4",14,4,"sse","tanh","rprop+",0.62,0.65,0.379039135424244,0.68,0.83,0.75,96
"4,3,3,4",14,4,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.71,0.95,0.81,96
"1,1",2,2,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"4,3",7,2,"sse","tanh","rprop+",0.62,0.69,0.122396905007412,0.71,0.85,0.77,96
"2,4,2,3",11,4,"sse","tanh","rprop+",0.62,0.58,0.828837738702992,0.61,0.92,0.73,96
"3,3,3",9,3,"sse","tanh","rprop+",0.62,0.64,0.461530549021629,0.67,0.82,0.74,96
"1,5,3,4",13,4,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"2",2,1,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.97,0.82,96
"2,3,2",7,3,"sse","tanh","rprop+",0.62,0.57,0.876365126465972,0.61,0.9,0.72,96
"4,2",6,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.74,0.87,0.8,96
"3,2",5,2,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.73,0.95,0.83,96
"3",3,1,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.73,0.95,0.83,96
"2,1",3,2,"sse","tanh","rprop+",0.62,0.7,0.0838618873562475,0.7,0.9,0.79,96
"3,4",7,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.92,0.81,96
"3,3,2",8,3,"sse","tanh","rprop+",0.62,0.64,0.461530549021629,0.69,0.75,0.72,96
"5,3,2",10,3,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.72,0.8,0.76,96
"3,2,4,1",10,4,"sse","tanh","rprop+",0.62,0.65,0.379039135424244,0.66,0.88,0.76,96
"2,2,4,1",9,4,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.7,0.85,0.77,96
"4,5,2",11,3,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.73,0.92,0.81,96
"4,1",5,2,"sse","tanh","rprop+",0.62,0.67,0.231615711084039,0.73,0.73,0.73,96
"4",4,1,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.74,0.9,0.81,96
"2,5,5",12,3,"sse","tanh","rprop+",0.62,0.69,0.122396905007412,0.72,0.82,0.77,96
"2,2",4,2,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.92,0.8,96
"4",4,1,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.73,0.93,0.82,96
"3,4,3",10,3,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.7,0.95,0.81,96
"1,2,2",5,3,"sse","tanh","rprop+",0.62,0.56,0.913708073994027,0.61,0.82,0.7,96
"2,3",5,2,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.92,0.8,96
"5,2",7,2,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.73,0.93,0.82,96
"1",1,1,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"5,1",6,2,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.73,0.93,0.82,96
"5,1,4",10,3,"sse","tanh","rprop+",0.62,0.71,0.0551044114971701,0.72,0.87,0.79,96
"5,3",8,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.92,0.81,96
"1,3,3",7,3,"sse","tanh","rprop+",0.62,0.6,0.703012917054656,0.62,0.97,0.75,96
"3,4",7,2,"sse","tanh","rprop+",0.62,0.71,0.0551044114971701,0.72,0.88,0.79,96
"2",2,1,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"2,4",6,2,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.73,0.88,0.8,96
"2,1",3,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.71,0.95,0.81,96
"5,4",9,2,"sse","tanh","rprop+",0.62,0.69,0.122396905007412,0.7,0.88,0.78,96
"2,3,2",7,3,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.71,0.95,0.81,96
"1,2,3,2",8,4,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.93,0.81,96
"3,5,3",11,3,"sse","tanh","rprop+",0.62,0.69,0.122396905007412,0.69,0.9,0.78,96
"3,1,3,5",12,4,"sse","tanh","rprop+",0.62,0.69,0.122396905007412,0.73,0.78,0.76,96
"1,4,3",8,3,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"1,4,4",9,3,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
