"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,1,0.95,0.97,401
"3,3,2",8,3,"sse","tanh","rprop+",0.85,0.99,6.40034528082264e-23,0.98,0.95,0.97,401
"5,2,4",11,3,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"3,1,1",5,3,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"3",3,1,"sse","tanh","rprop+",0.85,0.99,6.40034528082264e-23,0.98,0.95,0.97,401
"5,3,1",9,3,"sse","tanh","rprop+",0.85,1,4.24879523384196e-27,1,0.98,0.99,401
"2,1",3,2,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,0.98,0.98,0.98,401
"2,2,1,2",7,4,"sse","tanh","rprop+",0.85,0.99,6.40034528082264e-23,0.98,0.95,0.97,401
"4,2",6,2,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"4,4,4,3",15,4,"sse","tanh","rprop+",0.85,0.98,9.5115819442231e-19,0.93,0.93,0.93,401
"5,2,3",10,3,"sse","tanh","rprop+",0.85,1,4.24879523384196e-27,1,0.98,0.99,401
"4,4",8,2,"sse","tanh","rprop+",0.85,0.99,6.40034528082264e-23,1,0.93,0.97,401
"5,4,4,5",18,4,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"1,5",6,2,"sse","tanh","rprop+",0.85,0.99,6.40034528082264e-23,0.98,0.95,0.97,401
"3,3,1",7,3,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"3,2",5,2,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"1",1,1,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"5,4,2",11,3,"sse","tanh","rprop+",0.85,0.99,6.40034528082264e-23,0.98,0.95,0.97,401
"4,4",8,2,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,0.98,0.98,0.98,401
"3,2,3",8,3,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,0.98,0.98,0.98,401
"2",2,1,"sse","tanh","rprop+",0.85,0.99,6.40034528082264e-23,0.98,0.95,0.97,401
"2,1,1,1",5,4,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"4,2,3",9,3,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"4,4,4",12,3,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"2,2",4,2,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"3,4",7,2,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"2,4",6,2,"sse","tanh","rprop+",0.85,0.99,1.07074324729002e-20,0.97,0.93,0.95,401
"5,4,3,2",14,4,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,1,0.95,0.97,401
"2,1,1,5",9,4,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"5,2,1",8,3,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,0.98,0.98,0.98,401
"4,2",6,2,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"2,3,2,4",11,4,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,0.98,0.97,0.97,401
"1,2",3,2,"sse","tanh","rprop+",0.85,0.99,3.60175713490458e-24,1,0.95,0.97,401
"3,3,5,4",15,4,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"4,4",8,2,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"5,1,4",10,3,"sse","tanh","rprop+",0.85,1,1.5167703028104e-25,1,0.97,0.98,401
"3",3,1,"sse","tanh","rprop+",0.85,0.99,6.40034528082264e-23,0.98,0.95,0.97,401
