"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,3,2",8,3,"sse","tanh","rprop+",0.83,0.89,0.000672119483054766,0.87,0.43,0.58,350
"3,1,1",5,3,"sse","tanh","rprop+",0.83,0.89,0.000672119483054766,0.71,0.62,0.66,350
"3",3,1,"sse","tanh","rprop+",0.83,0.9,0.000209265984795028,0.75,0.6,0.67,350
"5,3,1",9,3,"sse","tanh","rprop+",0.83,0.87,0.0351126350503846,0.61,0.58,0.6,350
"2,1",3,2,"sse","tanh","rprop+",0.83,0.9,0.000209265984795028,0.76,0.58,0.66,350
"2,2,1,2",7,4,"sse","tanh","rprop+",0.83,0.87,0.0172588051421957,0.68,0.47,0.55,350
"4,2",6,2,"sse","tanh","rprop+",0.83,0.9,0.000209265984795028,0.73,0.63,0.68,350
"5,2,3",10,3,"sse","tanh","rprop+",0.83,0.89,0.00115491820727514,0.82,0.45,0.58,350
"1,5",6,2,"sse","tanh","rprop+",0.83,0.89,0.000380428587171614,0.77,0.55,0.64,350
"3,3,1",7,3,"sse","tanh","rprop+",0.83,0.87,0.0116927189759012,0.7,0.47,0.56,350
"3,2",5,2,"sse","tanh","rprop+",0.83,0.89,0.000672119483054766,0.75,0.55,0.63,350
"1",1,1,"sse","tanh","rprop+",0.83,0.89,0.000672119483054766,0.75,0.55,0.63,350
"5,4,2",11,3,"sse","tanh","rprop+",0.83,0.87,0.0116927189759012,0.65,0.57,0.61,350
"4,4",8,2,"sse","tanh","rprop+",0.83,0.89,0.00115491820727514,0.71,0.58,0.64,350
"2",2,1,"sse","tanh","rprop+",0.83,0.9,0.000111783250001992,0.77,0.6,0.67,350
"2,1,1,1",5,4,"sse","tanh","rprop+",0.83,0.89,0.000672119483054766,0.73,0.58,0.65,350
"4,2,3",9,3,"sse","tanh","rprop+",0.83,0.88,0.00773643224005445,0.64,0.63,0.64,350
"2,2",4,2,"sse","tanh","rprop+",0.83,0.89,0.000380428587171614,0.73,0.6,0.66,350
"3,4",7,2,"sse","tanh","rprop+",0.83,0.89,0.000672119483054766,0.74,0.57,0.64,350
"2,4",6,2,"sse","tanh","rprop+",0.83,0.9,0.000111783250001992,0.7,0.72,0.71,350
"2,1,1,5",9,4,"sse","tanh","rprop+",0.83,0.91,1.41652170051689e-05,0.82,0.6,0.69,350
"5,2,1",8,3,"sse","tanh","rprop+",0.83,0.88,0.00499581232966337,0.7,0.53,0.6,350
"4,2",6,2,"sse","tanh","rprop+",0.83,0.86,0.0484579493701678,0.65,0.43,0.52,350
"1,2",3,2,"sse","tanh","rprop+",0.83,0.89,0.000672119483054766,0.75,0.55,0.63,350
