"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"5,2,4",11,3,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.92,0.94,0.93,592
"3,1,1",5,3,"sse","tanh","rprop+",0.53,0.93,6.06417922916035e-106,0.93,0.93,0.93,592
"3",3,1,"sse","tanh","rprop+",0.53,0.93,1.39206453497395e-100,0.92,0.92,0.92,592
"5,3,1",9,3,"sse","tanh","rprop+",0.53,0.94,4.74585947165566e-107,0.93,0.94,0.93,592
"2,1",3,2,"sse","tanh","rprop+",0.53,0.92,1.5250220611875e-99,0.91,0.93,0.92,592
"2,2,1,2",7,4,"sse","tanh","rprop+",0.53,0.92,1.73947095260522e-95,0.91,0.91,0.91,592
"4,2",6,2,"sse","tanh","rprop+",0.53,0.93,1.24021577989581e-101,0.92,0.92,0.92,592
"4,4",8,2,"sse","tanh","rprop+",0.53,0.92,1.70497046748141e-97,0.91,0.92,0.92,592
"1,5",6,2,"sse","tanh","rprop+",0.53,0.91,1.3942856286357e-91,0.88,0.94,0.91,592
"3,3,1",7,3,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.93,0.93,592
"3,2",5,2,"sse","tanh","rprop+",0.53,0.94,4.74585947165566e-107,0.93,0.94,0.93,592
"1",1,1,"sse","tanh","rprop+",0.53,0.91,1.3942856286357e-91,0.89,0.93,0.91,592
"4,4",8,2,"sse","tanh","rprop+",0.53,0.93,1.0778709699959e-102,0.92,0.92,0.92,592
"3,2,3",8,3,"sse","tanh","rprop+",0.53,0.93,7.54145497246831e-105,0.93,0.92,0.93,592
"2",2,1,"sse","tanh","rprop+",0.53,0.92,1.63140074620936e-98,0.91,0.92,0.92,592
"2,1,1,1",5,4,"sse","tanh","rprop+",0.53,0.94,3.61242977630426e-108,0.94,0.93,0.93,592
"2,2",4,2,"sse","tanh","rprop+",0.53,0.91,1.62496732182982e-93,0.89,0.93,0.91,592
"3,4",7,2,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.93,0.93,592
"2,4",6,2,"sse","tanh","rprop+",0.53,0.92,1.5250220611875e-99,0.92,0.92,0.92,592
"5,2,1",8,3,"sse","tanh","rprop+",0.53,0.94,3.61242977630426e-108,0.93,0.94,0.93,592
"4,2",6,2,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.93,0.93,592
"2,3,2,4",11,4,"sse","tanh","rprop+",0.53,0.94,4.74585947165566e-107,0.93,0.94,0.93,592
"1,2",3,2,"sse","tanh","rprop+",0.53,0.91,1.3942856286357e-91,0.89,0.93,0.91,592
"4,4",8,2,"sse","tanh","rprop+",0.53,0.94,3.61242977630426e-108,0.94,0.93,0.93,592
"3",3,1,"sse","tanh","rprop+",0.53,0.93,1.24021577989581e-101,0.93,0.92,0.92,592
"4",4,1,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.93,0.93,592
"1,1,4,3",9,4,"sse","tanh","rprop+",0.53,0.91,1.52101264759679e-92,0.89,0.93,0.91,592
"1,2",3,2,"sse","tanh","rprop+",0.53,0.91,1.25214499327772e-90,0.9,0.91,0.9,592
"2,2,5",9,3,"sse","tanh","rprop+",0.53,0.92,1.63140074620936e-98,0.91,0.93,0.92,592
"2,2",4,2,"sse","tanh","rprop+",0.53,0.94,3.61242977630426e-108,0.93,0.94,0.93,592
"3",3,1,"sse","tanh","rprop+",0.53,0.92,1.63140074620936e-98,0.9,0.94,0.92,592
"5",5,1,"sse","tanh","rprop+",0.53,0.93,1.39206453497395e-100,0.91,0.94,0.92,592
"1,2,1",4,3,"sse","tanh","rprop+",0.53,0.91,1.3942856286357e-91,0.9,0.91,0.91,592
"3,3,2,1",9,4,"sse","tanh","rprop+",0.53,0.93,1.0778709699959e-102,0.93,0.92,0.92,592
"2,4,3",9,3,"sse","tanh","rprop+",0.53,0.94,3.61242977630426e-108,0.94,0.93,0.93,592
"2,2,5",9,3,"sse","tanh","rprop+",0.53,0.91,1.3942856286357e-91,0.9,0.91,0.91,592
"1,1",2,2,"sse","tanh","rprop+",0.53,0.91,1.25214499327772e-90,0.9,0.91,0.9,592
"4,3",7,2,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.92,0.93,0.93,592
"3,3,3",9,3,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.92,0.93,592
"1,5,3,4",13,4,"sse","tanh","rprop+",0.53,0.91,1.52101264759679e-92,0.88,0.94,0.91,592
"2",2,1,"sse","tanh","rprop+",0.53,0.91,1.62496732182982e-93,0.89,0.93,0.91,592
"2,3,2",7,3,"sse","tanh","rprop+",0.53,0.92,1.63140074620936e-98,0.91,0.93,0.92,592
"4,2",6,2,"sse","tanh","rprop+",0.53,0.94,1.92034408566311e-110,0.93,0.94,0.94,592
"3,2",5,2,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.92,0.93,0.93,592
"3",3,1,"sse","tanh","rprop+",0.53,0.93,1.0778709699959e-102,0.92,0.94,0.93,592
"2,1",3,2,"sse","tanh","rprop+",0.53,0.92,1.5250220611875e-99,0.91,0.93,0.92,592
"4,4,4",12,3,"sse","tanh","rprop+",0.53,0.93,7.54145497246831e-105,0.93,0.93,0.93,592
"3,4",7,2,"sse","tanh","rprop+",0.53,0.93,7.54145497246831e-105,0.92,0.94,0.93,592
"3,3,2",8,3,"sse","tanh","rprop+",0.53,0.94,4.74585947165566e-107,0.93,0.93,0.93,592
"5,3,2",10,3,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.92,0.93,592
"2,2,4,1",9,4,"sse","tanh","rprop+",0.53,0.93,1.24021577989581e-101,0.92,0.93,0.92,592
"4,5,2",11,3,"sse","tanh","rprop+",0.53,0.92,1.5250220611875e-99,0.92,0.92,0.92,592
"4,5,4,4",17,4,"sse","tanh","rprop+",0.53,0.92,1.5250220611875e-99,0.9,0.95,0.92,592
"4,1",5,2,"sse","tanh","rprop+",0.53,0.93,1.0778709699959e-102,0.92,0.92,0.92,592
"4",4,1,"sse","tanh","rprop+",0.53,0.93,1.39206453497395e-100,0.92,0.92,0.92,592
"4,3,4",11,3,"sse","tanh","rprop+",0.53,0.93,1.24021577989581e-101,0.92,0.93,0.92,592
"2,2",4,2,"sse","tanh","rprop+",0.53,0.94,3.61242977630426e-108,0.93,0.94,0.93,592
"4",4,1,"sse","tanh","rprop+",0.53,0.93,1.39206453497395e-100,0.92,0.92,0.92,592
"3,4,3",10,3,"sse","tanh","rprop+",0.53,0.93,6.06417922916035e-106,0.94,0.91,0.93,592
"1,2,2",5,3,"sse","tanh","rprop+",0.53,0.91,1.25214499327772e-90,0.9,0.91,0.9,592
"2,3",5,2,"sse","tanh","rprop+",0.53,0.92,1.70497046748141e-97,0.91,0.93,0.92,592
"4,1,4,3",12,4,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.93,0.93,592
"5,2",7,2,"sse","tanh","rprop+",0.53,0.93,7.54145497246831e-105,0.93,0.92,0.93,592
"1",1,1,"sse","tanh","rprop+",0.53,0.91,1.3942856286357e-91,0.89,0.93,0.91,592
"5,3",8,2,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.93,0.93,592
"1,3,3",7,3,"sse","tanh","rprop+",0.53,0.91,1.52101264759679e-92,0.89,0.93,0.91,592
"3,4",7,2,"sse","tanh","rprop+",0.53,0.93,1.24021577989581e-101,0.92,0.93,0.92,592
"2",2,1,"sse","tanh","rprop+",0.53,0.92,1.63140074620936e-98,0.91,0.92,0.92,592
"2,4",6,2,"sse","tanh","rprop+",0.53,0.93,9.13343979351629e-104,0.93,0.93,0.93,592
"5,4",9,2,"sse","tanh","rprop+",0.53,0.94,3.61242977630426e-108,0.94,0.93,0.93,592
"2,3,2",7,3,"sse","tanh","rprop+",0.53,0.92,1.5250220611875e-99,0.91,0.93,0.92,592
"1,2,3,2",8,4,"sse","tanh","rprop+",0.53,0.91,1.52101264759679e-92,0.89,0.94,0.91,592
"3,5,3",11,3,"sse","tanh","rprop+",0.53,0.94,4.74585947165566e-107,0.93,0.94,0.93,592
"1,4,3",8,3,"sse","tanh","rprop+",0.53,0.91,1.62496732182982e-93,0.89,0.94,0.91,592
"1,4,4",9,3,"sse","tanh","rprop+",0.53,0.91,1.3942856286357e-91,0.88,0.94,0.91,592
