"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3",3,1,"sse","tanh","rprop+",0.53,0.8,1.47799615943722e-39,0.81,0.75,0.78,534
"5,3,1",9,3,"sse","tanh","rprop+",0.53,0.77,8.28394418433657e-31,0.76,0.74,0.75,534
"2,1",3,2,"sse","tanh","rprop+",0.53,0.8,5.28484373625728e-39,0.81,0.75,0.78,534
"2,2,1,2",7,4,"sse","tanh","rprop+",0.53,0.8,5.28484373625728e-39,0.86,0.69,0.76,534
"4,2",6,2,"sse","tanh","rprop+",0.53,0.79,2.25541012954603e-37,0.83,0.71,0.76,534
"4,4",8,2,"sse","tanh","rprop+",0.53,0.78,9.60428603521586e-33,0.78,0.73,0.75,534
"1,5",6,2,"sse","tanh","rprop+",0.53,0.79,7.70503818379372e-37,0.81,0.73,0.77,534
"3,3,1",7,3,"sse","tanh","rprop+",0.53,0.78,2.87297433544738e-35,0.79,0.75,0.77,534
"3,2",5,2,"sse","tanh","rprop+",0.53,0.8,5.28484373625728e-39,0.81,0.75,0.78,534
"1",1,1,"sse","tanh","rprop+",0.53,0.8,5.28484373625728e-39,0.86,0.68,0.76,534
"3,2,3",8,3,"sse","tanh","rprop+",0.53,0.78,9.38839412847377e-35,0.79,0.74,0.76,534
"2",2,1,"sse","tanh","rprop+",0.53,0.79,2.60288182625198e-36,0.78,0.77,0.77,534
"2,1,1,1",5,4,"sse","tanh","rprop+",0.53,0.79,2.25541012954603e-37,0.84,0.69,0.76,534
"4,4,4",12,3,"sse","tanh","rprop+",0.53,0.78,9.38839412847377e-35,0.78,0.75,0.77,534
"2,2",4,2,"sse","tanh","rprop+",0.53,0.8,5.28484373625728e-39,0.81,0.75,0.78,534
"3,4",7,2,"sse","tanh","rprop+",0.53,0.79,2.25541012954603e-37,0.8,0.75,0.77,534
"2,4",6,2,"sse","tanh","rprop+",0.53,0.76,7.22561613328109e-30,0.76,0.74,0.75,534
"5,2,1",8,3,"sse","tanh","rprop+",0.53,0.78,3.03462584345752e-34,0.78,0.75,0.77,534
"1,2",3,2,"sse","tanh","rprop+",0.53,0.8,1.86804628597836e-38,0.86,0.68,0.76,534
"5,1,4",10,3,"sse","tanh","rprop+",0.53,0.78,9.70292803948288e-34,0.78,0.75,0.76,534
"4",4,1,"sse","tanh","rprop+",0.53,0.79,7.70503818379372e-37,0.79,0.75,0.77,534
"1,1,4,3",9,4,"sse","tanh","rprop+",0.53,0.8,5.28484373625728e-39,0.86,0.68,0.76,534
"2,2,5",9,3,"sse","tanh","rprop+",0.53,0.8,1.86804628597836e-38,0.79,0.77,0.78,534
"5",5,1,"sse","tanh","rprop+",0.53,0.79,2.25541012954603e-37,0.81,0.74,0.77,534
"1,2,1",4,3,"sse","tanh","rprop+",0.53,0.79,6.52791023375319e-38,0.84,0.7,0.76,534
"3,2,2",7,3,"sse","tanh","rprop+",0.53,0.79,2.25541012954603e-37,0.78,0.78,0.78,534
"1,1",2,2,"sse","tanh","rprop+",0.53,0.8,5.28484373625728e-39,0.86,0.68,0.76,534
"4,3",7,2,"sse","tanh","rprop+",0.53,0.78,2.87297433544738e-35,0.78,0.76,0.77,534
"3,3,3",9,3,"sse","tanh","rprop+",0.53,0.78,9.60428603521586e-33,0.8,0.71,0.75,534
"2,3,2",7,3,"sse","tanh","rprop+",0.53,0.76,7.22561613328109e-30,0.76,0.74,0.75,534
"5,3,2",10,3,"sse","tanh","rprop+",0.53,0.77,8.28394418433657e-31,0.77,0.72,0.75,534
"4,5,2",11,3,"sse","tanh","rprop+",0.53,0.77,9.10969725052414e-32,0.75,0.77,0.76,534
"4,1",5,2,"sse","tanh","rprop+",0.53,0.79,8.69553584237664e-36,0.79,0.75,0.77,534
"1,2,2",5,3,"sse","tanh","rprop+",0.53,0.79,8.69553584237664e-36,0.83,0.7,0.76,534
"2,3",5,2,"sse","tanh","rprop+",0.53,0.77,2.97362464416803e-32,0.79,0.71,0.75,534
"5,2",7,2,"sse","tanh","rprop+",0.53,0.79,2.60288182625198e-36,0.8,0.74,0.77,534
"5,1",6,2,"sse","tanh","rprop+",0.53,0.79,2.60288182625198e-36,0.78,0.77,0.77,534
"5,3",8,2,"sse","tanh","rprop+",0.53,0.77,2.97362464416803e-32,0.79,0.71,0.75,534
"1,3,3",7,3,"sse","tanh","rprop+",0.53,0.78,2.87297433544738e-35,0.8,0.73,0.76,534
"4,2,3,2",11,4,"sse","tanh","rprop+",0.53,0.79,2.60288182625198e-36,0.78,0.77,0.78,534
"5,4",9,2,"sse","tanh","rprop+",0.53,0.79,7.70503818379372e-37,0.79,0.75,0.77,534
"1,2,3,2",8,4,"sse","tanh","rprop+",0.53,0.47,0.993209050584313,0.47,1,0.64,534
"3,5,3",11,3,"sse","tanh","rprop+",0.53,0.78,3.03462584345752e-34,0.8,0.72,0.76,534
"3,1,3,5",12,4,"sse","tanh","rprop+",0.53,0.78,2.87297433544738e-35,0.77,0.78,0.77,534
