"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.92,0.92,594
"3,3,2",8,3,"sse","tanh","rprop+",0.53,0.92,4.88502728842557e-99,0.91,0.93,0.92,594
"5,2,4",11,3,"sse","tanh","rprop+",0.53,0.93,2.20481348211664e-105,0.92,0.94,0.93,594
"3,1,1",5,3,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"3",3,1,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.91,0.94,0.92,594
"5,3,1",9,3,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.91,0.94,0.92,594
"2,1",3,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"2,2,1,2",7,4,"sse","tanh","rprop+",0.53,0.92,4.88502728842557e-99,0.91,0.93,0.92,594
"4,2",6,2,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"5,2,3",10,3,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.91,0.93,0.92,594
"4,4",8,2,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"1,5",6,2,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.91,0.94,0.92,594
"3,3,1",7,3,"sse","tanh","rprop+",0.53,0.92,5.2569296956027e-97,0.91,0.91,0.91,594
"3,2",5,2,"sse","tanh","rprop+",0.53,0.93,3.17640197871041e-103,0.92,0.94,0.93,594
"1",1,1,"sse","tanh","rprop+",0.53,0.91,4.96463199629413e-94,0.92,0.9,0.91,594
"5,4,2",11,3,"sse","tanh","rprop+",0.53,0.93,3.17640197871041e-103,0.91,0.94,0.93,594
"4,4",8,2,"sse","tanh","rprop+",0.53,0.94,1.37654608382242e-107,0.92,0.95,0.93,594
"3,2,3",8,3,"sse","tanh","rprop+",0.53,0.93,2.68086948578034e-104,0.91,0.94,0.93,594
"2",2,1,"sse","tanh","rprop+",0.53,0.92,4.88502728842557e-99,0.91,0.93,0.92,594
"2,1,1,1",5,4,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.91,0.94,0.92,594
"4,4,4",12,3,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"2,2",4,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"3,4",7,2,"sse","tanh","rprop+",0.53,0.93,3.17640197871041e-103,0.92,0.93,0.93,594
"2,4",6,2,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"5,4,3,2",14,4,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.91,0.94,0.92,594
"2,1,1,5",9,4,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.92,0.92,0.92,594
"5,2,1",8,3,"sse","tanh","rprop+",0.53,0.93,2.68086948578034e-104,0.92,0.94,0.93,594
"4,2",6,2,"sse","tanh","rprop+",0.53,0.94,1.37654608382242e-107,0.91,0.95,0.93,594
"1,2",3,2,"sse","tanh","rprop+",0.53,0.92,5.1715105502602e-95,0.92,0.9,0.91,594
"4,4",8,2,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.92,0.92,0.92,594
"3",3,1,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"2,4,3,4",13,4,"sse","tanh","rprop+",0.53,0.92,4.88502728842557e-99,0.92,0.91,0.92,594
"4",4,1,"sse","tanh","rprop+",0.53,0.93,2.68086948578034e-104,0.92,0.94,0.93,594
"1,1,4,3",9,4,"sse","tanh","rprop+",0.53,0.93,3.17640197871041e-103,0.91,0.94,0.93,594
"1,2",3,2,"sse","tanh","rprop+",0.53,0.92,5.1715105502602e-95,0.92,0.9,0.91,594
"2,2,5",9,3,"sse","tanh","rprop+",0.53,0.92,5.12583583579478e-98,0.9,0.94,0.92,594
"2,2",4,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"3",3,1,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"5",5,1,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"1,2,1",4,3,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.91,0.94,0.92,594
"3,2,2",7,3,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"2,4,3",9,3,"sse","tanh","rprop+",0.53,0.93,2.20481348211664e-105,0.93,0.93,0.93,594
"1,1",2,2,"sse","tanh","rprop+",0.53,0.92,5.1715105502602e-95,0.92,0.9,0.91,594
"4,3",7,2,"sse","tanh","rprop+",0.53,0.93,3.17640197871041e-103,0.92,0.94,0.93,594
"2,4,2,3",11,4,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"3,3,3",9,3,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.92,0.92,594
"1,5,3,4",13,4,"sse","tanh","rprop+",0.53,0.92,4.88502728842557e-99,0.9,0.95,0.92,594
"2",2,1,"sse","tanh","rprop+",0.53,0.92,4.88502728842557e-99,0.91,0.93,0.92,594
"2,3,2",7,3,"sse","tanh","rprop+",0.53,0.92,5.2569296956027e-97,0.9,0.93,0.92,594
"4,2",6,2,"sse","tanh","rprop+",0.53,0.93,3.17640197871041e-103,0.92,0.93,0.93,594
"3,2",5,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"3",3,1,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.91,0.94,0.92,594
"2,1",3,2,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"4,4,4",12,3,"sse","tanh","rprop+",0.53,0.93,2.68086948578034e-104,0.92,0.94,0.93,594
"3,4",7,2,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.9,0.94,0.92,594
"3,3,2",8,3,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"5,3,2",10,3,"sse","tanh","rprop+",0.53,0.93,2.20481348211664e-105,0.92,0.94,0.93,594
"3,2,4,1",10,4,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"4,5,2",11,3,"sse","tanh","rprop+",0.53,0.93,2.68086948578034e-104,0.91,0.94,0.93,594
"4,1",5,2,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"4",4,1,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.91,0.94,0.92,594
"2,2",4,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.91,0.93,0.92,594
"4",4,1,"sse","tanh","rprop+",0.53,0.93,3.17640197871041e-103,0.92,0.94,0.93,594
"1,2,2",5,3,"sse","tanh","rprop+",0.53,0.92,4.88502728842557e-99,0.91,0.93,0.92,594
"2,3",5,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
"4,1,4,3",12,4,"sse","tanh","rprop+",0.53,0.93,2.20481348211664e-105,0.93,0.93,0.93,594
"5,2",7,2,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.91,0.94,0.92,594
"1",1,1,"sse","tanh","rprop+",0.53,0.92,5.1715105502602e-95,0.92,0.9,0.91,594
"5,1",6,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.91,0.93,0.92,594
"5,1,4",10,3,"sse","tanh","rprop+",0.53,0.93,3.66940898421388e-102,0.92,0.93,0.92,594
"5,3",8,2,"sse","tanh","rprop+",0.53,0.93,3.17640197871041e-103,0.91,0.94,0.93,594
"1,3,3",7,3,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.9,0.95,0.92,594
"3,4",7,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.92,0.92,594
"2",2,1,"sse","tanh","rprop+",0.53,0.92,5.1715105502602e-95,0.92,0.9,0.91,594
"2,4",6,2,"sse","tanh","rprop+",0.53,0.92,4.54824458570176e-100,0.91,0.93,0.92,594
"2,1",3,2,"sse","tanh","rprop+",0.53,0.93,4.1351496767995e-101,0.92,0.93,0.92,594
