"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"3,3,2",8,3,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.95,0.99,0.97,591
"5,2,4",11,3,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.95,0.99,0.97,591
"3,1,1",5,3,"sse","tanh","rprop+",0.53,0.96,4.5645272752517e-124,0.93,0.99,0.96,591
"3",3,1,"sse","tanh","rprop+",0.53,0.96,1.83459631408335e-121,0.93,0.98,0.95,591
"5,3,1",9,3,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.99,0.95,0.97,591
"2,1",3,2,"sse","tanh","rprop+",0.53,0.96,2.13765329862488e-125,0.93,0.99,0.96,591
"2,2,1,2",7,4,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.95,0.99,0.97,591
"4,2",6,2,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"4,4,4,3",15,4,"sse","tanh","rprop+",0.53,0.97,2.70988352650299e-135,0.95,1,0.97,591
"5,2,3",10,3,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.95,0.99,0.97,591
"4,4",8,2,"sse","tanh","rprop+",0.53,0.97,6.47266731633417e-131,0.95,0.99,0.97,591
"5,4,4,5",18,4,"sse","tanh","rprop+",0.53,0.97,6.47266731633417e-131,0.95,0.99,0.97,591
"3,3,1",7,3,"sse","tanh","rprop+",0.53,0.97,8.34385597371942e-137,0.95,1,0.97,591
"3,2",5,2,"sse","tanh","rprop+",0.53,0.97,2.70988352650299e-135,0.95,1,0.97,591
"1",1,1,"sse","tanh","rprop+",0.53,0.96,2.13765329862488e-125,0.93,0.99,0.96,591
"5,4,2",11,3,"sse","tanh","rprop+",0.53,0.97,6.47266731633417e-131,0.95,0.99,0.97,591
"2",2,1,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.95,0.99,0.97,591
"2,1,1,1",5,4,"sse","tanh","rprop+",0.53,0.96,9.57715606730836e-127,0.93,1,0.96,591
"4,2,3",9,3,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"4,4,4",12,3,"sse","tanh","rprop+",0.53,0.96,4.09706863461401e-128,0.95,0.98,0.96,591
"2,2",4,2,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"3,4",7,2,"sse","tanh","rprop+",0.53,0.97,2.70988352650299e-135,0.95,1,0.97,591
"2,4",6,2,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.95,0.99,0.97,591
"5,4,3,2",14,4,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"2,1,1,5",9,4,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.99,0.95,0.97,591
"5,2,1",8,3,"sse","tanh","rprop+",0.53,0.97,8.34385597371942e-137,0.95,1,0.97,591
"1,2",3,2,"sse","tanh","rprop+",0.53,0.96,2.13765329862488e-125,0.93,0.99,0.96,591
"3,3,5,4",15,4,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.95,0.99,0.97,591
"5,1,4",10,3,"sse","tanh","rprop+",0.53,0.97,2.70988352650299e-135,0.95,0.99,0.97,591
"2,4,3,4",13,4,"sse","tanh","rprop+",0.53,0.97,2.70988352650299e-135,0.95,1,0.97,591
"4",4,1,"sse","tanh","rprop+",0.53,0.97,8.34385597371942e-137,0.95,1,0.97,591
"2,2,5",9,3,"sse","tanh","rprop+",0.53,0.97,8.26905227641256e-134,0.99,0.95,0.97,591
"3,3,4,3",13,4,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"5",5,1,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"1,2,1",4,3,"sse","tanh","rprop+",0.53,0.96,9.57715606730836e-127,0.93,0.99,0.96,591
"2,4,3",9,3,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"3,2,5,4",14,4,"sse","tanh","rprop+",0.53,0.97,1.67013029806922e-129,0.95,0.99,0.97,591
"1,1",2,2,"sse","tanh","rprop+",0.53,0.96,2.13765329862488e-125,0.93,0.99,0.96,591
"4,3",7,2,"sse","tanh","rprop+",0.53,0.97,2.70988352650299e-135,0.95,1,0.97,591
"2,4,2,3",11,4,"sse","tanh","rprop+",0.53,0.96,2.13765329862488e-125,0.93,0.99,0.96,591
"3,3,3",9,3,"sse","tanh","rprop+",0.53,0.97,8.34385597371942e-137,0.95,1,0.97,591
"1,5,3,4",13,4,"sse","tanh","rprop+",0.53,0.96,2.13765329862488e-125,0.93,0.99,0.96,591
"2,3,2",7,3,"sse","tanh","rprop+",0.53,0.97,2.70988352650299e-135,0.95,0.99,0.97,591
"5,3,2",10,3,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
"3,2,4,1",10,4,"sse","tanh","rprop+",0.53,0.97,2.37895496332686e-132,0.95,0.99,0.97,591
