"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,3,2",8,3,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.95,0.92,575
"3,1,1",5,3,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.9,0.94,0.92,575
"3",3,1,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.91,0.93,0.92,575
"2,1",3,2,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.91,0.92,0.91,575
"2,2,1,2",7,4,"sse","tanh","rprop+",0.51,0.91,1.26287045247495e-96,0.89,0.94,0.91,575
"4,4",8,2,"sse","tanh","rprop+",0.51,0.93,5.11881739851067e-106,0.91,0.94,0.93,575
"5,4,4,5",18,4,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.94,0.92,575
"1,5",6,2,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.95,0.92,575
"3,3,1",7,3,"sse","tanh","rprop+",0.51,0.92,1.21598870970878e-98,0.9,0.94,0.92,575
"3,2",5,2,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.91,0.93,0.92,575
"1",1,1,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.9,0.93,0.91,575
"4,4",8,2,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.9,0.93,0.91,575
"3,2,3",8,3,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.9,0.94,0.92,575
"2",2,1,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.91,0.94,0.92,575
"2,1,1,1",5,4,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.89,0.94,0.91,575
"4,2,3",9,3,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.9,0.93,0.91,575
"2,2",4,2,"sse","tanh","rprop+",0.51,0.91,1.25296911644211e-97,0.91,0.92,0.91,575
"3,4",7,2,"sse","tanh","rprop+",0.51,0.93,7.40342330797003e-104,0.9,0.95,0.93,575
"2,4",6,2,"sse","tanh","rprop+",0.51,0.91,1.26287045247495e-96,0.89,0.94,0.91,575
"5,4,3,2",14,4,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.9,0.94,0.92,575
"2,1,1,5",9,4,"sse","tanh","rprop+",0.51,0.91,1.26287045247495e-96,0.9,0.92,0.91,575
"5,2,1",8,3,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.94,0.92,575
"4,2",6,2,"sse","tanh","rprop+",0.51,0.92,9.69415526234101e-102,0.9,0.94,0.92,575
"2,3,2,4",11,4,"sse","tanh","rprop+",0.51,0.92,1.21598870970878e-98,0.9,0.93,0.92,575
"1,2",3,2,"sse","tanh","rprop+",0.51,0.93,7.40342330797003e-104,0.9,0.95,0.93,575
"3,3,5,4",15,4,"sse","tanh","rprop+",0.51,0.92,1.15384351712625e-99,0.91,0.92,0.92,575
"4,4",8,2,"sse","tanh","rprop+",0.51,0.93,6.23468791931981e-105,0.91,0.94,0.93,575
"3",3,1,"sse","tanh","rprop+",0.51,0.93,6.23468791931981e-105,0.91,0.95,0.93,575
