"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
"3,3,2",8,3,"sse","tanh","rprop+",0.83,0.9,0,0.69,0.75,0.72
"5,2,4",11,3,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.68,0.68
"3,1,1",5,3,"sse","tanh","rprop+",0.83,0.9,0,0.69,0.72,0.7
"3",3,1,"sse","tanh","rprop+",0.83,0.91,0,0.74,0.72,0.73
"5,3,1",9,3,"sse","tanh","rprop+",0.83,0.87,0.02,0.61,0.63,0.62
"2,1",3,2,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.73,0.72
"2,2,1,2",7,4,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.75,0.73
"4,2",6,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.63,0.66
"4,4",8,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.73,0.7
"1,5",6,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.67,0.67
"3,3,1",7,3,"sse","tanh","rprop+",0.83,0.89,0,0.69,0.67,0.68
"3,2",5,2,"sse","tanh","rprop+",0.83,0.9,0,0.71,0.68,0.69
"1",1,1,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.67,0.67
"5,4,2",11,3,"sse","tanh","rprop+",0.83,0.91,0,0.71,0.75,0.73
"4,4",8,2,"sse","tanh","rprop+",0.83,0.88,0,0.65,0.68,0.67
"2",2,1,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.73,0.72
"2,1,1,1",5,4,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.65,0.67
"4,2,3",9,3,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.7,0.69
"4,4,4",12,3,"sse","tanh","rprop+",0.83,0.89,0,0.65,0.78,0.71
"2,2",4,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.68,0.68
"3,4",7,2,"sse","tanh","rprop+",0.83,0.89,0,0.7,0.67,0.68
"2,4",6,2,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.73,0.72
"2,1,1,5",9,4,"sse","tanh","rprop+",0.83,0.9,0,0.69,0.75,0.72
"5,2,1",8,3,"sse","tanh","rprop+",0.83,0.91,0,0.73,0.72,0.72
"1,2",3,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.68,0.68
"4,4",8,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.68,0.68
"3",3,1,"sse","tanh","rprop+",0.83,0.9,0,0.71,0.67,0.69
"2,4,3,4",13,4,"sse","tanh","rprop+",0.83,0.88,0.01,0.67,0.58,0.63
"4",4,1,"sse","tanh","rprop+",0.83,0.89,0,0.69,0.7,0.69
"1,1,4,3",9,4,"sse","tanh","rprop+",0.83,0.87,0.02,0.61,0.67,0.63
"1,2",3,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.68,0.68
"2,2,5",9,3,"sse","tanh","rprop+",0.83,0.88,0,0.66,0.67,0.66
"2,2",4,2,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.65,0.66
"3",3,1,"sse","tanh","rprop+",0.83,0.9,0,0.72,0.72,0.72
"5",5,1,"sse","tanh","rprop+",0.83,0.92,0,0.76,0.75,0.76
"1,2,1",4,3,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.67,0.67
"3,2,2",7,3,"sse","tanh","rprop+",0.83,0.88,0.01,0.66,0.62,0.64
"3,3,2,1",9,4,"sse","tanh","rprop+",0.83,0.9,0,0.71,0.73,0.72
"2,4,3",9,3,"sse","tanh","rprop+",0.83,0.9,0,0.72,0.72,0.72
"2,2,5",9,3,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.67,0.67
"4,3,3,4",14,4,"sse","tanh","rprop+",0.83,0.87,0.01,0.65,0.58,0.61
"1,1",2,2,"sse","tanh","rprop+",0.83,0.88,0,0.66,0.67,0.66
"4,3",7,2,"sse","tanh","rprop+",0.83,0.89,0,0.71,0.65,0.68
"2,4,2,3",11,4,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.73,0.72
"3,3,3",9,3,"sse","tanh","rprop+",0.83,0.89,0,0.73,0.62,0.67
"1,5,3,4",13,4,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.7,0.69
"2",2,1,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.68,0.68
"4,2",6,2,"sse","tanh","rprop+",0.83,0.89,0,0.71,0.65,0.68
"3,2",5,2,"sse","tanh","rprop+",0.83,0.88,0,0.66,0.65,0.66
"3",3,1,"sse","tanh","rprop+",0.83,0.91,0,0.71,0.75,0.73
"2,1",3,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.7,0.69
"3,4",7,2,"sse","tanh","rprop+",0.83,0.9,0,0.71,0.68,0.69
"3,3,2",8,3,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.7,0.7
"5,3,2",10,3,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.67,0.67
"2,2,4,1",9,4,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.72,0.71
"4,5,2",11,3,"sse","tanh","rprop+",0.83,0.88,0.01,0.62,0.75,0.68
"4,1",5,2,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.67,0.67
"4",4,1,"sse","tanh","rprop+",0.83,0.89,0,0.7,0.67,0.68
"2,2",4,2,"sse","tanh","rprop+",0.83,0.89,0,0.69,0.67,0.68
"4",4,1,"sse","tanh","rprop+",0.83,0.9,0,0.69,0.72,0.7
"3,4,3",10,3,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.72,0.7
"1,2,2",5,3,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.68,0.68
"2,3",5,2,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.67,0.67
"5,2",7,2,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.72,0.71
"1",1,1,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.67,0.67
"5,3",8,2,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.67,0.67
"1,3,3",7,3,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.67,0.67
"3,4",7,2,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.7,0.7
"4,2,3,2",11,4,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.72,0.69
"2",2,1,"sse","tanh","rprop+",0.83,0.88,0,0.66,0.65,0.66
"2,4",6,2,"sse","tanh","rprop+",0.83,0.89,0,0.67,0.72,0.69
"2,1",3,2,"sse","tanh","rprop+",0.83,0.9,0,0.7,0.73,0.72
"5,4",9,2,"sse","tanh","rprop+",0.83,0.88,0,0.67,0.63,0.65
"2,3,2",7,3,"sse","tanh","rprop+",0.83,0.88,0.01,0.66,0.63,0.64
"1,2,3,2",8,4,"sse","tanh","rprop+",0.83,0.89,0,0.68,0.67,0.67
"3,5,3",11,3,"sse","tanh","rprop+",0.83,0.88,0,0.65,0.68,0.67
"3,1,3,5",12,4,"sse","tanh","rprop+",0.83,0.9,0,0.71,0.68,0.69
