"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1"
"3,3,2",8,3,"sse","tanh","rprop+",0.62,0.72,0.03,0.7,0.95,0.81
"3,1,1",5,3,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"3",3,1,"sse","tanh","rprop+",0.62,0.75,0.01,0.73,0.95,0.83
"5,3,1",9,3,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"2,1",3,2,"sse","tanh","rprop+",0.62,0.66,0.3,0.7,0.78,0.74
"2,2,1,2",7,4,"sse","tanh","rprop+",0.62,0.75,0.01,0.74,0.93,0.82
"4,2",6,2,"sse","tanh","rprop+",0.62,0.7,0.08,0.7,0.92,0.79
"4,4,4,3",15,4,"sse","tanh","rprop+",0.62,0.68,0.17,0.72,0.78,0.75
"5,2,3",10,3,"sse","tanh","rprop+",0.62,0.68,0.17,0.71,0.82,0.76
"4,4",8,2,"sse","tanh","rprop+",0.62,0.74,0.01,0.74,0.9,0.81
"1,5",6,2,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"3,3,1",7,3,"sse","tanh","rprop+",0.62,0.68,0.17,0.69,0.88,0.77
"3,2",5,2,"sse","tanh","rprop+",0.62,0.76,0,0.73,0.98,0.84
"1",1,1,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"5,4,2",11,3,"sse","tanh","rprop+",0.62,0.74,0.01,0.73,0.92,0.81
"4,4",8,2,"sse","tanh","rprop+",0.62,0.68,0.17,0.7,0.85,0.77
"3,2,3",8,3,"sse","tanh","rprop+",0.62,0.7,0.08,0.71,0.88,0.79
"2",2,1,"sse","tanh","rprop+",0.62,0.66,0.3,0.69,0.82,0.75
"2,1,1,1",5,4,"sse","tanh","rprop+",0.62,0.73,0.02,0.72,0.93,0.81
"4,2,3",9,3,"sse","tanh","rprop+",0.62,0.61,0.63,0.71,0.65,0.68
"2,2",4,2,"sse","tanh","rprop+",0.62,0.73,0.02,0.71,0.95,0.81
"3,4",7,2,"sse","tanh","rprop+",0.62,0.73,0.02,0.72,0.93,0.81
"2,4",6,2,"sse","tanh","rprop+",0.62,0.72,0.03,0.71,0.93,0.81
"2,1,1,5",9,4,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"5,2,1",8,3,"sse","tanh","rprop+",0.62,0.72,0.03,0.71,0.92,0.8
"4,2",6,2,"sse","tanh","rprop+",0.62,0.66,0.3,0.66,0.95,0.78
"2,3,2,4",11,4,"sse","tanh","rprop+",0.62,0.68,0.17,0.7,0.85,0.77
"1,2",3,2,"sse","tanh","rprop+",0.62,0.71,0.06,0.7,0.95,0.8
"4,4",8,2,"sse","tanh","rprop+",0.62,0.68,0.17,0.7,0.83,0.76
"5,1,4",10,3,"sse","tanh","rprop+",0.62,0.71,0.06,0.69,0.97,0.81
"3",3,1,"sse","tanh","rprop+",0.62,0.73,0.02,0.71,0.95,0.81
"2,4,3,4",13,4,"sse","tanh","rprop+",0.62,0.72,0.03,0.71,0.92,0.8
"4",4,1,"sse","tanh","rprop+",0.62,0.72,0.03,0.71,0.93,0.81
"1,2",3,2,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"2,2,5",9,3,"sse","tanh","rprop+",0.62,0.68,0.17,0.69,0.87,0.77
"2,2",4,2,"sse","tanh","rprop+",0.62,0.65,0.38,0.64,1,0.78
"3",3,1,"sse","tanh","rprop+",0.62,0.71,0.06,0.71,0.9,0.79
"5",5,1,"sse","tanh","rprop+",0.62,0.73,0.02,0.73,0.9,0.81
"1,2,1",4,3,"sse","tanh","rprop+",0.62,0.7,0.08,0.74,0.8,0.77
"3,2,2",7,3,"sse","tanh","rprop+",0.62,0.7,0.08,0.71,0.88,0.79
"3,3,2,1",9,4,"sse","tanh","rprop+",0.62,0.7,0.08,0.72,0.85,0.78
"2,4,3",9,3,"sse","tanh","rprop+",0.62,0.67,0.23,0.67,0.93,0.78
"3,2,5,4",14,4,"sse","tanh","rprop+",0.62,0.65,0.38,0.68,0.83,0.75
"4,3,3,4",14,4,"sse","tanh","rprop+",0.62,0.73,0.02,0.71,0.95,0.81
"1,1",2,2,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"4,3",7,2,"sse","tanh","rprop+",0.62,0.69,0.12,0.71,0.85,0.77
"2,4,2,3",11,4,"sse","tanh","rprop+",0.62,0.58,0.83,0.61,0.92,0.73
"3,3,3",9,3,"sse","tanh","rprop+",0.62,0.64,0.46,0.67,0.82,0.74
"1,5,3,4",13,4,"sse","tanh","rprop+",0.62,0.62,0.55,0.62,1,0.77
"2",2,1,"sse","tanh","rprop+",0.62,0.74,0.01,0.72,0.97,0.82
"2,3,2",7,3,"sse","tanh","rprop+",0.62,0.57,0.88,0.61,0.9,0.72
"4,2",6,2,"sse","tanh","rprop+",0.62,0.73,0.02,0.74,0.87,0.8
"3,2",5,2,"sse","tanh","rprop+",0.62,0.75,0.01,0.73,0.95,0.83
"3",3,1,"sse","tanh","rprop+",0.62,0.75,0.01,0.73,0.95,0.83
"2,1",3,2,"sse","tanh","rprop+",0.62,0.7,0.08,0.7,0.9,0.79
"3,4",7,2,"sse","tanh","rprop+",0.62,0.73,0.02,0.72,0.92,0.81
"3,3,2",8,3,"sse","tanh","rprop+",0.62,0.64,0.46,0.69,0.75,0.72
"5,3,2",10,3,"sse","tanh","rprop+",0.62,0.68,0.17,0.72,0.8,0.76
"3,2,4,1",10,4,"sse","tanh","rprop+",0.62,0.65,0.38,0.66,0.88,0.76
"2,2,4,1",9,4,"sse","tanh","rprop+",0.62,0.68,0.17,0.7,0.85,0.77
"4,5,2",11,3,"sse","tanh","rprop+",0.62,0.74,0.01,0.73,0.92,0.81
"4,1",5,2,"sse","tanh","rprop+",0.62,0.67,0.23,0.73,0.73,0.73
"4",4,1,"sse","tanh","rprop+",0.62,0.74,0.01,0.74,0.9,0.81
"2,5,5",12,3,"sse","tanh","rprop+",0.62,0.69,0.12,0.72,0.82,0.77
"2,2",4,2,"sse","tanh","rprop+",0.62,0.72,0.03,0.71,0.92,0.8
"4",4,1,"sse","tanh","rprop+",0.62,0.74,0.01,0.73,0.93,0.82
"3,4,3",10,3,"sse","tanh","rprop+",0.62,0.72,0.03,0.7,0.95,0.81
"1,2,2",5,3,"sse","tanh","rprop+",0.62,0.56,0.91,0.61,0.82,0.7
