"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"3,3,2",8,3,"sse","tanh","rprop+",0.8,0.89,0.0126540130783802,0.76,0.65,0.7,101
"5,2,4",11,3,"sse","tanh","rprop+",0.8,0.9,0.00573958251325191,0.71,0.85,0.77,101
"3,1,1",5,3,"sse","tanh","rprop+",0.8,0.94,7.90501540310524e-05,0.85,0.85,0.85,101
"3",3,1,"sse","tanh","rprop+",0.8,0.89,0.0126540130783802,0.8,0.6,0.69,101
"5,3,1",9,3,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.88,0.7,0.78,101
"2,1",3,2,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"2,2,1,2",7,4,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"4,2",6,2,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"4,4,4,3",15,4,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.76,0.8,0.78,101
"5,2,3",10,3,"sse","tanh","rprop+",0.8,0.89,0.0126540130783802,0.7,0.8,0.74,101
"4,4",8,2,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"5,4,4,5",18,4,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.83,0.75,0.79,101
"1,5",6,2,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"3,3,1",7,3,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"3,2",5,2,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.83,0.75,0.79,101
"1",1,1,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"5,4,2",11,3,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.76,0.8,0.78,101
"3,2,3",8,3,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.83,0.75,0.79,101
"2",2,1,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"2,1,1,1",5,4,"sse","tanh","rprop+",0.8,0.94,7.90501540310524e-05,0.82,0.9,0.86,101
"4,2,3",9,3,"sse","tanh","rprop+",0.8,0.95,1.89755204768736e-05,0.86,0.9,0.88,101
"4,4,4",12,3,"sse","tanh","rprop+",0.8,0.89,0.0126540130783802,0.71,0.75,0.73,101
"2,2",4,2,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.8,0.8,0.8,101
"3,4",7,2,"sse","tanh","rprop+",0.8,0.95,1.89755204768736e-05,0.86,0.9,0.88,101
"2,4",6,2,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"5,4,3,2",14,4,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"2,1,1,5",9,4,"sse","tanh","rprop+",0.8,0.9,0.00573958251325191,0.71,0.85,0.77,101
"5,2,1",8,3,"sse","tanh","rprop+",0.8,0.94,7.90501540310524e-05,0.79,0.95,0.86,101
"2,3,2,4",11,4,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.83,0.75,0.79,101
"1,2",3,2,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"3,3,5,4",15,4,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"5,1,4",10,3,"sse","tanh","rprop+",0.8,0.95,1.89755204768736e-05,0.86,0.9,0.88,101
"2,4,3,4",13,4,"sse","tanh","rprop+",0.8,0.88,0.0254585141249141,0.68,0.75,0.71,101
"4",4,1,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.74,0.85,0.79,101
"1,1,4,3",9,4,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"2,2,5",9,3,"sse","tanh","rprop+",0.8,0.94,7.90501540310524e-05,0.85,0.85,0.85,101
"3,3,4,3",13,4,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.83,0.75,0.79,101
"5",5,1,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.76,0.8,0.78,101
"1,2,1",4,3,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"3,2,2",7,3,"sse","tanh","rprop+",0.8,0.9,0.00573958251325191,0.71,0.85,0.77,101
"3,3,2,1",9,4,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.74,0.85,0.79,101
"2,4,3",9,3,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.79,0.75,0.77,101
"3,2,5,4",14,4,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.8,0.8,0.8,101
"4,3,3,4",14,4,"sse","tanh","rprop+",0.8,0.88,0.0254585141249141,0.7,0.7,0.7,101
"1,1",2,2,"sse","tanh","rprop+",0.8,0.94,7.90501540310524e-05,0.85,0.85,0.85,101
"4,3",7,2,"sse","tanh","rprop+",0.8,0.89,0.0126540130783802,0.68,0.85,0.76,101
"2,4,2,3",11,4,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.83,0.75,0.79,101
"3,3,3",9,3,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.8,0.8,0.8,101
"1,5,3,4",13,4,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"2,3,2",7,3,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.76,0.8,0.78,101
"5,3,2",10,3,"sse","tanh","rprop+",0.8,0.94,7.90501540310524e-05,0.85,0.85,0.85,101
"3,2,4,1",10,4,"sse","tanh","rprop+",0.8,0.85,0.128805805679457,0.6,0.75,0.67,101
"2,2,4,1",9,4,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"4,5,2",11,3,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"4,5,4,4",17,4,"sse","tanh","rprop+",0.8,0.9,0.00573958251325191,0.73,0.8,0.76,101
"4,1",5,2,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"4,3,4",11,3,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.74,0.85,0.79,101
"2,5,5",12,3,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.83,0.75,0.79,101
"3,4,3",10,3,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.8,0.8,0.8,101
"1,2,2",5,3,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"2,3",5,2,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"4,1,4,3",12,4,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.75,0.9,0.82,101
"5,2",7,2,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.8,0.8,0.8,101
"5,1",6,2,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.76,0.8,0.78,101
"5,3",8,2,"sse","tanh","rprop+",0.8,0.9,0.00573958251325191,0.75,0.75,0.75,101
"1,3,3",7,3,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.81,0.85,0.83,101
"4,2,3,2",11,4,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.79,0.75,0.77,101
"5,4",9,2,"sse","tanh","rprop+",0.8,0.91,0.00235455084647759,0.76,0.8,0.78,101
"1,2,3,2",8,4,"sse","tanh","rprop+",0.8,0.93,0.000280358449891616,0.84,0.8,0.82,101
"3,5,3",11,3,"sse","tanh","rprop+",0.8,0.95,1.89755204768736e-05,0.89,0.85,0.87,101
"3,1,3,5",12,4,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.83,0.75,0.79,101
"1,4,3",8,3,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.8,0.8,0.8,101
"1,4,4",9,3,"sse","tanh","rprop+",0.8,0.92,0.000864401036647573,0.77,0.85,0.81,101
